day,open,high,low,close,volume,market_cap
20171030,0.199347,0.205374,0.193355,0.197073,"612,716","199,147,000"
20171029,0.192048,0.202104,0.190024,0.200644,"567,927","191,856,000"
20171028,0.198242,0.201367,0.19101,0.19101,"504,235","198,043,000"
20171027,0.193656,0.200412,0.190361,0.198331,"450,037","193,463,000"
20171026,0.202745,0.206381,0.186602,0.193836,"926,481","202,542,000"
20171025,0.213573,0.214229,0.193167,0.202588,"535,381","213,359,000"
20171024,0.19328,0.222608,0.19328,0.212795,"1,292,760","193,087,000"
20171023,0.203596,0.207601,0.189342,0.193733,"585,671","203,392,000"
20171022,0.2043,0.209056,0.197945,0.205184,"779,176","204,096,000"
20171021,0.219089,0.221241,0.19208,0.204258,"1,068,020","218,870,000"
20171020,0.221368,0.227795,0.211915,0.219249,"1,526,680","221,147,000"
20171019,0.229634,0.231676,0.21958,0.220303,"819,756","229,405,000"
20171018,0.245356,0.245592,0.218283,0.229476,"1,009,890","245,111,000"
20171017,0.250932,0.25453,0.235802,0.245213,"1,050,880","250,681,000"
20171016,0.262593,0.268626,0.243356,0.251497,"1,851,380","262,331,000"
20171015,0.257721,0.277622,0.23728,0.261466,"2,587,270","257,463,000"
20171014,0.226503,0.279791,0.223733,0.256811,"4,597,940","226,277,000"
20171013,0.219345,0.23528,0.207278,0.228357,"3,379,250","219,126,000"
20171012,0.204925,0.223562,0.203969,0.219012,"2,968,530","204,720,000"
20171011,0.199686,0.205245,0.192946,0.205196,"1,558,820","199,487,000"
20171010,0.181791,0.207426,0.18093,0.200064,"3,168,090","181,609,000"
20171009,0.168613,0.1885,0.163637,0.181779,"2,195,520","168,444,000"
20171008,0.195459,0.197767,0.165002,0.169204,"1,433,600","195,263,000"
20171007,0.191353,0.201217,0.18004,0.198538,"1,123,080","191,161,000"
20171006,0.188002,0.198595,0.179305,0.191566,"1,789,340","187,814,000"
20171005,0.166095,0.19109,0.162355,0.187904,"1,404,000","165,929,000"
20171004,0.177342,0.178444,0.163092,0.166957,"680,219","177,165,000"
20171003,0.193532,0.195272,0.165802,0.177739,"1,974,330","193,338,000"
20171002,0.205431,0.208618,0.193319,0.193841,"2,736,480","205,226,000"
20171001,0.209986,0.212947,0.204032,0.204945,"3,535,710","209,775,000"
20170930,0.166681,0.21235,0.164337,0.21235,"4,331,390","166,514,000"
20170929,0.172482,0.173434,0.154581,0.16641,"2,097,970","172,310,000"
20170928,0.173356,0.18112,0.159596,0.174028,"4,806,750","173,183,000"
20170927,0.132396,0.183493,0.130622,0.177424,"2,704,200","132,264,000"
20170926,0.131712,0.134023,0.126368,0.132864,"1,345,830","131,580,000"
20170925,0.115515,0.132388,0.115362,0.130451,"672,965","115,399,000"
20170924,0.119604,0.121052,0.113231,0.115682,"363,849","119,485,000"
20170923,0.118023,0.120189,0.114642,0.119414,"679,478","117,905,000"
20170922,0.116088,0.121535,0.113246,0.118398,"669,175","115,972,000"
20170921,0.115178,0.127031,0.110924,0.115729,"1,170,610","115,063,000"
20170920,0.112901,0.121606,0.110769,0.116184,"904,757","112,788,000"
20170919,0.11791,0.11791,0.109138,0.113213,"513,544","117,792,000"
20170918,0.105767,0.121902,0.105767,0.117597,"882,828","105,661,000"
20170917,0.100142,0.113831,0.095865,0.105767,"569,002","100,042,000"
20170916,0.101469,0.112266,0.091293,0.099854,"1,111,320","101,367,000"
20170915,0.089412,0.110935,0.072963,0.10207,"2,350,330","89,322,800"
20170914,0.116767,0.118138,0.087133,0.088152,"1,583,700","116,651,000"
20170913,0.124929,0.126533,0.109187,0.116828,"1,056,280","124,804,000"
20170912,0.132719,0.142039,0.121007,0.125197,"1,709,430","132,586,000"
20170911,0.127306,0.135041,0.124553,0.132628,"1,464,060","127,179,000"
20170910,0.129055,0.133808,0.115941,0.127516,"1,419,660","128,926,000"
20170909,0.13696,0.138624,0.126439,0.129348,"1,685,640","136,823,000"
20170908,0.156606,0.192588,0.126545,0.135448,"7,264,460","156,450,000"
20170907,0.147528,0.167509,0.140707,0.155623,"3,533,350","147,380,000"
20170906,0.129885,0.150526,0.127905,0.148698,"2,208,370","129,755,000"
20170905,0.116538,0.134057,0.102284,0.130319,"2,264,870","116,421,000"
20170904,0.141199,0.141479,0.10746,0.117797,"1,916,160","141,058,000"
20170903,0.140668,0.147561,0.135453,0.140358,"826,290","140,527,000"
20170902,0.149545,0.150262,0.136854,0.140028,"1,226,480","149,396,000"
20170901,0.138701,0.14831,0.136507,0.147426,"879,871","138,562,000"
20170831,0.137687,0.141196,0.13592,0.139713,"1,010,480","137,549,000"
20170830,0.138953,0.140876,0.134344,0.137814,"1,129,500","138,814,000"
20170829,0.144485,0.147152,0.137039,0.139428,"1,740,080","144,341,000"
20170828,0.13934,0.147673,0.133747,0.144408,"1,381,760","139,201,000"
20170827,0.138376,0.142094,0.135495,0.138796,"1,479,990","138,237,000"
20170826,0.131853,0.140772,0.128849,0.138522,"1,068,250","131,721,000"
20170825,0.137907,0.139928,0.128803,0.130978,"1,236,130","137,769,000"
20170824,0.137624,0.142084,0.133901,0.138376,"1,431,140","137,487,000"
20170823,0.128796,0.152499,0.128533,0.136445,"2,421,980","128,667,000"
