day,open,high,low,close,volume,market_cap
20171030,0.146109,0.150053,0.142668,0.146813,"1,245,900","146,109,000"
20171029,0.155104,0.157035,0.143382,0.145832,"2,217,180","155,104,000"
20171028,0.143486,0.157107,0.141414,0.155709,"2,032,030","143,486,000"
20171027,0.147531,0.148359,0.140947,0.142509,"1,306,500","147,531,000"
20171026,0.153503,0.157988,0.146016,0.147397,"1,663,850","153,503,000"
20171025,0.157797,0.159296,0.145851,0.154372,"2,026,480","157,797,000"
20171024,0.139592,0.182936,0.135826,0.157755,"3,260,800","139,592,000"
20171023,0.141987,0.143211,0.130652,0.141128,"1,366,100","141,987,000"
20171022,0.143761,0.153527,0.138013,0.14239,"1,310,690","143,761,000"
20171021,0.151794,0.15395,0.133686,0.143037,"2,251,220","151,794,000"
20171020,0.153746,0.165749,0.152009,0.152958,"1,962,980","153,746,000"
20171019,0.162817,0.167622,0.15054,0.153714,"1,773,680","162,817,000"
20171018,0.165556,0.165556,0.152059,0.162438,"1,744,130","165,556,000"
20171017,0.17608,0.196566,0.161113,0.165404,"4,007,820","176,080,000"
20171016,0.158907,0.186772,0.142035,0.176811,"4,422,080","158,907,000"
20171015,0.176428,0.176428,0.152709,0.158654,"2,073,580","176,428,000"
20171014,0.174831,0.183101,0.169372,0.175499,"1,426,580","174,831,000"
20171013,0.191549,0.195089,0.162208,0.174872,"4,281,620","191,549,000"
20171012,0.19303,0.216736,0.176242,0.190453,"4,844,030","193,030,000"
20171011,0.194973,0.202871,0.190568,0.192717,"2,858,980","194,973,000"
20171010,0.191329,0.204759,0.180508,0.194932,"2,688,870","191,329,000"
20171009,0.193164,0.198343,0.169204,0.189483,"3,172,310","193,164,000"
20171008,0.213865,0.219123,0.186132,0.192375,"3,751,940","213,865,000"
20171007,0.232407,0.233209,0.206347,0.214372,"3,773,630","232,407,000"
20171006,0.23108,0.240281,0.22762,0.232911,"2,645,430","231,080,000"
20171005,0.245436,0.249845,0.224653,0.232473,"4,610,980","245,436,000"
20171004,0.263824,0.278332,0.243234,0.243567,"5,576,470","263,824,000"
20171003,0.254962,0.272279,0.248986,0.265634,"6,341,430","254,962,000"
20171002,0.253671,0.258993,0.25048,0.255674,"2,516,540","253,671,000"
20171001,0.246144,0.258949,0.244727,0.255647,"2,773,310","246,144,000"
20170930,0.235972,0.253563,0.235277,0.246012,"2,536,680","235,972,000"
20170929,0.249416,0.249416,0.221576,0.236986,"3,098,820","249,416,000"
20170928,0.234497,0.258492,0.233666,0.249281,"5,497,280","234,497,000"
20170927,0.212823,0.234976,0.207746,0.232354,"2,667,880","212,823,000"
20170926,0.215136,0.220188,0.210506,0.213436,"1,977,590","215,136,000"
20170925,0.198387,0.217293,0.197845,0.215173,"1,913,430","198,387,000"
20170924,0.211823,0.214732,0.198249,0.198249,"2,508,610","211,823,000"
20170923,0.196012,0.213278,0.192172,0.211534,"2,074,220","196,012,000"
20170922,0.201946,0.206507,0.185872,0.196522,"2,476,800","201,946,000"
20170921,0.222461,0.226108,0.189529,0.202765,"4,504,750","222,461,000"
20170920,0.211856,0.230746,0.205807,0.223386,"3,315,670","211,856,000"
20170919,0.243668,0.243668,0.211504,0.211504,"4,074,760","243,668,000"
20170918,0.235858,0.263096,0.228814,0.24581,"10,913,600","235,858,000"
20170917,0.220687,0.241252,0.209776,0.235859,"7,105,110","220,687,000"
20170916,0.187841,0.234219,0.17856,0.220771,"5,529,540","187,841,000"
20170915,0.154636,0.19492,0.137394,0.189134,"3,170,150","154,636,000"
20170914,0.193715,0.196861,0.149747,0.153102,"2,649,260","193,715,000"
20170913,0.211731,0.211941,0.179449,0.19296,"2,182,480","211,731,000"
20170912,0.213367,0.229853,0.201577,0.211839,"3,209,470","213,367,000"
20170911,0.201248,0.213383,0.194833,0.212974,"1,987,890","201,248,000"
20170910,0.219309,0.219368,0.192669,0.200025,"2,209,730","219,309,000"
20170909,0.216223,0.22534,0.207196,0.219077,"1,684,720","216,223,000"
20170908,0.249008,0.249752,0.19679,0.215725,"4,370,790","249,008,000"
20170907,0.224084,0.249728,0.21591,0.247884,"3,218,150","224,084,000"
20170906,0.217845,0.234281,0.211744,0.225347,"3,245,920","217,845,000"
20170905,0.202195,0.225642,0.16923,0.218497,"3,374,360","202,195,000"
20170904,0.241998,0.241998,0.168628,0.201452,"5,599,610","241,998,000"
20170903,0.242396,0.271964,0.225316,0.241242,"3,681,780","242,396,000"
20170902,0.291993,0.292109,0.234706,0.244449,"4,577,840","291,993,000"
20170901,0.272326,0.308977,0.264262,0.292161,"9,031,140","272,326,000"
20170831,0.237641,0.285709,0.235414,0.271803,"6,706,840","237,641,000"
20170830,0.246734,0.253316,0.2227,0.237483,"3,429,980","246,734,000"
20170829,0.228124,0.247443,0.223189,0.246818,"5,055,580","228,124,000"
20170828,0.210025,0.236254,0.204585,0.227662,"3,780,050","210,025,000"
20170827,0.203652,0.211852,0.202451,0.210028,"2,069,570","203,652,000"
20170826,0.205165,0.20882,0.196753,0.203715,"2,347,060","205,165,000"
20170825,0.205792,0.228791,0.202964,0.204303,"2,550,250","205,792,000"
20170824,0.195281,0.20766,0.192801,0.205144,"2,158,190","195,281,000"
20170823,0.189461,0.206971,0.186309,0.198384,"2,657,560","189,461,000"
20170822,0.195342,0.198231,0.172232,0.189982,"2,433,270","195,342,000"
20170821,0.206389,0.207054,0.191274,0.195028,"2,880,320","206,389,000"
20170820,0.21143,0.211901,0.197134,0.206131,"2,804,550","211,430,000"
20170819,0.213276,0.224282,0.188087,0.212615,"3,651,390","213,276,000"
20170818,0.250854,0.250854,0.198555,0.215015,"6,258,620","250,854,000"
20170817,0.219996,0.295392,0.211332,0.252561,"25,143,200","219,996,000"
20170816,0.195755,0.218762,0.187434,0.218762,"3,915,400","195,755,000"
20170815,0.197602,0.197835,0.174689,0.194342,"3,252,610","197,602,000"
20170814,0.211863,0.21919,0.184978,0.197186,"4,794,070","211,863,000"
20170813,0.209953,0.214369,0.187256,0.212219,"4,451,430","209,953,000"
20170812,0.229814,0.231006,0.199048,0.209644,"6,035,220","229,814,000"
20170811,0.198731,0.246374,0.189232,0.229309,"14,151,000","198,731,000"
20170810,0.160163,0.215128,0.151108,0.199868,"8,292,790","160,163,000"
20170809,0.170796,0.173222,0.157708,0.161036,"2,081,780","170,796,000"
20170808,0.171663,0.184845,0.161222,0.170829,"3,251,710","171,663,000"
20170807,0.165905,0.19233,0.157654,0.170751,"4,039,340","165,905,000"
20170806,0.159102,0.174001,0.148619,0.167751,"3,754,110","159,102,000"
20170805,0.140526,0.167292,0.13734,0.159064,"2,407,170","140,526,000"
20170804,0.140756,0.150016,0.133684,0.139927,"3,161,290","140,756,000"
20170803,0.116627,0.140694,0.113685,0.140694,"2,366,370","116,627,000"
20170802,0.120649,0.131595,0.112906,0.116111,"1,744,330","120,649,000"
20170801,0.104245,0.128921,0.10002,0.120664,"2,482,780","104,245,000"
20170731,0.100739,0.104584,0.097958,0.10422,"1,389,760","100,739,000"
20170730,0.10811,0.109277,0.100129,0.100651,"872,950","108,110,000"
20170729,0.10565,0.108229,0.100309,0.108229,"762,957","105,650,000"
20170728,0.115428,0.115442,0.105185,0.107068,"1,635,930","115,428,000"
20170727,0.121414,0.124126,0.113375,0.114837,"1,182,110","121,414,000"
20170726,0.116916,0.121375,0.105376,0.121197,"1,397,260","116,916,000"
20170725,0.144234,0.15871,0.114821,0.117279,"3,401,390","144,234,000"
20170724,0.127953,0.168806,0.121486,0.144172,"4,271,920","127,953,000"
20170723,0.136293,0.138662,0.118182,0.129342,"1,630,410","136,293,000"
20170722,0.102672,0.134748,0.102672,0.134653,"1,774,790","102,672,000"
20170721,0.099334,0.106447,0.096932,0.102899,"953,786","99,333,600"
20170720,0.082399,0.100526,0.082298,0.098187,"1,164,030","82,399,300"
20170719,0.096023,0.099194,0.079181,0.081988,"1,404,020","96,023,000"
20170718,0.088563,0.102722,0.084905,0.095676,"1,126,870","88,563,200"
20170717,0.071688,0.089585,0.071585,0.088821,"736,536","71,687,600"
20170716,0.078505,0.079295,0.066209,0.071781,"676,056","78,504,800"
20170715,0.086559,0.086673,0.07632,0.078687,"554,900","86,558,900"
20170714,0.09119,0.092632,0.082882,0.086166,"739,315","91,190,300"
20170713,0.102564,0.103251,0.088281,0.091283,"900,748","102,564,000"
20170712,0.088,0.102524,0.081807,0.101409,"1,141,360","88,000,200"
20170711,0.089364,0.095027,0.080146,0.088201,"1,465,010","89,363,600"
20170710,0.107231,0.112142,0.085872,0.089701,"1,313,930","107,231,000"
20170709,0.104821,0.110446,0.103561,0.106766,"1,158,370","104,821,000"
20170708,0.107888,0.109217,0.097161,0.10557,"1,420,600","107,888,000"
20170707,0.120991,0.123085,0.102212,0.107727,"1,545,740","120,991,000"
20170706,0.129022,0.130231,0.116971,0.121223,"1,763,210","129,022,000"
20170705,0.131036,0.13245,0.125043,0.128955,"1,464,870","131,036,000"
20170704,0.130143,0.139744,0.128315,0.131304,"1,956,940","130,143,000"
20170703,0.123965,0.13392,0.122968,0.128747,"2,218,720","123,965,000"
20170702,0.130978,0.132849,0.11297,0.124109,"3,171,200","130,978,000"
20170701,0.137327,0.142716,0.125658,0.130854,"1,856,100","137,327,000"
20170630,0.155257,0.157021,0.136025,0.136025,"1,558,240","155,257,000"
20170629,0.174455,0.174849,0.152339,0.154906,"1,880,280","174,455,000"
20170628,0.153965,0.17557,0.145584,0.173771,"2,624,600","153,965,000"
20170627,0.156799,0.160657,0.122676,0.152734,"3,861,500","156,799,000"
20170626,0.170003,0.176001,0.139237,0.151785,"3,398,570","170,003,000"
20170625,0.184799,0.188892,0.158606,0.170223,"2,662,640","184,799,000"
20170624,0.201123,0.203272,0.176831,0.186039,"2,256,800","201,123,000"
20170623,0.177803,0.204396,0.173222,0.198476,"3,165,000","177,803,000"
20170622,0.187434,0.187434,0.175794,0.17816,"2,615,650","187,434,000"
20170621,0.190874,0.196532,0.183393,0.187384,"3,436,530","190,874,000"
20170620,0.181185,0.197655,0.179581,0.191778,"3,728,710","181,185,000"
20170619,0.197917,0.202943,0.180147,0.181102,"5,328,250","197,917,000"
20170618,0.210064,0.212948,0.194808,0.197482,"2,829,350","210,064,000"
20170617,0.231731,0.231731,0.206255,0.2084,"5,614,210","231,731,000"
20170616,0.212512,0.246001,0.186373,0.232775,"12,209,000","212,512,000"
20170615,0.170145,0.218198,0.144954,0.215435,"6,576,040","170,145,000"
20170614,0.193745,0.197086,0.162635,0.169383,"3,766,080","193,745,000"
20170613,0.18294,0.2013,0.174497,0.194538,"5,539,180","182,940,000"
20170612,0.182321,0.212659,0.152264,0.182798,"7,175,260","182,321,000"
20170611,0.195443,0.205489,0.17655,0.182229,"6,837,190","195,443,000"
20170610,0.224807,0.232437,0.194228,0.197021,"8,265,660","224,807,000"
20170609,0.222104,0.239072,0.216599,0.22508,"5,996,870","222,104,000"
20170608,0.239285,0.256475,0.213869,0.223217,"8,890,730","239,285,000"
20170607,0.259213,0.280704,0.228324,0.23859,"11,149,700","259,213,000"
20170606,0.291649,0.306674,0.254038,0.260062,"10,708,800","291,649,000"
20170605,0.285023,0.32991,0.269752,0.291661,"14,297,400","285,023,000"
20170604,0.16598,0.35243,0.164857,0.285542,"27,578,300","165,980,000"
20170603,0.156534,0.185107,0.154692,0.166049,"4,738,010","156,534,000"
20170602,0.171186,0.171238,0.15354,0.156576,"3,121,920","171,186,000"
20170601,0.16823,0.175339,0.146197,0.171036,"4,373,940",
