day,open,high,low,close,volume,market_cap
20171030,458.45,478.42,417.62,448.23,"796,409,000","7,679,000,000"
20171029,420.47,526.12,408.4,451.92,"2,002,440,000","7,042,260,000"
20171028,369.54,425.44,369.06,423.35,"781,037,000","6,183,520,000"
20171027,338.3,372.81,338.24,367.57,"501,989,000","5,655,870,000"
20171026,332.11,350.94,331.21,338.2,"234,967,000","5,550,700,000"
20171025,326.59,334.38,320.38,332.13,"151,935,000","5,457,720,000"
20171024,315.9,340.45,311.48,326.89,"267,442,000","5,278,410,000"
20171023,330.67,332.28,309.87,315.6,"191,558,000","5,524,790,000"
20171022,323.5,355.52,323.5,331.66,"355,546,000","5,405,020,000"
20171021,326.75,328.45,317.46,323.36,"129,938,000","5,458,980,000"
20171020,330.9,332.98,323.08,327.44,"160,204,000","5,527,860,000"
20171019,339.27,339.27,326.27,330.81,"195,578,000","5,667,070,000"
20171018,373.65,376.18,313.77,339.17,"477,184,000","6,240,990,000"
20171017,313.7,394.96,309.64,371.73,"1,008,160,000","5,239,520,000"
20171016,315.26,318.02,310.52,313.64,"117,797,000","5,265,400,000"
20171015,322.42,323.59,307.68,314.95,"133,385,000","5,384,760,000"
20171014,321.54,327.42,317.35,321.96,"164,137,000","5,369,720,000"
20171013,314.15,323.08,304.38,321.46,"288,210,000","5,242,630,000"
20171012,315.47,330.13,310.71,313.21,"262,066,000","5,262,390,000"
20171011,320.2,321.26,312.13,314.9,"131,577,000","5,341,000,000"
20171010,313.22,352.02,311.7,321.59,"367,809,000","5,224,170,000"
20171009,342.76,342.76,289.04,314.16,"288,075,000","5,716,320,000"
20171008,360.09,362.46,337,342.21,"203,754,000","6,004,940,000"
20171007,363.6,364.88,356.06,360.78,"91,004,000","6,062,860,000"
20171006,355.44,371.28,354.96,363.01,"182,031,000","5,926,540,000"
20171005,358.42,371.19,348.45,355.75,"268,341,000","5,971,260,000"
20171004,404.2,404.45,354.55,358.45,"251,584,000","6,729,640,000"
20171003,421.79,421.79,395.74,404.18,"130,247,000","7,022,370,000"
20171002,415.87,430.86,411.84,421.19,"219,590,000","6,921,580,000"
20171001,433.38,436.94,415.15,415.15,"164,290,000","7,207,770,000"
20170930,436.64,445.62,432.53,432.63,"150,565,000","7,258,880,000"
20170929,447.66,447.92,426.99,436.77,"148,725,000","7,441,960,000"
20170928,456.71,465.2,433.5,447.81,"300,421,000","7,592,000,000"
20170927,441.86,460,439.41,457.31,"197,885,000","7,343,490,000"
20170926,445.36,458.25,441.83,441.83,"165,303,000","7,400,020,000"
20170925,419.65,450.13,419.65,445.8,"302,272,000","6,971,280,000"
20170924,428.8,433.04,419.25,421.03,"114,527,000","7,121,950,000"
20170923,415.31,432.96,407.45,428.5,"189,127,000","6,895,970,000"
20170922,417.92,435.44,402.77,415.09,"241,905,000","6,937,170,000"
20170921,475.83,480,413.75,416.26,"316,731,000","7,898,300,000"
20170920,526.74,527.72,471.09,476.05,"669,264,000","8,741,670,000"
20170919,480.64,550.41,450.05,527.88,"802,321,000","7,975,010,000"
20170918,422.09,479.69,422.09,479.32,"458,550,000","7,001,640,000"
20170917,438.9,438.9,384.06,419.86,"221,828,000","7,279,520,000"
20170916,424.49,450.98,388.2,440.22,"313,583,000","7,039,590,000"
20170915,369.49,448.39,301.69,424.02,"707,231,000","6,126,800,000"
20170914,504.22,510.47,367.04,367.04,"257,431,000","8,359,650,000"
20170913,509.47,519.2,471.22,503.61,"340,344,000","8,445,540,000"
20170912,539.03,559.22,505.01,510.41,"273,825,000","8,934,220,000"
20170911,537.19,556.25,515.67,537.81,"274,712,000","8,902,570,000"
20170910,546.48,546.75,484.09,537.07,"289,508,000","9,055,430,000"
20170909,584.73,586.18,539.15,547.47,"234,578,000","9,688,150,000"
20170908,654.37,687.3,557.5,583.1,"809,763,000","10,840,500,000"
20170907,636.85,707.98,603.5,652.86,"1,082,380,000","10,548,500,000"
20170906,541.28,642.69,539.96,638.18,"693,240,000","8,964,700,000"
