day,open,high,low,close,volume,market_cap
20171030,96.28,102.75,93.43,102.66,"53,259","124,087,000"
20171029,87.3,101.94,86.53,95.84,"100,048","112,515,000"
20171028,86.21,92.69,85.86,87.42,"125,362","111,111,000"
20171027,83.22,86.52,81.91,85.98,"25,573","107,262,000"
20171026,84.58,89.73,81.57,83.21,"30,567","109,018,000"
20171025,86.29,88.1,82.12,84.6,"49,788","111,222,000"
20171024,74.96,89.72,70.99,86.25,"68,714","96,618,400"
20171023,86,87,72.98,75.12,"97,471","110,847,000"
20171022,78.07,86.41,75.94,85.56,"47,482","100,617,000"
20171021,84.31,84.74,74.41,78.04,"77,610","108,670,000"
20171020,87.1,90.34,81.56,84.5,"126,334","112,260,000"
20171019,87.64,91.31,82.32,87.07,"96,586","112,950,000"
20171018,83.59,89.05,77.18,87.37,"97,885","107,736,000"
20171017,86.6,88.79,82.3,83.24,"82,891","111,610,000"
20171016,87.25,92.71,83.4,86.53,"128,921","112,452,000"
20171015,85.96,98.93,81.48,87.22,"242,811","110,789,000"
20171014,85.87,87.66,82.23,85.81,"66,400","110,670,000"
20171013,83.97,111.57,76.14,85.14,"573,952","108,219,000"
20171012,87.82,88.43,81.97,83.71,"100,320","113,182,000"
20171011,79.39,90.26,78.02,88.92,"81,839","102,323,000"
20171010,75.54,82.84,75.54,78.35,"71,191","97,354,600"
20171009,80.63,86.81,74.7,75.53,"303,592","103,919,000"
20171008,92.5,94.14,80.38,83.88,"415,576","119,220,000"
20171007,89.89,93.64,85.23,92.74,"65,994","115,860,000"
20171006,91.68,93.89,88.5,89.87,"56,116","118,158,000"
20171005,93.36,94.36,89.27,91.67,"70,399","120,328,000"
20171004,98.97,100.21,91.92,93.28,"46,068","127,554,000"
20171003,98.19,101.41,91.95,98.73,"88,860","126,550,000"
20171002,108.75,110.1,97.93,98.19,"150,259","140,160,000"
20171001,113.46,114.11,99.43,108.7,"448,996","146,239,000"
20170930,93.89,151.02,93.38,114.07,"2,303,420","121,011,000"
20170929,90.88,95.56,87.26,93.76,"116,231","117,131,000"
20170928,99.06,100.84,88.4,90.95,"190,735","127,672,000"
20170927,91.64,100.55,91.64,99.06,"49,426","118,114,000"
20170926,91.51,94.68,89.51,91.9,"143,960","117,939,000"
20170925,82.6,92.63,82.6,91.51,"84,323","106,456,000"
20170924,84.61,84.98,80.36,82.68,"30,720","109,052,000"
20170923,78.75,87.64,76.85,84.62,"128,058","101,503,000"
20170922,77.98,84.59,75,78.12,"254,022","100,505,000"
20170921,94.41,95.65,76.23,78.32,"127,841","121,684,000"
20170920,92.76,96.88,88.61,94.87,"60,051","119,556,000"
20170919,104.56,104.56,91.47,92.14,"121,525","134,763,000"
20170918,83.86,105.45,83.86,104.31,"254,340","108,081,000"
20170917,79.83,92.59,72.69,83.5,"364,554","102,895,000"
20170916,80.1,83.33,72.22,79.87,"146,183","103,241,000"
20170915,85.68,86.69,55.4,81.29,"691,107","110,435,000"
20170914,79.19,112.68,76.93,84.3,"1,859,690","102,069,000"
20170913,90.25,90.57,73.95,79.2,"199,644","116,318,000"
20170912,95.22,101.28,89.88,91.41,"170,874","122,729,000"
20170911,106.61,107.75,92.53,95.39,"205,751","137,402,000"
20170910,118.55,118.9,94.18,108.79,"347,338","152,796,000"
20170909,130.04,132.33,116.09,119.35,"256,656","167,599,000"
20170908,153.39,172.05,121.96,129.6,"1,350,250","197,701,000"
20170907,143.43,163.39,130.03,153.39,"618,823","184,863,000"
20170906,131.29,152.1,130.93,143.07,"1,376,830","169,214,000"
20170905,101.67,134.14,87.12,131.14,"990,051","131,043,000"
20170904,118.05,137.01,94.35,102.23,"2,720,070","152,143,000"
20170903,73.13,120.72,71.99,119.28,"3,290,190","94,257,700"
20170902,65.77,80.64,59.02,73.45,"530,982","84,769,700"
20170901,66.71,67.62,63.65,65.44,"133,926","85,977,300"
20170831,64.92,67.53,62.71,66.7,"48,839","83,670,500"
20170830,63.79,67.7,62.45,65.07,"71,444","82,216,300"
20170829,65.65,71.9,63.51,64.13,"133,914","84,612,300"
20170828,60.66,73.18,58.29,65.56,"273,247","78,185,500"
20170827,60.08,61.29,58.52,60.73,"63,504","77,429,700"
20170826,58.85,60.61,57.13,60.13,"89,867","75,855,100"
20170825,57.49,60.36,57.22,58.84,"71,236","74,101,100"
20170824,55.21,57.89,54.41,57.59,"81,967","71,155,500"
20170823,53.87,56.39,53.07,55.2,"80,499","69,436,700"
20170822,55.98,56.14,50.52,53.98,"73,268","72,156,400"
20170821,54.25,57.92,51.56,55.85,"116,365","69,919,700"
20170820,52.01,55.97,50.76,54.99,"84,331","67,034,800"
20170819,53.04,54.34,50.17,52.25,"106,486","68,366,300"
20170818,58.25,60.15,52.37,53.03,"73,933","75,078,000"
20170817,59.59,69.59,56.55,57.58,"156,181","76,805,100"
20170816,58.9,60.37,54.68,60.06,"95,445","75,919,200"
20170815,59.88,61.32,53.19,58.6,"75,427","77,173,100"
20170814,59.31,61.29,57.25,59.06,"147,886","76,446,900"
20170813,71.93,75.26,58.46,59.27,"383,782","92,708,400"
20170812,44.92,79.24,44.6,71.95,"2,581,230","57,895,100"
20170811,46.07,46.88,44.08,45.49,"101,009","59,381,800"
20170810,45.45,47.16,44.51,45.83,"63,814","58,573,900"
20170809,46.23,46.68,42.88,45.15,"61,561","59,588,300"
20170808,47.02,48.85,42.88,46.25,"201,933","60,604,900"
20170807,47.27,48.25,45.96,46.98,"89,160","60,920,700"
20170806,46.32,52.11,44.39,47.37,"302,997","59,700,100"
20170805,43.92,48.49,43.48,46.31,"131,174","56,602,000"
20170804,43.61,46.57,41.87,43.94,"242,824","56,209,600"
20170803,43.85,44.73,41.02,43.62,"144,159","56,511,500"
20170802,43.75,44.81,41.95,43.65,"126,867","56,388,200"
20170801,41.85,45.69,39.54,43.85,"232,409","53,939,500"
20170731,44.94,45.45,40.65,41.81,"162,850","57,927,200"
20170730,47.35,49.85,43.95,44.9,"260,685","61,033,000"
20170729,67.27,67.27,44.54,48.09,"896,658","86,696,400"
20170728,43,79.39,42.13,67.59,"4,659,280","55,424,600"
20170727,43.15,44.85,41.41,43.18,"44,642","55,614,400"
20170726,45.02,45.7,41.25,42.99,"70,741","58,022,900"
20170725,54.62,55.27,42.05,44.42,"99,431","70,395,500"
20170724,55.85,59.11,53.78,54.56,"208,419","71,988,500"
20170723,59.98,60.35,53.28,58.2,"271,089","77,311,300"
20170722,57.5,62.27,56.65,59.99,"94,925","74,111,600"
20170721,56.47,59.06,53.54,57.51,"58,584","72,781,100"
20170720,46.83,58.28,45.5,56.12,"93,023","60,360,200"
20170719,40.27,53.59,39.34,47.52,"245,220","51,900,000"
20170718,37.56,41.86,36.23,40.2,"47,484","48,404,600"
20170717,30.79,38.11,30.79,37.46,"72,076","39,683,000"
20170716,32.87,34.26,29.74,30.79,"36,016","42,359,900"
20170715,37.16,37.63,32.02,32.95,"61,357","47,894,500"
20170714,39.78,39.9,35.09,37.21,"23,617","51,275,100"
20170713,44.53,44.85,38.43,39.66,"77,146","57,398,000"
20170712,35.93,47.9,33.66,44.49,"297,733","46,308,500"
20170711,40.77,42.18,33.47,36.12,"111,293","52,547,400"
20170710,52.88,55.23,40.08,40.61,"538,767","68,152,700"
20170709,59.95,63.09,53.39,53.43,"698,758","77,271,400"
20170708,57.59,61.49,53.16,60.13,"239,744","74,226,700"
20170707,67.49,68.21,57.2,57.54,"166,388","86,984,600"
20170706,72.74,76.21,66.31,67.51,"262,426","93,750,300"
20170705,75.62,77.06,70.12,72.62,"475,631","97,469,000"
20170704,71.24,79.37,69.64,75.73,"981,516","91,813,400"
20170703,66.59,76.73,63.73,71.34,"1,950,640","85,821,900"
20170702,71.13,72.01,58.45,66.48,"1,665,250","91,680,800"
20170701,66.17,83.45,62.36,71.18,"2,185,700","85,285,800"
20170630,73.88,74.7,65.9,66.2,"146,236","95,225,700"
20170629,77.08,78.23,73.14,73.48,"335,747","99,342,000"
20170628,74.49,80.63,70.75,77.12,"348,270","96,009,700"
20170627,77.76,80.65,65.46,74.13,"1,078,690","100,217,000"
20170626,90.92,116.2,62.14,77.76,"5,654,300","117,182,000"
20170625,86.64,96.45,84.53,89.99,"1,122,720","111,670,000"
20170624,86.85,96.07,84.26,87.27,"548,940","111,937,000"
20170623,81.95,90.5,81.01,85.99,"620,750","105,622,000"
20170622,79.66,88.41,77.64,82.35,"464,035","102,675,000"
20170621,88.18,99.91,76.47,79.65,"1,706,040","113,649,000"
20170620,95.82,95.82,82.98,87.98,"801,058","123,504,000"
20170619,94,99.33,92.35,95.71,"903,877","121,158,000"
20170618,79.56,109.72,78.62,94.68,"3,037,740","102,543,000"
20170617,76.38,84.39,75.84,80.3,"957,308","98,441,100"
20170616,63.9,76.52,61.52,76.52,"444,405","82,363,400"
20170615,60.71,68.41,55.29,63.93,"453,740","78,243,300"
20170614,64.89,71.46,58.95,61.42,"214,025","83,639,400"
20170613,58.74,66.24,58.74,64.49,"355,636","75,707,900"
