day,open,high,low,close,volume,market_cap
20171030,0.001431,0.001464,0.001352,0.001372,"2,209,860","262,221,000"
20171029,0.001317,0.001478,0.001296,0.001432,"7,363,370","241,430,000"
20171028,0.00134,0.001379,0.001297,0.001322,"1,952,020","245,613,000"
20171027,0.001339,0.001414,0.001319,0.001334,"2,847,630","245,409,000"
20171026,0.001401,0.001448,0.001324,0.001342,"2,137,650","256,820,000"
20171025,0.001384,0.001412,0.001311,0.001396,"2,688,860","253,574,000"
20171024,0.001339,0.001528,0.001252,0.001392,"4,495,360","245,306,000"
20171023,0.001491,0.001511,0.001283,0.001323,"2,064,250","273,152,000"
20171022,0.001507,0.001515,0.001432,0.001492,"1,163,540","276,122,000"
20171021,0.001507,0.001541,0.001458,0.00149,"790,456","276,135,000"
20171020,0.001464,0.001524,0.00142,0.001511,"2,096,460","268,318,000"
20171019,0.001412,0.001557,0.001393,0.001464,"3,503,950","258,738,000"
20171018,0.0014,0.001598,0.001276,0.001404,"1,022,860","256,552,000"
20171017,0.001433,0.001449,0.001371,0.001399,"1,072,170","262,679,000"
20171016,0.00141,0.001452,0.001392,0.001452,"1,538,460","258,387,000"
20171015,0.001456,0.001468,0.001359,0.00141,"857,027","266,761,000"
20171014,0.001413,0.001461,0.001389,0.001451,"842,996","258,975,000"
20171013,0.001427,0.001521,0.001372,0.001413,"2,274,950","261,529,000"
20171012,0.001456,0.001462,0.001372,0.001423,"3,586,510","266,845,000"
20171011,0.001335,0.001583,0.00131,0.001455,"3,902,790","244,670,000"
20171010,0.001336,0.001379,0.001306,0.001335,"1,373,350","244,856,000"
20171009,0.001285,0.001372,0.001266,0.001342,"1,009,460","235,565,000"
20171008,0.001296,0.001335,0.001283,0.001291,"1,390,700","237,433,000"
20171007,0.001287,0.001323,0.001267,0.001301,"1,856,540","235,800,000"
20171006,0.001263,0.001327,0.001257,0.001286,"1,375,880","231,538,000"
20171005,0.00126,0.00128,0.001202,0.001259,"1,146,450","230,981,000"
20171004,0.001268,0.001277,0.001207,0.001261,"812,352","232,409,000"
20171003,0.001316,0.001321,0.001234,0.001266,"880,817","241,085,000"
20171002,0.001408,0.001424,0.001288,0.001317,"2,064,000","258,018,000"
20171001,0.001395,0.001424,0.001347,0.001409,"1,733,920","255,692,000"
20170930,0.001383,0.001426,0.001347,0.001392,"1,787,410","253,381,000"
20170929,0.001429,0.001432,0.001282,0.001397,"2,220,420","261,923,000"
20170928,0.001459,0.001498,0.001395,0.001429,"1,801,320","267,358,000"
20170927,0.00129,0.001459,0.001283,0.00145,"1,584,280","236,391,000"
20170926,0.001302,0.001337,0.001282,0.001293,"1,401,450","238,671,000"
20170925,0.00122,0.001328,0.001209,0.001307,"1,542,110","223,592,000"
20170924,0.001277,0.001281,0.001185,0.001219,"1,459,620","233,952,000"
20170923,0.001132,0.001277,0.001111,0.001274,"1,756,300","207,420,000"
20170922,0.001138,0.001183,0.001087,0.001139,"1,027,870","208,631,000"
20170921,0.001266,0.00127,0.001112,0.001136,"1,540,480","232,076,000"
20170920,0.001326,0.001342,0.001258,0.001272,"1,938,890","242,977,000"
20170919,0.001415,0.001434,0.001309,0.001324,"1,606,840","259,390,000"
20170918,0.001272,0.001426,0.001272,0.001426,"2,019,040","233,140,000"
20170917,0.00126,0.001335,0.001196,0.001276,"1,661,710","230,864,000"
20170916,0.001301,0.001396,0.001193,0.001259,"2,647,070","238,449,000"
20170915,0.001201,0.001346,0.000935,0.001304,"3,224,320","220,046,000"
20170914,0.001547,0.001572,0.001171,0.001194,"2,712,480","283,490,000"
20170913,0.001766,0.001766,0.001446,0.001544,"2,823,280","323,600,000"
