day,open,high,low,close,volume,market_cap
20171030,283.65,287.69,282.32,285.94,"40,805,700","2,170,290,000"
20171029,275.25,288.6,275.25,283.93,"75,483,100","2,105,420,000"
20171028,281.42,287.92,272.36,275.69,"47,092,100","2,152,090,000"
20171027,286.14,289.13,279.33,280.48,"38,421,900","2,187,650,000"
20171026,289.03,292.41,282.78,286.13,"49,309,000","2,209,130,000"
20171025,294.47,298.78,283.92,289.14,"43,986,700","2,250,180,000"
20171024,283.94,302.65,277.2,293.2,"59,674,600","2,169,120,000"
20171023,275.44,291.24,263.91,284.23,"52,259,300","2,103,630,000"
20171022,277.93,283.88,269.73,275.7,"46,070,400","2,122,130,000"
20171021,288.95,290.12,272.08,277.86,"47,244,600","2,205,720,000"
20171020,295.41,301.66,288.19,289.19,"47,125,400","2,254,410,000"
20171019,297.85,300.16,291.89,295.47,"30,741,800","2,272,420,000"
20171018,300.02,300.19,280.05,297.26,"38,693,900","2,288,450,000"
20171017,302.28,304.33,298.17,299.88,"42,569,400","2,305,090,000"
20171016,309.46,310.98,300.75,302.21,"38,139,700","2,359,250,000"
20171015,317.01,317.01,294.34,309.51,"45,301,300","2,416,140,000"
20171014,310.23,319.02,306.94,316.69,"43,951,700","2,363,830,000"
20171013,292.39,311.69,289.19,310.38,"69,258,500","2,227,330,000"
20171012,298.12,298.4,290.04,291.91,"42,625,600","2,270,420,000"
20171011,291.41,301.5,286.64,298.4,"26,434,900","2,218,760,000"
20171010,283.55,296.02,280.08,291.27,"32,941,200","2,158,330,000"
20171009,299.7,300.84,271.83,283.67,"52,085,800","2,280,670,000"
20171008,310.25,315.02,301.11,302.48,"33,683,300","2,360,300,000"
20171007,307.54,314.22,303.77,310.49,"27,552,700","2,339,080,000"
20171006,305.25,311.21,304.36,306.88,"22,935,800","2,321,080,000"
20171005,305.39,307.54,296.74,305.4,"27,180,400","2,321,550,000"
20171004,296.74,315.79,296.74,305.46,"40,983,500","2,255,220,000"
20171003,308.56,310.21,291.7,296.24,"37,104,400","2,342,990,000"
20171002,315.95,320.79,306.57,308.69,"29,696,600","2,398,500,000"
20171001,326.94,327.5,315.76,315.8,"25,835,800","2,481,300,000"
20170930,327.34,331.81,326.16,327.14,"27,802,400","2,483,630,000"
20170929,337.93,338.89,318.7,327.7,"38,011,000","2,563,340,000"
20170928,345.97,346.54,328.83,338.25,"49,620,000","2,623,640,000"
20170927,338.69,348.49,337.57,346.43,"52,033,700","2,567,810,000"
20170926,345.08,349.49,338.35,339.1,"45,406,700","2,615,520,000"
20170925,330.63,346.35,330.63,345.09,"58,356,100","2,505,380,000"
20170924,350.4,358.04,331.17,331.85,"111,537,000","2,654,460,000"
20170923,346.76,358.44,342.39,350.79,"55,928,100","2,626,220,000"
20170922,331.11,355.75,331.11,346.58,"90,613,000","2,507,060,000"
20170921,342.41,369.07,321.81,330.05,"146,454,000","2,591,910,000"
20170920,323.78,351.19,316.72,342.43,"74,246,200","2,450,240,000"
20170919,333.64,334.27,312.91,324.26,"34,362,500","2,524,200,000"
20170918,311.89,335.44,311.89,333,"56,189,000","2,359,070,000"
20170917,298.59,315.58,278.17,313.84,"38,081,600","2,257,850,000"
20170916,284.5,301.23,276.57,298.86,"43,702,600","2,150,800,000"
20170915,236.05,300.11,220.51,284.36,"72,695,500","1,784,040,000"
20170914,301.11,303.74,236.24,236.24,"35,013,800","2,275,100,000"
