day,open,high,low,close,volume,market_cap
20171030,29.23,30.46,28.13,30.25,"725,660","177,022,000"
20171029,30.6,33.72,29.31,29.35,"1,562,360","185,115,000"
20171028,29.7,32.16,29.41,30.96,"874,341","179,462,000"
20171027,30.17,32.18,29.04,29.72,"731,325","182,148,000"
20171026,34.68,35.19,28.97,30.22,"1,918,150","209,077,000"
20171025,27.5,36.86,26.8,35,"2,207,130","165,660,000"
20171024,23.48,28.54,22.84,27.59,"1,110,740","141,305,000"
20171023,26.26,26.33,23.18,23.48,"599,996","157,850,000"
20171022,24.84,26.28,23.6,26.1,"399,806","149,159,000"
20171021,24.67,26.95,23.04,24.79,"813,369","147,917,000"
20171020,27.37,29.11,24.73,24.82,"717,252","163,937,000"
20171019,27.41,27.62,26.55,26.97,"296,157","164,046,000"
20171018,28.74,28.81,25.52,27.4,"515,494","171,811,000"
20171017,27.23,29.58,26.31,28.85,"582,969","162,532,000"
20171016,27.73,28.23,26.3,27.23,"509,012","165,330,000"
20171015,28.27,29.19,26.1,27.75,"430,738","168,369,000"
20171014,27.6,29.45,27.26,28.15,"530,962","164,193,000"
20171013,28.74,29.1,25.99,27.59,"820,954","170,806,000"
20171012,27.71,28.91,27,28.86,"814,095","164,484,000"
20171011,27.83,28.9,27.03,27.84,"530,678","164,998,000"
20171010,26.46,29.49,25.16,27.84,"855,310","156,740,000"
20171009,27.4,28.99,24.69,26.59,"1,145,220","162,116,000"
20171008,29.81,30.09,26.8,27.22,"890,223","176,166,000"
20171007,30.68,31.41,29.09,29.88,"450,194","181,077,000"
20171006,30.34,30.73,29.37,30.51,"579,396","178,854,000"
20171005,30.84,32.26,29.5,30.34,"535,107","181,640,000"
20171004,31.58,33.53,30.33,30.78,"583,156","185,787,000"
20171003,34.11,34.11,30.36,31.66,"756,207","200,443,000"
20171002,33.1,36.41,32.2,34.21,"1,346,750","194,309,000"
20171001,34.49,34.69,32.45,33.1,"769,357","202,154,000"
20170930,34.2,35.48,33.35,34.58,"577,705","200,263,000"
20170929,34.65,34.88,32.87,34.14,"636,638","202,656,000"
20170928,36.2,36.38,33.54,34.66,"1,082,720","211,480,000"
20170927,33.74,37.38,33.37,36.1,"1,591,530","196,921,000"
20170926,34.96,35.27,33.46,33.46,"955,503","203,777,000"
20170925,33.76,35.72,33.22,34.96,"1,251,560","196,539,000"
20170924,37.23,37.69,33.36,33.72,"1,230,700","216,445,000"
20170923,30.79,38.15,30.79,37.54,"1,658,140","178,795,000"
20170922,31.93,35.6,31.13,31.13,"1,478,070","185,250,000"
20170921,36,38.34,31.6,31.98,"3,104,750","208,604,000"
20170920,32.41,40.08,32.16,36.07,"5,887,380","187,570,000"
20170919,31.01,33.95,29.34,32.4,"1,782,770","179,257,000"
20170918,29.49,32.47,29.49,30.94,"1,157,730","170,259,000"
20170917,30.89,31.39,28.63,29.79,"706,172","178,125,000"
20170916,29.58,33.39,28.77,30.89,"1,029,260","170,410,000"
20170915,24.1,31.19,21.85,29.7,"2,353,720","138,667,000"
20170914,26.22,27.27,22.12,23.83,"1,921,540","150,699,000"
20170913,27.51,29.23,24.53,26.73,"1,649,640","157,889,000"
20170912,28.93,30.61,26.5,27.73,"847,669","165,834,000"
20170911,28.66,30.03,27.28,29.01,"998,634","164,109,000"
20170910,30.72,31.27,27.29,28.69,"906,475","175,700,000"
20170909,31.54,31.89,29.39,30.4,"788,176","180,165,000"
20170908,33.9,36.59,29.84,31.53,"1,296,220","193,444,000"
20170907,34.51,34.91,32.86,33.93,"726,765","196,639,000"
20170906,33.79,35.44,32.56,34.74,"918,098","192,361,000"
20170905,32.24,34.56,28.93,34.08,"1,176,300","183,293,000"
20170904,36.44,36.86,29.6,32.27,"1,541,850","206,928,000"
20170903,36.29,39.31,34.83,36.64,"646,132","205,793,000"
20170902,41.05,42.35,34.65,36.33,"1,128,560","232,566,000"
20170901,38.1,41.74,36.86,41.35,"1,876,320","215,536,000"
20170831,38.32,38.94,36.14,38.09,"1,380,050","216,516,000"
20170830,35.37,39.68,35.01,38.4,"1,773,310","199,655,000"
20170829,39.59,39.93,35.23,35.39,"2,636,660","223,165,000"
20170828,40.7,42.18,37.66,39.82,"2,252,980","229,128,000"
20170827,38.39,43.28,35.97,41.21,"3,136,050","215,803,000"
20170826,34.64,42.07,33.12,38.53,"4,209,060","194,536,000"
20170825,31.09,34.54,29.91,34.53,"1,982,100","174,411,000"
20170824,26.41,31.88,26.32,31.16,"2,852,650","147,963,000"
20170823,25.97,27.99,25.07,26.32,"876,055","145,282,000"
20170822,27.4,27.73,24.41,25.96,"1,131,900","153,117,000"
20170821,26.27,28.06,25.12,27.41,"934,142","146,632,000"
20170820,27.14,27.29,24.76,26.28,"976,831","151,313,000"
20170819,23.74,27.92,22.27,27.92,"1,297,340","132,181,000"
20170818,24.39,26.72,23.31,23.88,"794,764","135,614,000"
20170817,26.2,27.56,23.81,24.47,"975,883","145,531,000"
20170816,30.05,30.21,24.51,26.27,"1,203,980","166,699,000"
20170815,23.33,31.02,22.66,30.02,"1,976,850","129,238,000"
20170814,25.37,26.56,21.48,23.32,"1,706,170","140,380,000"
20170813,26.37,27.72,22.95,25.59,"1,232,020","145,710,000"
20170812,26.74,29.15,25.05,26.59,"1,688,200","147,601,000"
20170811,28.2,29,26.18,26.74,"1,910,380","155,440,000"
20170810,29.47,30.5,28.2,28.2,"862,145","162,243,000"
20170809,31.73,32.33,28.26,29.47,"1,420,520","174,444,000"
20170808,30.67,32.43,29.31,31.68,"978,874","168,415,000"
20170807,30.51,31.24,28.72,30.51,"958,877","167,328,000"
20170806,30.37,31.35,30.1,30.58,"659,951","166,393,000"
20170805,28.31,31.49,28.29,30.49,"959,859","154,871,000"
20170804,28.69,29.68,28.32,28.32,"545,456","156,776,000"
20170803,29.18,29.57,28.15,28.58,"626,260","159,211,000"
20170802,29.26,31.12,28.7,29.29,"692,111","159,476,000"
20170801,28.98,31.45,26.67,29.35,"1,189,560","157,743,000"
20170731,26.29,29.84,25.26,28.73,"1,306,050","142,923,000"
20170730,30.33,31.49,26.27,26.3,"1,908,450","164,663,000"
20170729,23.18,30.65,22.59,30.02,"2,558,920","125,663,000"
20170728,25.25,25.89,21.72,23.2,"1,466,680","136,730,000"
20170727,25.89,25.97,24.49,25.17,"444,541","140,044,000"
20170726,25.76,26.57,23.45,25.82,"519,526","139,150,000"
20170725,28.27,29.64,23.59,25.9,"1,679,880","152,478,000"
20170724,28.14,29.23,27.11,28.41,"853,258","151,585,000"
20170723,30.11,30.69,25.74,28.48,"828,897","161,983,000"
20170722,26.78,30.28,26.6,30.02,"1,070,060","143,869,000"
20170721,26.78,28.92,25.86,26.87,"720,384","143,707,000"
20170720,23.06,27.91,23.06,26.85,"1,274,350","123,563,000"
20170719,24.91,25.92,22.96,23.3,"813,883","133,317,000"
20170718,24.62,26.3,22.77,24.72,"1,384,330","131,571,000"
20170717,18.8,24.66,18.8,24.42,"1,098,540","100,370,000"
20170716,19.92,21.05,17.51,19.13,"884,628","106,193,000"
20170715,22.37,22.84,19.04,20.21,"788,266","119,067,000"
20170714,25.61,25.67,21.18,22.55,"1,280,400","136,178,000"
20170713,28.26,28.71,25.13,25.67,"806,704","150,033,000"
20170712,25.44,28.49,23.02,28.19,"1,542,700","134,895,000"
20170711,24.57,31.31,24.57,25.44,"2,338,340","130,152,000"
20170710,33.22,33.95,24,24.58,"2,196,480","175,724,000"
20170709,36.57,36.96,32.73,33.11,"2,005,270","193,186,000"
20170708,29.81,37.63,29.48,36.88,"2,927,310","157,260,000"
20170707,35.19,36.99,29.62,29.89,"1,441,280","185,385,000"
20170706,37.27,37.27,34.9,35.16,"905,811","196,079,000"
20170705,36.32,39.35,34,37.33,"3,216,940","190,855,000"
20170704,31.81,36.89,31.81,36.26,"1,909,980","166,912,000"
20170703,29.73,32.63,28.73,31.86,"1,183,960","155,746,000"
20170702,29.34,30.7,27.48,29.8,"1,261,070","153,510,000"
20170701,32.35,34.87,27.63,29.21,"2,355,220","169,093,000"
20170630,34.27,34.52,31.69,32.26,"1,922,690","178,839,000"
20170629,36.02,37.1,33.06,34.2,"1,066,580","187,711,000"
20170628,36.62,37.37,34.23,36.09,"1,453,690","190,554,000"
20170627,35.26,36.26,29.13,36.26,"2,134,180","183,242,000"
20170626,38.66,40.86,29.57,35.26,"3,233,030","200,625,000"
20170625,43.14,43.44,35.9,38.81,"2,068,440","223,596,000"
20170624,46.17,48.53,41.35,43.29,"2,074,380","238,976,000"
20170623,42.82,47.34,42.44,45.55,"3,936,480","221,303,000"
20170622,36.87,44.8,36.74,43.12,"5,629,680","190,323,000"
20170621,35.68,38.74,34.61,37.04,"2,080,240","183,928,000"
20170620,40.18,40.61,34.39,35.71,"3,106,890","206,818,000"
20170619,42.08,42.08,38.76,40.05,"5,853,420","216,323,000"
20170618,32.03,45.72,31.79,41.95,"11,185,200","164,444,000"
20170617,32.51,32.51,30.88,31.83,"1,336,480","166,673,000"
20170616,30.16,32.95,28.52,32.57,"1,267,190","154,382,000"
20170615,31.06,31.71,25.57,30.18,"1,402,140","158,782,000"
20170614,36.74,37.57,30.21,31.22,"1,413,710","187,546,000"
20170613,33.42,37.54,33.04,36.87,"2,086,310","170,407,000"
20170612,40.86,43.04,32.07,33.73,"3,761,090","208,041,000"
20170611,41.05,43.99,36.87,41.05,"5,497,050","208,689,000"
20170610,42.44,45.04,37.41,41.08,"5,631,520","215,444,000"
20170609,34.61,42.12,34.15,42.12,"4,390,150","175,431,000"
20170608,32.77,35.74,31.86,34.66,"2,388,670","165,901,000"
20170607,34.61,38.93,32.22,32.62,"3,270,310","174,967,000"
