day,open,high,low,close,volume,market_cap
20171030,62.18,63.39,59.22,61.32,"246,921","124,351,000"
20171029,59.38,63.46,59.15,62.39,"143,368","118,768,000"
20171028,59.53,59.96,58.54,59.35,"94,438","119,069,000"
20171027,60,60.48,58.52,59.45,"104,293","120,003,000"
20171026,63.68,63.82,58.82,60,"153,400","127,356,000"
20171025,59.87,64.07,58.63,63.72,"124,232","119,746,000"
20171024,58.82,62.61,57.37,59.85,"156,284","117,644,000"
20171023,62.2,62.39,57.79,58.84,"150,503","124,409,000"
20171022,62.93,64.12,61.94,62.25,"121,451","125,853,000"
20171021,64.52,65.47,62.99,62.99,"162,315","129,045,000"
20171020,64.56,67.23,62.74,64.55,"138,370","129,112,000"
20171019,70.42,72.54,62.63,64.58,"176,507","140,835,000"
20171018,70.42,70.88,65.43,70.52,"129,172","140,850,000"
20171017,71.13,72.29,68.7,70.45,"136,250","142,260,000"
20171016,66,74.22,63.53,71.09,"391,412","132,005,000"
20171015,71.37,71.39,65.31,65.56,"183,355","142,732,000"
20171014,73.83,75.8,70.32,71.42,"144,168","147,653,000"
20171013,67.79,74.4,60.11,74.4,"294,264","135,572,000"
20171012,73.47,75.29,66.45,67.55,"261,324","146,938,000"
20171011,66.8,76.44,66.8,73.42,"237,086","133,607,000"
20171010,70.73,71.52,65.98,66.8,"222,425","141,464,000"
20171009,73.55,75.34,70.1,70.71,"243,862","147,103,000"
20171008,77.48,79.3,72.65,73.68,"179,966","154,953,000"
20171007,71.27,78.46,71.16,77.61,"187,754","142,543,000"
20171006,68.85,71.16,68.48,71.16,"142,300","137,703,000"
20171005,69.25,70.01,66.5,68.82,"205,904","138,502,000"
20171004,72.1,72.27,67.85,69.23,"196,332","144,206,000"
20171003,76.94,77.31,70.97,71.95,"335,321","153,870,000"
20171002,79.04,80.29,76.45,76.92,"114,692","158,082,000"
20171001,79.91,80.16,76.74,79.98,"225,355","159,817,000"
20170930,78.73,80.22,78.15,79.88,"117,382","157,469,000"
20170929,78.12,78.93,75,78.71,"245,868","156,233,000"
20170928,75.28,78.68,73.37,78.19,"260,764","150,561,000"
20170927,70.62,78.24,70.55,75.29,"290,332","141,235,000"
20170926,71.32,72.58,68.92,70.8,"199,681","142,649,000"
20170925,68.33,72.41,68.33,71.33,"135,737","136,667,000"
20170924,67.7,70.08,67.23,68.36,"111,474","135,404,000"
20170923,63.9,67.82,63.18,67.7,"114,763","127,807,000"
20170922,64.15,66.3,62.41,64.05,"142,469","128,294,000"
20170921,70.54,71.42,62.91,64.24,"138,597","141,082,000"
20170920,76.35,76.92,70.39,70.8,"137,248","152,701,000"
20170919,74.08,78.65,72.16,76.63,"123,964","148,167,000"
20170918,65.72,76.68,65.72,73.92,"177,684","131,448,000"
20170917,64.59,66.37,61.29,65.8,"176,159","129,188,000"
20170916,68.71,72.57,63.11,64.62,"233,470","137,411,000"
20170915,59.36,70.88,53.58,68.84,"258,231","118,716,000"
20170914,74.38,75.9,58.97,58.97,"162,867","148,750,000"
20170913,77.77,77.91,67.03,74.36,"349,869","155,545,000"
20170912,84.88,85.67,76.26,78,"209,600","169,754,000"
20170911,79.45,87.96,72.45,85.84,"600,743","158,901,000"
20170910,93.82,94.06,74.83,79.64,"420,146","187,647,000"
20170909,77.89,94.02,74.78,94,"390,809","155,782,000"
20170908,90.44,90.44,76.42,78.25,"284,247","180,885,000"
20170907,88.63,92.89,85.27,90.36,"225,027","177,251,000"
20170906,76.97,98.83,73.42,88.75,"765,712","153,944,000"
20170905,71.54,78.75,62.67,76.83,"435,779","143,089,000"
20170904,91.57,91.7,61.65,72.35,"816,708","183,130,000"
20170903,86.28,91.6,82.19,91.5,"531,397","172,564,000"
20170902,97.4,97.88,83.45,84.71,"755,184","194,805,000"
20170901,98.5,101.17,94.63,97.34,"871,656","197,006,000"
20170831,99.99,100.37,97.09,98.48,"402,904","199,972,000"
20170830,100.32,101.65,92.31,100.06,"849,491","200,641,000"
20170829,101.19,101.19,91,98.77,"893,938","202,373,000"
20170828,95.67,101.72,90.5,99.38,"895,257","191,334,000"
20170827,99.17,99.96,93.17,95.95,"527,233","198,344,000"
20170826,95.95,99.14,93.25,98.47,"357,805","191,891,000"
20170825,94.13,98.6,91.58,97.23,"480,682","188,267,000"
20170824,86.47,97.2,80.93,94.2,"1,223,200","172,949,000"
20170823,77.26,96.78,76.49,85.9,"1,488,730","154,512,000"
20170822,78.8,81.08,72.76,78.07,"534,095","157,608,000"
20170821,78.38,82.25,75.23,78.71,"799,993","156,765,000"
20170820,75.38,79.06,73.06,78.49,"346,088","150,758,000"
20170819,75.5,76.23,72.38,75.59,"431,530","151,010,000"
20170818,78.91,79.42,74.54,75.48,"478,992","157,822,000"
20170817,82.76,83.48,75.68,79.21,"845,792","165,521,000"
20170816,76.04,83.29,74.35,82.7,"910,398","152,089,000"
20170815,77.29,77.46,71.26,76.04,"538,750","154,584,000"
20170814,76.87,82.44,75.24,77.25,"671,946","153,741,000"
20170813,82.43,83.29,74.48,76.76,"914,966","164,854,000"
20170812,79.69,91.58,79.69,82.48,"801,792","159,379,000"
20170811,75.86,81.69,74.53,79.75,"700,959","151,728,000"
20170810,80.62,80.74,75.05,77.04,"655,106","161,232,000"
20170809,89.88,90.08,77.75,80.55,"496,285","179,762,000"
20170808,74.86,92.06,74.32,89.47,"1,157,260","149,715,000"
20170807,71.07,75.4,68.56,75.4,"496,994","142,147,000"
20170806,72.36,72.67,68.07,71.36,"364,129","144,725,000"
20170805,70.31,74.75,69.79,72.29,"464,525","140,627,000"
20170804,70.97,70.97,67.79,70.34,"326,883","141,935,000"
20170803,70.61,71.42,68.01,71.12,"318,499","141,220,000"
20170802,70.35,71.02,66.66,70.62,"281,870","140,709,000"
20170801,62.76,70.33,62.57,70.33,"454,158","125,517,000"
20170731,61.47,63.94,60.4,62.72,"215,921","122,946,000"
20170730,59.23,65.31,58.87,61.49,"344,026","118,460,000"
20170729,58.82,64.79,55.86,59.21,"409,162","117,649,000"
20170728,62.12,62.93,57.84,58.86,"271,233","124,248,000"
20170727,66.18,66.29,60.38,62.22,"367,741","132,357,000"
20170726,62.13,66.01,56.99,65.13,"930,842","124,266,000"
20170725,65,68.09,57.9,61.82,"875,006","130,003,000"
20170724,58.81,67.84,55.37,65.02,"527,079","117,626,000"
20170723,58.02,59.48,53.11,58.72,"654,680","116,040,000"
20170722,57.57,59.44,56.5,58.58,"697,943","115,134,000"
20170721,62.32,63.49,56.52,57.7,"714,003","124,632,000"
20170720,57.98,63.12,55.81,62.65,"497,273","115,964,000"
20170719,59.32,61.92,55.39,58.04,"256,829","118,634,000"
20170718,51.94,61.78,50.4,59.17,"349,855","103,887,000"
20170717,44.39,53.15,44.39,52.82,"171,891","88,781,000"
20170716,44.63,47.81,43.06,44.27,"148,037","89,259,300"
20170715,54,54.36,45.47,45.47,"194,616","108,002,000"
20170714,58.13,59,51.13,53.99,"353,322","116,258,000"
20170713,66.74,66.84,55.46,58.79,"439,864","133,470,000"
20170712,53.28,66.84,48.59,66.07,"970,195","106,556,000"
20170711,52.47,55.53,44.77,53.25,"955,293","104,942,000"
20170710,58.85,66.38,52.34,53.73,"467,955","117,709,000"
20170709,64.82,70.18,58.8,58.8,"228,760","129,648,000"
20170708,61.94,64.81,56.64,64.81,"513,128","123,888,000"
20170707,74.05,75.22,61.27,61.93,"574,652","148,108,000"
20170706,77.19,77.21,73.75,75.04,"217,631","154,388,000"
20170705,78.62,78.62,73.66,77.21,"241,860","157,246,000"
20170704,80.06,80.9,77.37,78.62,"203,910","160,116,000"
20170703,76.39,81.31,75.36,80.43,"375,775","152,785,000"
20170702,78,81.2,73.9,76.55,"503,756","156,007,000"
20170701,80.84,82.47,77.4,78.03,"279,358","161,684,000"
20170630,83.16,86.15,80.43,80.78,"407,303","166,319,000"
20170629,90.62,92.56,78.84,83.2,"738,085","181,239,000"
20170628,87.19,92.69,81.72,90.65,"653,954","174,385,000"
20170627,84.47,87.93,70.74,86.73,"644,318","168,941,000"
20170626,89.01,90.51,73.05,84.47,"858,397","178,029,000"
20170625,91.86,93.83,87.53,88.29,"601,080","183,728,000"
20170624,95.2,98.05,87.49,92.21,"590,792","190,395,000"
20170623,97.76,101.33,92.42,95.21,"749,132","195,516,000"
