day,open,high,low,close,volume,market_cap
20171030,0.667644,0.742194,0.646114,0.711433,"20,481,800","291,212,000"
20171029,0.536399,0.680899,0.536399,0.665881,"19,902,600","232,441,000"
20171028,0.522242,0.539194,0.521951,0.536368,"5,960,600","225,217,000"
20171027,0.518989,0.52354,0.502715,0.522118,"4,730,120","223,174,000"
20171026,0.50434,0.52974,0.502833,0.518944,"5,314,240","215,751,000"
20171025,0.514902,0.520106,0.497452,0.504073,"5,046,620","219,135,000"
20171024,0.49279,0.531023,0.482726,0.514935,"7,089,410","208,860,000"
20171023,0.517658,0.518657,0.480196,0.493225,"6,162,350","218,357,000"
20171022,0.526479,0.538859,0.504792,0.51797,"5,538,990","221,105,000"
20171021,0.540259,0.541115,0.512558,0.526792,"7,066,060","226,053,000"
20171020,0.566626,0.579606,0.540684,0.540684,"6,150,650","235,831,000"
20171019,0.545624,0.59005,0.544242,0.566708,"8,084,770","225,606,000"
20171018,0.554269,0.560554,0.514188,0.546006,"7,320,330","228,420,000"
20171017,0.562389,0.564163,0.544123,0.552144,"6,374,050","230,284,000"
20171016,0.571853,0.581349,0.561856,0.561856,"6,005,900","232,974,000"
20171015,0.58344,0.586516,0.563429,0.571914,"6,573,060","236,824,000"
20171014,0.584829,0.618572,0.578119,0.582836,"6,436,220","235,451,000"
20171013,0.591619,0.614803,0.56772,0.58397,"8,587,370","237,037,000"
20171012,0.610294,0.632223,0.584208,0.591723,"8,681,880","243,333,000"
20171011,0.556461,0.626727,0.552679,0.610223,"8,705,650","220,811,000"
20171010,0.557554,0.575712,0.548996,0.555214,"7,701,180","220,246,000"
20171009,0.603543,0.60398,0.547139,0.557142,"6,657,950","237,202,000"
20171008,0.587396,0.605634,0.577351,0.604501,"5,854,700","229,724,000"
20171007,0.599816,0.604416,0.572312,0.588553,"6,250,760","233,480,000"
20171006,0.606706,0.608968,0.591342,0.599844,"6,785,670","234,980,000"
20171005,0.599336,0.620752,0.57553,0.606157,"8,038,660","230,827,000"
20171004,0.631988,0.634008,0.585308,0.601539,"5,449,300","242,210,000"
20171003,0.652812,0.668738,0.616319,0.63123,"7,114,830","248,943,000"
20171002,0.707986,0.714239,0.636093,0.654973,"8,299,880","268,425,000"
20171001,0.721765,0.725224,0.674128,0.70776,"8,938,190","272,363,000"
20170930,0.718682,0.752134,0.714021,0.721609,"10,179,600","269,796,000"
20170929,0.816964,0.835309,0.704876,0.717272,"15,499,400","305,136,000"
20170928,0.63294,0.816737,0.630716,0.815693,"22,672,400","234,912,000"
20170927,0.560208,0.636917,0.5575,0.633043,"11,395,600","207,167,000"
