day,open,high,low,close,volume,market_cap
20171030,10.84,10.97,10.8,10.87,"20,081,700","1,050,600,000"
20171029,10.59,11.2,10.59,10.86,"65,005,200","1,026,380,000"
20171028,10.4,10.68,10.29,10.55,"24,204,100","1,007,430,000"
20171027,10.49,10.56,10.32,10.38,"21,540,100","1,015,860,000"
20171026,10.62,10.72,10.46,10.5,"18,961,900","1,028,580,000"
20171025,10.58,10.75,10.3,10.63,"25,582,600","1,024,260,000"
20171024,10.28,10.99,10,10.6,"41,969,800","994,988,000"
20171023,10.82,10.82,9.97,10.28,"39,358,200","1,046,200,000"
20171022,10.93,11.25,10.72,10.83,"19,648,600","1,057,170,000"
20171021,11.21,11.31,10.79,10.92,"20,451,400","1,083,120,000"
20171020,11.36,11.51,11.22,11.22,"28,250,900","1,097,270,000"
20171019,11.52,11.61,11.29,11.34,"25,045,400","1,112,650,000"
20171018,11.92,11.92,10.81,11.53,"55,644,800","1,151,010,000"
20171017,11.9,12.47,11.74,11.92,"75,268,900","1,148,970,000"
20171016,11.95,12.1,11.83,11.89,"28,608,500","1,153,060,000"
20171015,12.24,12.66,11.6,11.95,"52,181,800","1,180,820,000"
20171014,12.2,12.54,12.06,12.26,"38,425,100","1,176,620,000"
20171013,12,12.47,11.66,12.18,"79,837,000","1,157,100,000"
20171012,11.51,12.09,11.41,11.96,"56,959,300","1,109,090,000"
20171011,11.55,11.59,11.41,11.49,"17,991,900","1,112,470,000"
20171010,11.49,11.66,11.35,11.54,"27,818,000","1,107,010,000"
20171009,12.12,12.13,11.24,11.5,"40,264,100","1,166,960,000"
20171008,12.28,12.45,12.1,12.12,"32,447,800","1,181,440,000"
20171007,12.32,12.32,12.09,12.28,"18,414,400","1,185,190,000"
20171006,11.94,12.4,11.94,12.34,"30,320,700","1,148,890,000"
20171005,11.97,12.05,11.62,11.95,"26,552,900","1,150,570,000"
20171004,12.38,12.4,11.95,11.97,"23,010,900","1,190,230,000"
