day,open,high,low,close,volume,market_cap
20171030,0.403103,0.415571,0.385603,0.409046,"9,124,580","1,120,440,000"
20171029,0.395947,0.413541,0.367674,0.40372,"15,972,200","1,100,550,000"
20171028,0.424433,0.428173,0.391215,0.395483,"9,075,000","1,179,720,000"
20171027,0.416744,0.439441,0.395594,0.423355,"8,963,410","1,158,350,000"
20171026,0.443666,0.455887,0.411928,0.417107,"10,747,100","1,233,180,000"
20171025,0.455356,0.473467,0.430005,0.443448,"14,379,600","1,265,680,000"
20171024,0.389144,0.502278,0.377494,0.453682,"47,178,400","1,081,640,000"
20171023,0.391371,0.399234,0.36494,0.386487,"12,380,800","1,087,830,000"
20171022,0.390836,0.411999,0.381438,0.392542,"9,322,400","1,086,340,000"
20171021,0.403854,0.406504,0.32436,0.393045,"20,120,500","1,122,530,000"
20171020,0.432863,0.435639,0.39163,0.401913,"17,771,900","1,203,160,000"
20171019,0.457196,0.465953,0.415102,0.433388,"12,250,600","1,270,790,000"
20171018,0.474621,0.482291,0.427958,0.454575,"12,433,700","1,319,220,000"
20171017,0.452052,0.504408,0.434911,0.468463,"12,590,200","1,256,490,000"
20171016,0.439699,0.459618,0.42375,0.450655,"8,128,940","1,222,160,000"
20171015,0.458649,0.460506,0.414704,0.438429,"8,256,490","1,274,830,000"
20171014,0.441808,0.482837,0.431503,0.457837,"11,493,700","1,228,020,000"
20171013,0.412854,0.445985,0.403912,0.441595,"14,821,100","1,147,540,000"
20171012,0.481734,0.486223,0.391482,0.412417,"16,792,100","1,338,990,000"
20171011,0.477029,0.488967,0.464757,0.481464,"6,996,130","1,325,920,000"
20171010,0.466453,0.488517,0.452723,0.477576,"7,401,800","1,296,520,000"
20171009,0.500356,0.501909,0.439523,0.469438,"18,097,100","1,390,760,000"
20171008,0.534649,0.538526,0.492876,0.500032,"9,637,830","1,486,070,000"
20171007,0.504488,0.548719,0.490615,0.538529,"9,848,850","1,402,240,000"
20171006,0.543216,0.562671,0.493282,0.503448,"12,478,500","1,509,890,000"
