day,open,high,low,close,volume,market_cap
20171030,0.970894,0.999891,0.963641,0.98859,"1,764,840","130,229,000"
20171029,0.940198,1.01,0.935279,0.974032,"1,598,860","126,111,000"
20171028,1.01,1.02,0.931122,0.938338,"1,458,920","135,186,000"
20171027,1.05,1.06,0.999185,1.01,"1,480,770","140,364,000"
20171026,1.09,1.09,1.03,1.05,"1,273,230","145,662,000"
20171025,1.07,1.09,1.02,1.08,"1,806,630","143,240,000"
20171024,0.958708,1.16,0.928185,1.06,"2,674,010","128,594,000"
20171023,1.03,1.03,0.886744,0.959859,"1,818,730","137,817,000"
20171022,1.04,1.07,1.01,1.03,"1,008,560","138,967,000"
20171021,1.04,1.06,0.993162,1.03,"1,222,700","139,223,000"
20171020,1.1,1.12,1.05,1.05,"1,750,820","147,755,000"
20171019,1.18,1.23,1.09,1.11,"1,718,040","157,638,000"
20171018,1.09,1.19,1.02,1.17,"2,117,500","145,975,000"
20171017,1.12,1.14,1.06,1.09,"1,584,850","155,015,000"
20171016,1.13,1.19,1.1,1.12,"1,708,690","156,550,000"
20171015,1.2,1.23,1.11,1.12,"1,581,870","165,467,000"
20171014,1.13,1.26,1.12,1.19,"1,665,910","156,511,000"
20171013,1.21,1.25,1.11,1.14,"3,801,870","167,655,000"
20171012,1.36,1.38,1.2,1.21,"3,191,600","187,762,000"
20171011,1.41,1.45,1.33,1.35,"2,490,110","194,220,000"
20171010,1.32,1.51,1.28,1.41,"3,865,780","182,709,000"
20171009,1.49,1.6,1.25,1.34,"4,111,030","205,720,000"
20171008,1.74,1.74,1.47,1.49,"3,154,360","239,711,000"
20171007,1.69,1.81,1.68,1.73,"3,343,770","232,691,000"
20171006,1.71,1.71,1.58,1.68,"3,614,010","236,075,000"
20171005,1.69,1.73,1.65,1.71,"2,388,130","233,811,000"
20171004,1.74,1.77,1.67,1.69,"2,997,490","239,513,000"
20171003,1.88,1.9,1.68,1.74,"4,315,990","260,007,000"
20171002,2.16,2.16,1.86,1.88,"5,359,390","297,983,000"
20171001,1.78,2.23,1.76,2.15,"9,558,870","245,657,000"
20170930,1.75,1.79,1.71,1.78,"2,964,430","241,157,000"
20170929,1.74,1.83,1.57,1.75,"5,894,070","239,539,000"
20170928,1.75,1.8,1.58,1.75,"6,194,970","241,833,000"
20170927,1.88,1.95,1.37,1.75,"13,061,200","259,508,000"
20170926,2.39,2.46,1.75,1.86,"17,221,400","329,963,000"
20170925,1.85,2.57,1.84,2.37,"20,214,300","255,726,000"
20170924,1.85,1.89,1.58,1.85,"16,343,900","255,074,000"
