day,open,high,low,close,volume,market_cap
20171030,4.86,4.94,4.71,4.93,"8,187,830","555,173,000"
20171029,4.68,4.96,4.67,4.88,"8,168,720","534,088,000"
20171028,4.98,5.08,4.67,4.68,"7,004,750","567,727,000"
20171027,5.17,5.17,4.87,4.96,"7,382,280","589,906,000"
20171026,5.18,5.39,4.95,5.18,"9,611,640","590,839,000"
20171025,5.57,5.57,5.02,5.2,"10,980,300","635,269,000"
20171024,4.69,5.94,4.61,5.53,"17,643,400","534,693,000"
20171023,4.72,4.81,4.42,4.71,"7,981,790","537,739,000"
20171022,4.7,4.83,4.64,4.74,"7,477,790","535,472,000"
20171021,4.9,4.92,4.46,4.71,"9,333,630","558,166,000"
20171020,4.98,5.14,4.84,4.93,"13,489,300","566,917,000"
20171019,5.16,5.26,4.85,4.98,"14,596,700","586,421,000"
20171018,5.12,5.17,4.79,5.14,"13,438,000","581,733,000"
20171017,4.96,5.15,4.8,5.1,"8,296,440","563,972,000"
20171016,4.91,5.14,4.66,4.96,"8,730,360","558,002,000"
20171015,4.79,4.94,4.46,4.91,"9,608,200","544,147,000"
20171014,4.88,4.94,4.62,4.79,"9,047,430","553,614,000"
20171013,4.97,5.09,4.68,4.9,"11,823,300","564,070,000"
20171012,5.37,5.4,4.92,4.98,"12,557,300","608,779,000"
20171011,4.93,5.43,4.93,5.36,"12,557,800","558,728,000"
20171010,4.72,5.01,4.54,4.92,"10,170,300","535,293,000"
20171009,4.66,4.94,4.36,4.7,"14,700,000","528,323,000"
20171008,5.17,5.2,4.6,4.66,"12,078,300","585,926,000"
20171007,5.34,5.34,5.04,5.19,"8,526,500","604,462,000"
20171006,5.42,5.45,5.27,5.34,"7,992,970","613,636,000"
20171005,5.54,5.58,5.27,5.41,"10,001,200","626,278,000"
20171004,5.72,5.87,5.44,5.53,"9,621,440","646,839,000"
20171003,5.42,5.75,5.26,5.7,"11,714,700","612,239,000"
20171002,5.51,5.72,5.36,5.42,"10,486,800","622,697,000"
20171001,5.85,5.86,5.45,5.51,"11,903,000","661,246,000"
20170930,5.71,6.21,5.65,5.82,"12,114,700","645,070,000"
20170929,5.99,6.01,5.44,5.7,"8,932,120","676,183,000"
20170928,6.34,6.35,5.98,5.99,"9,145,610","715,513,000"
20170927,6.13,6.36,5.98,6.32,"11,109,500","691,191,000"
20170926,6.14,6.27,6.05,6.13,"9,352,180","692,649,000"
20170925,5.76,6.22,5.71,6.15,"8,536,390","648,759,000"
20170924,5.96,5.97,5.67,5.75,"6,273,950","671,135,000"
20170923,5.73,6.11,5.7,5.98,"7,668,300","645,080,000"
20170922,5.38,6.09,5.37,5.75,"11,819,200","605,616,000"
20170921,6.04,6.06,5.24,5.39,"11,885,300","679,418,000"
20170920,6.19,6.33,6.06,6.06,"10,364,900","696,190,000"
20170919,6.73,6.82,5.98,6.2,"11,091,300","756,495,000"
20170918,5.55,6.78,5.55,6.74,"13,612,300","624,156,000"
20170917,5.55,5.69,5.05,5.57,"8,040,870","622,974,000"
20170916,5.58,5.82,5.15,5.56,"11,270,000","626,333,000"
20170915,4.47,5.76,4.05,5.58,"28,816,500","501,457,000"
20170914,6.55,6.66,4.31,4.36,"22,776,700","734,755,000"
20170913,7.02,7.06,6.25,6.57,"17,763,300","787,616,000"
20170912,6.75,7.25,6.7,7.02,"22,441,800","756,698,000"
20170911,6.56,6.92,6.53,6.7,"14,443,300","735,418,000"
20170910,6.91,6.93,6.18,6.57,"13,946,200","773,807,000"
20170909,6.92,7.1,6.53,6.9,"13,627,500","775,342,000"
20170908,7.48,8.04,6.38,6.91,"38,000,900","836,843,000"
20170907,6.94,7.61,6.69,7.48,"28,437,300","776,071,000"
20170906,6.1,7.03,6.08,6.96,"27,895,300","682,025,000"
20170905,5.86,6.21,5.1,6.08,"30,894,900","655,141,000"
20170904,7.05,7.05,5.07,5.86,"30,177,000","788,396,000"
20170903,6.74,7.25,6.28,7.08,"18,028,700","752,985,000"
20170902,7.4,7.43,6.36,6.72,"27,494,000","826,520,000"
20170901,7.16,8.21,7.16,7.41,"60,253,600","799,062,000"
20170831,5.99,7.16,5.92,7.09,"43,903,100","668,790,000"
20170830,6.03,6.68,5.36,5.95,"45,880,600","673,037,000"
20170829,6.36,6.6,5.66,6.03,"42,990,100","709,701,000"
20170828,6.86,7.04,5.94,6.31,"50,753,000","764,780,000"
20170827,5.75,7.78,5.75,6.86,"120,069,000","641,195,000"
20170826,4.31,5.9,4.3,5.65,"78,424,100","480,485,000"
20170825,3.67,4.58,3.65,4.32,"34,464,300","408,946,000"
20170824,3.04,4.1,3.03,3.67,"39,306,300","338,477,000"
20170823,2.9,3.2,2.81,3.05,"15,018,100","322,857,000"
20170822,2.73,3.04,2.55,2.91,"14,401,100","303,939,000"
20170821,3.44,3.48,2.63,2.71,"29,155,700","382,390,000"
20170820,2.96,3.98,2.47,3.4,"47,982,900","329,010,000"
20170819,2.01,2.88,1.91,2.85,"7,596,650","223,846,000"
20170818,2.08,2.11,1.97,2.01,"4,453,010","230,573,000"
20170817,2.23,2.24,2.05,2.08,"4,849,940","247,723,000"
20170816,2.17,2.25,2.11,2.24,"5,825,960","240,927,000"
20170815,2.28,2.28,2.07,2.17,"7,013,170","253,094,000"
20170814,2.24,2.39,2.08,2.28,"6,927,410","248,858,000"
20170813,2.33,2.4,2.06,2.24,"5,540,350","258,204,000"
20170812,2.2,2.34,2.11,2.34,"3,115,110","244,160,000"
20170811,2.18,2.3,2.12,2.19,"3,014,740","241,148,000"
20170810,2.28,2.3,2.16,2.18,"3,331,010","252,942,000"
20170809,2.36,2.46,2.17,2.28,"4,068,390","260,632,000"
20170808,2.13,2.38,2.05,2.36,"5,271,700","235,963,000"
20170807,2.15,2.2,2.11,2.14,"2,849,090","237,380,000"
20170806,2.18,2.23,2.12,2.16,"3,047,020","241,330,000"
20170805,2.09,2.22,2.06,2.18,"4,122,620","230,484,000"
20170804,2.08,2.12,2.04,2.08,"3,130,930","230,212,000"
20170803,2.07,2.12,2.02,2.08,"3,850,270","228,412,000"
20170802,2.06,2.25,2.02,2.07,"3,877,300","227,052,000"
20170801,1.93,2.09,1.78,2.05,"2,570,410","212,412,000"
20170731,1.79,1.94,1.75,1.93,"1,577,570","197,460,000"
20170730,1.88,1.89,1.77,1.79,"1,464,650","206,800,000"
20170729,1.83,1.88,1.76,1.87,"2,201,150","201,880,000"
20170728,1.96,2,1.8,1.84,"3,334,170","216,377,000"
20170727,1.95,2.02,1.91,1.96,"2,402,090","214,880,000"
20170726,2.04,2.11,1.87,1.96,"2,562,130","224,534,000"
20170725,2.22,2.48,1.87,2.04,"8,964,080","244,539,000"
