day,open,high,low,close,volume,market_cap
20171030,0.358556,0.365726,0.349367,0.360841,"888,856","162,265,000"
20171029,0.347655,0.375632,0.347286,0.360492,"2,141,310","157,332,000"
20171028,0.347301,0.352109,0.338595,0.347635,"865,695","157,172,000"
20171027,0.346623,0.356157,0.337534,0.349003,"964,655","156,865,000"
20171026,0.35719,0.37358,0.338449,0.346785,"1,144,960","161,647,000"
20171025,0.359791,0.368744,0.332808,0.353409,"1,385,060","162,824,000"
20171024,0.328679,0.388625,0.315785,0.359573,"2,028,920","148,744,000"
20171023,0.339554,0.344703,0.316624,0.333423,"1,453,130","153,666,000"
20171022,0.343103,0.354803,0.326849,0.339187,"1,479,960","155,272,000"
20171021,0.3676,0.369348,0.318334,0.344082,"2,249,650","166,358,000"
20171020,0.36881,0.392459,0.35745,0.366188,"1,936,580","166,906,000"
20171019,0.390811,0.400052,0.367208,0.371025,"1,586,320","176,862,000"
20171018,0.404692,0.407403,0.366012,0.388951,"1,308,610","183,144,000"
20171017,0.400587,0.409457,0.386913,0.407457,"1,580,600","181,287,000"
20171016,0.396609,0.424118,0.390395,0.410087,"1,628,770","179,486,000"
20171015,0.391393,0.409574,0.359108,0.395611,"2,327,030","177,126,000"
20171014,0.392695,0.405869,0.381644,0.390499,"1,545,690","177,715,000"
20171013,0.376244,0.4016,0.33632,0.389132,"3,300,280","170,270,000"
20171012,0.398035,0.411306,0.374674,0.376612,"3,620,640","180,132,000"
20171011,0.400339,0.422003,0.380979,0.397776,"2,534,060","181,174,000"
20171010,0.394199,0.423704,0.37917,0.397485,"2,158,910","178,396,000"
20171009,0.426192,0.436527,0.386101,0.390481,"3,135,910","192,874,000"
20171008,0.457436,0.457436,0.419068,0.424396,"1,994,350","207,014,000"
20171007,0.467108,0.475068,0.441465,0.461798,"1,195,250","211,391,000"
20171006,0.441573,0.473059,0.438291,0.465543,"1,420,160","199,835,000"
20171005,0.447203,0.449161,0.433066,0.441996,"1,352,100","202,383,000"
20171004,0.457827,0.491128,0.444072,0.447794,"1,577,820","207,191,000"
20171003,0.448327,0.481336,0.439717,0.459609,"1,670,930","202,891,000"
20171002,0.460142,0.466589,0.44546,0.447615,"1,244,450","208,239,000"
20171001,0.484165,0.490568,0.453589,0.458944,"1,326,000","219,110,000"
20170930,0.487713,0.498243,0.474255,0.483175,"1,195,870","220,716,000"
20170929,0.493715,0.499521,0.441714,0.487756,"2,144,370","223,432,000"
20170928,0.516791,0.526922,0.489065,0.493983,"1,208,350","233,875,000"
20170927,0.494025,0.519492,0.493901,0.518422,"1,113,950","223,572,000"
20170926,0.505502,0.508317,0.489239,0.49528,"841,541","228,766,000"
20170925,0.475162,0.512946,0.472546,0.504641,"1,071,560","215,036,000"
20170924,0.491218,0.492882,0.472799,0.475649,"830,918","222,302,000"
20170923,0.458712,0.497287,0.452466,0.489933,"950,706","207,591,000"
20170922,0.47702,0.50108,0.455916,0.459998,"2,106,560","215,877,000"
20170921,0.564426,0.573001,0.470225,0.477865,"2,326,580","255,432,000"
20170920,0.554922,0.586108,0.518747,0.568158,"2,693,650","251,131,000"
20170919,0.58986,0.5945,0.549254,0.556714,"1,542,410","266,943,000"
20170918,0.533701,0.590853,0.533701,0.589092,"1,449,840","241,528,000"
20170917,0.535491,0.551738,0.492296,0.533679,"1,566,440","242,338,000"
20170916,0.547794,0.5617,0.508715,0.535006,"1,487,280","247,906,000"
20170915,0.410793,0.569458,0.372331,0.543111,"5,228,990","185,905,000"
20170914,0.53766,0.546175,0.399819,0.408422,"2,038,220","243,319,000"
20170913,0.590998,0.593937,0.484988,0.535843,"2,980,030","267,457,000"
20170912,0.622865,0.652711,0.583592,0.597057,"1,734,310","281,879,000"
20170911,0.615998,0.640274,0.597437,0.622159,"1,701,420","278,771,000"
20170910,0.620601,0.635774,0.556864,0.615799,"2,034,110","280,854,000"
20170909,0.617271,0.640775,0.591102,0.622342,"1,935,650","279,347,000"
20170908,0.673912,0.710756,0.575433,0.61679,"3,097,260","304,981,000"
20170907,0.678518,0.692192,0.654169,0.673047,"1,990,370","307,065,000"
20170906,0.625359,0.683853,0.612682,0.678201,"2,523,720","283,008,000"
20170905,0.574588,0.64138,0.506025,0.622122,"2,984,600","260,031,000"
20170904,0.674363,0.681353,0.489914,0.5732,"4,773,210","305,185,000"
20170903,0.665443,0.71167,0.648994,0.675906,"2,428,930","301,148,000"
20170902,0.715847,0.779562,0.638585,0.66061,"5,036,790","323,958,000"
20170901,0.659459,0.713213,0.645735,0.713048,"3,332,400","298,440,000"
20170831,0.65961,0.688665,0.640427,0.658425,"3,958,540","298,508,000"
20170830,0.636453,0.676536,0.597672,0.667527,"3,680,150","288,028,000"
20170829,0.636112,0.658496,0.61091,0.639214,"5,955,930","287,874,000"
20170828,0.600294,0.641911,0.593419,0.629634,"3,432,980","271,665,000"
20170827,0.623627,0.629692,0.591076,0.600034,"3,060,370","282,224,000"
20170826,0.545786,0.625209,0.529103,0.620014,"5,535,110","246,997,000"
20170825,0.522957,0.550172,0.504616,0.548929,"3,637,720","236,665,000"
20170824,0.477417,0.531915,0.466515,0.506648,"2,654,260","216,056,000"
20170823,0.458912,0.494861,0.44911,0.475873,"2,781,400","207,682,000"
20170822,0.465091,0.490304,0.438118,0.462535,"3,526,460","210,478,000"
20170821,0.483849,0.506383,0.460723,0.465379,"3,696,750","218,967,000"
20170820,0.44393,0.49246,0.42633,0.481021,"2,672,700","200,901,000"
20170819,0.457281,0.473669,0.404922,0.453723,"2,944,220","206,944,000"
20170818,0.43309,0.515224,0.420536,0.451226,"6,033,950","195,996,000"
20170817,0.409238,0.441043,0.400374,0.43455,"2,627,380","185,202,000"
20170816,0.393828,0.411506,0.378887,0.411506,"2,289,320","178,228,000"
20170815,0.377097,0.421429,0.353282,0.394388,"4,758,110","170,656,000"
20170814,0.361646,0.376274,0.347034,0.376181,"2,570,100","163,664,000"
20170813,0.386532,0.389906,0.315819,0.358888,"4,958,590","174,926,000"
20170812,0.368468,0.427088,0.368468,0.386114,"3,732,240","166,751,000"
20170811,0.359333,0.372248,0.348476,0.370524,"2,063,470","162,617,000"
20170810,0.379342,0.381414,0.355855,0.358156,"2,179,920","171,672,000"
20170809,0.356928,0.384435,0.352973,0.382914,"2,001,300","161,529,000"
20170808,0.358123,0.37387,0.350085,0.356663,"1,788,310","162,069,000"
20170807,0.362409,0.371355,0.349853,0.358304,"2,085,350","164,009,000"
20170806,0.353803,0.376888,0.347963,0.365808,"1,296,770","160,115,000"
