day,open,high,low,close,volume,market_cap
20171030,8.81,9.17,8.17,8.17,"4,658,480","169,985,000"
20171029,8.75,9.39,7.88,8.78,"5,286,750","168,918,000"
20171028,8.93,9.26,8.73,8.75,"2,252,080","172,308,000"
20171027,8.82,9.35,8.39,8.8,"3,125,600","170,295,000"
20171026,9.31,10.01,8.46,8.72,"6,551,840","179,769,000"
20171025,7.94,9.53,7.43,9.34,"5,312,160","153,219,000"
20171024,6.88,8.53,6.79,8,"3,486,770","132,735,000"
20171023,6.89,7.15,6.58,6.9,"1,618,060","133,014,000"
20171022,6.6,7.24,6.52,6.88,"1,986,670","127,355,000"
20171021,6.99,7.22,6.13,6.61,"2,052,540","134,923,000"
20171020,7.44,7.66,6.8,7.04,"2,315,030","143,525,000"
20171019,7.94,8.29,7.25,7.3,"1,990,140","153,273,000"
20171018,7.66,8.14,7.06,7.9,"2,273,460","147,753,000"
20171017,7.51,7.86,7.31,7.63,"2,050,680","144,906,000"
20171016,7.24,7.7,7.1,7.51,"840,787","139,830,000"
20171015,7.19,7.59,6.96,7.24,"780,428","138,831,000"
20171014,7.73,8.01,7.13,7.13,"1,142,450","149,189,000"
20171013,7.18,8.08,6.87,7.83,"2,180,050","138,558,000"
20171012,7.53,8.13,6.69,7.17,"2,723,680","145,426,000"
20171011,7.94,7.98,7.23,7.59,"1,467,130","153,240,000"
20171010,5.98,8.04,5.98,7.88,"3,715,860","115,492,000"
20171009,6.22,6.82,5.49,5.89,"3,314,680","119,981,000"
20171008,7.18,7.58,6.01,6.17,"2,656,110","138,622,000"
20171007,7.65,7.88,7.14,7.22,"1,891,750","147,648,000"
20171006,8.36,8.47,7.57,7.66,"1,490,480","161,291,000"
20171005,8.43,8.47,7.8,8.36,"1,141,480","162,768,000"
20171004,8.21,8.66,7.83,8.6,"1,795,230","158,554,000"
20171003,8.88,9.38,7.91,8.2,"1,687,090","171,394,000"
20171002,9.19,9.72,8.85,8.88,"1,376,290","177,372,000"
20171001,9.37,9.97,9,9.07,"2,044,240","180,871,000"
20170930,8.51,9.71,8.47,9.38,"1,581,360","164,307,000"
20170929,9.12,9.28,8.22,8.51,"1,737,870","175,929,000"
20170928,9.45,9.64,8.91,9.13,"992,060","182,470,000"
20170927,8.97,10.33,8.82,9.48,"1,153,240","173,135,000"
20170926,8.93,13.91,8.61,8.99,"988,198","172,348,000"
20170925,7.73,9,7.73,8.93,"1,069,680","149,285,000"
20170924,8.22,8.3,7.75,7.75,"581,347","158,698,000"
20170923,8.1,8.52,7.61,8.26,"523,498","156,397,000"
20170922,7.75,8.28,7.31,8.13,"1,034,690","149,562,000"
20170921,8.37,9.35,7.55,7.76,"2,194,620","161,554,000"
20170920,8.49,8.91,8.31,8.35,"1,260,170","163,816,000"
20170919,9.56,9.56,8.17,8.51,"2,168,430","184,521,000"
20170918,9.11,10.21,9.11,9.53,"2,008,760","175,767,000"
20170917,9.35,9.52,8.48,9.2,"1,106,120","180,469,000"
20170916,9.92,10.32,8.85,9.41,"1,107,890","191,438,000"
20170915,7.53,10.45,6.78,9.8,"3,214,850","145,373,000"
20170914,10.05,10.59,7.4,7.41,"3,149,780","193,996,000"
20170913,10.68,10.68,8.42,10.05,"4,002,980","206,133,000"
20170912,10.83,12,10.3,10.6,"2,627,510","209,118,000"
20170911,11.46,11.97,10.58,10.84,"2,243,030","221,260,000"
20170910,12.23,12.36,10.18,11.44,"2,751,050","236,050,000"
20170909,12.3,12.9,11.42,12.28,"2,628,730","237,495,000"
20170908,13.53,14.23,11.28,12.28,"7,425,800","261,166,000"
20170907,12.04,14.82,11.26,13.53,"12,706,700","232,422,000"
20170906,11.36,12.6,11.09,12.07,"3,288,170","219,290,000"
20170905,9.86,11.56,8.75,11.35,"2,746,360","190,224,000"
20170904,11.05,11.73,8.85,9.89,"5,212,850","213,205,000"
20170903,10.77,11.81,10.47,11.04,"2,574,300","207,931,000"
