day,open,high,low,close,volume,market_cap
20171030,0.200239,0.20373,0.196393,0.200415,"3,529,450","1,802,150,000"
20171029,0.197333,0.209081,0.192299,0.201337,"8,599,400","1,776,000,000"
20171028,0.197981,0.205234,0.193193,0.197236,"4,671,300","1,781,830,000"
20171027,0.199349,0.200953,0.1948,0.19794,"3,603,110","1,794,140,000"
20171026,0.205685,0.207135,0.194916,0.199005,"4,683,120","1,851,170,000"
20171025,0.212028,0.214658,0.201686,0.206495,"4,171,090","1,908,250,000"
20171024,0.197404,0.216699,0.191158,0.212616,"5,808,170","1,776,640,000"
20171023,0.211283,0.212219,0.194769,0.199053,"4,987,880","1,901,550,000"
20171022,0.213296,0.219752,0.200805,0.211949,"4,615,270","1,919,670,000"
20171021,0.21601,0.21706,0.200346,0.212676,"4,326,590","1,944,090,000"
20171020,0.220943,0.23057,0.215075,0.215947,"4,936,400","1,988,490,000"
20171019,0.219728,0.23049,0.218465,0.220531,"3,383,330","1,977,550,000"
20171018,0.21738,0.220582,0.204842,0.220316,"3,409,140","1,956,420,000"
20171017,0.224199,0.235004,0.214333,0.218207,"4,990,440","2,017,790,000"
20171016,0.206955,0.251225,0.205047,0.223181,"14,101,500","1,862,590,000"
20171015,0.21071,0.211642,0.198529,0.2073,"2,933,540","1,896,390,000"
20171014,0.211723,0.213414,0.204445,0.210581,"3,189,400","1,905,510,000"
20171013,0.205702,0.213539,0.194287,0.211569,"5,996,320","1,851,320,000"
20171012,0.214797,0.215428,0.202472,0.206147,"4,425,210","1,933,180,000"
20171011,0.210324,0.221003,0.208849,0.214811,"2,753,270","1,892,910,000"
20171010,0.193943,0.220043,0.193943,0.209909,"5,169,550","1,745,490,000"
20171009,0.19476,0.207524,0.191194,0.194931,"6,003,100","1,752,840,000"
20171008,0.210679,0.212707,0.193791,0.194807,"4,830,460","1,896,110,000"
20171007,0.211943,0.220904,0.20358,0.212189,"4,376,190","1,907,490,000"
20171006,0.211733,0.219321,0.202468,0.211324,"5,122,770","1,905,590,000"
20171005,0.218145,0.21979,0.207328,0.211072,"4,460,130","1,963,310,000"
20171004,0.223357,0.225225,0.217161,0.218456,"2,401,820","2,010,220,000"
20171003,0.231024,0.234681,0.220736,0.22274,"3,327,450","2,079,210,000"
20171002,0.245185,0.245379,0.229043,0.231441,"3,983,190","2,206,660,000"
20171001,0.235614,0.246768,0.230906,0.24618,"4,232,170","2,120,520,000"
20170930,0.236294,0.238731,0.231777,0.235162,"3,376,060","2,126,640,000"
20170929,0.238155,0.239069,0.220942,0.237538,"5,254,500","2,143,400,000"
20170928,0.243626,0.244629,0.234775,0.238268,"3,738,470","2,192,630,000"
20170927,0.2281,0.246097,0.227535,0.243301,"3,733,480","2,052,900,000"
20170926,0.232249,0.23327,0.225479,0.228646,"2,282,950","2,090,240,000"
20170925,0.216117,0.234793,0.215455,0.232506,"2,800,870","1,945,050,000"
20170924,0.221619,0.222573,0.213723,0.216154,"2,016,530","1,994,570,000"
20170923,0.209955,0.223213,0.20839,0.222205,"1,997,070","1,889,590,000"
20170922,0.211115,0.221398,0.202801,0.210635,"2,929,650","1,900,040,000"
20170921,0.230329,0.232441,0.207507,0.210871,"3,361,070","2,072,960,000"
20170920,0.23794,0.238537,0.230744,0.231746,"3,008,920","2,141,460,000"
20170919,0.249597,0.253409,0.233149,0.237664,"5,278,220","2,246,370,000"
20170918,0.204058,0.249752,0.203937,0.248516,"6,232,240","1,836,520,000"
20170917,0.207979,0.20827,0.193608,0.204067,"4,402,470","1,871,810,000"
20170916,0.211927,0.225758,0.19476,0.207831,"5,334,960","1,907,340,000"
20170915,0.164483,0.220357,0.162399,0.211752,"13,231,800","1,480,350,000"
20170914,0.233723,0.236688,0.164254,0.164254,"7,570,880","2,103,510,000"
20170913,0.247999,0.248191,0.210855,0.233825,"9,181,580","2,231,990,000"
20170912,0.251443,0.26675,0.246736,0.249074,"3,902,820","2,262,990,000"
20170911,0.256016,0.269572,0.250612,0.252026,"3,639,410","2,304,150,000"
20170910,0.266973,0.267149,0.241617,0.256975,"6,543,570","2,402,760,000"
20170909,0.267915,0.275212,0.25597,0.267264,"4,871,730","2,411,240,000"
20170908,0.292974,0.300808,0.255711,0.268641,"6,704,690","2,636,760,000"
20170907,0.301906,0.301906,0.289956,0.293376,"4,079,350","2,717,150,000"
20170906,0.287124,0.314433,0.287124,0.301941,"4,629,700","2,584,110,000"
20170905,0.276383,0.292048,0.250638,0.286227,"7,635,410","2,487,450,000"
20170904,0.307735,0.310661,0.256488,0.27322,"9,299,200","2,769,620,000"
20170903,0.29817,0.320628,0.285382,0.307264,"7,413,990","2,683,530,000"
20170902,0.331627,0.332056,0.283507,0.295884,"9,560,410","2,984,640,000"
20170901,0.336602,0.33778,0.312575,0.33231,"12,082,700","3,029,420,000"
20170831,0.295006,0.349178,0.294677,0.337213,"22,669,900","2,655,060,000"
20170830,0.282948,0.298444,0.281908,0.295817,"8,605,120","2,546,530,000"
20170829,0.280268,0.287156,0.278896,0.283717,"7,845,260","2,522,410,000"
20170828,0.274706,0.288868,0.271786,0.278257,"9,644,680","2,472,360,000"
20170827,0.270562,0.280701,0.264681,0.274641,"8,192,460","2,435,060,000"
20170826,0.26962,0.276365,0.260447,0.268393,"7,902,690","2,426,580,000"
20170825,0.262673,0.28578,0.256545,0.270482,"8,676,560","2,364,060,000"
20170824,0.250082,0.270494,0.248789,0.265512,"10,249,000","2,250,740,000"
20170823,0.25398,0.258227,0.239639,0.249603,"8,303,140","2,285,820,000"
20170822,0.254965,0.262755,0.239185,0.254089,"10,350,500","2,294,690,000"
20170821,0.271799,0.293674,0.239623,0.252456,"13,775,000","2,446,190,000"
20170820,0.254106,0.308286,0.253636,0.271441,"13,189,900","2,286,960,000"
20170819,0.242342,0.26866,0.22781,0.256137,"9,197,000","2,181,080,000"
20170818,0.24402,0.258577,0.233091,0.243244,"7,653,200","2,196,180,000"
20170817,0.256625,0.261976,0.240417,0.244955,"6,487,950","2,309,620,000"
20170816,0.249098,0.27148,0.24608,0.258012,"10,039,900","2,241,880,000"
20170815,0.256281,0.256357,0.224459,0.247928,"12,637,400","2,306,530,000"
