day,open,high,low,close,volume,market_cap
20171030,0.002951,0.003177,0.002432,0.002784,"1,347,640","193,057,000"
20171029,0.002988,0.003186,0.002932,0.002956,"1,605,430","195,501,000"
20171028,0.003059,0.003109,0.002809,0.002999,"1,031,720","200,154,000"
20171027,0.00284,0.003214,0.002782,0.003051,"1,589,480","185,820,000"
20171026,0.003029,0.003048,0.002588,0.002841,"794,428","198,188,000"
20171025,0.002656,0.003287,0.002635,0.003033,"715,742","173,757,000"
20171024,0.002425,0.002722,0.002365,0.002632,"297,411","158,627,000"
20171023,0.002575,0.002624,0.002293,0.002428,"221,618","168,489,000"
20171022,0.002306,0.002606,0.002306,0.002583,"244,796","150,861,000"
20171021,0.001953,0.002332,0.001862,0.002298,"243,113","127,768,000"
20171020,0.001916,0.002126,0.001901,0.001942,"211,546","125,322,000"
20171019,0.002094,0.002137,0.001887,0.001915,"325,575","136,915,000"
20171018,0.001943,0.002106,0.00183,0.002095,"189,768","127,059,000"
20171017,0.002156,0.002243,0.001907,0.001944,"116,008","140,970,000"
20171016,0.002286,0.002337,0.002008,0.002156,"152,645","149,526,000"
20171015,0.002378,0.00246,0.002078,0.002286,"116,033","155,487,000"
20171014,0.002114,0.002498,0.002087,0.002394,"121,404","138,239,000"
20171013,0.002345,0.00251,0.002022,0.002113,"184,709","153,327,000"
20171012,0.002471,0.002548,0.002197,0.002345,"136,756","161,575,000"
20171011,0.002289,0.002553,0.002258,0.00247,"289,055","149,682,000"
20171010,0.002186,0.002285,0.001963,0.002225,"215,705","142,372,000"
20171009,0.002567,0.002719,0.001943,0.002181,"350,960","167,131,000"
20171008,0.002565,0.002854,0.002326,0.00253,"239,490","167,048,000"
20171007,0.002995,0.004173,0.00224,0.002459,"352,974","119,798,000"
20171006,0.003321,0.003354,0.002815,0.002996,"478,330","132,826,000"
20171005,0.003269,0.003488,0.002942,0.00332,"704,167","130,770,000"
20171004,0.002469,0.003521,0.0024,0.00325,"1,072,200","98,764,600"
20171003,0.002748,0.003186,0.002128,0.002447,"822,107","109,938,000"
20171002,0.001848,0.003177,0.001768,0.002803,"887,622","18,600,200"
20171001,0.002261,0.002269,0.001806,0.001848,"72,807","22,765,800"
20170930,0.001983,0.002621,0.001763,0.002261,"53,734","19,966,000"
20170929,0.002901,0.002973,0.001487,0.001983,"58,162","29,208,900"
20170928,0.002563,0.003474,0.001816,0.002906,"69,532",
20170927,0.001736,0.003495,0.001659,0.002561,"35,671",
20170926,0.001777,0.002104,0.001619,0.001738,"61,508",
20170925,0.002251,0.005656,0.001465,0.001777,"106,284",
20170924,0.002346,0.002427,0.002086,0.002246,"50,023",
20170923,0.001934,0.002346,0.001924,0.002346,"42,314",
20170922,0.002079,0.002172,0.001852,0.001951,"38,829",
20170921,0.002638,0.003173,0.001935,0.002079,"99,853",
20170920,0.002306,0.003199,0.002039,0.002647,"83,399",
20170919,0.003273,0.023238,0.001746,0.002291,"158,416",
20170918,0.003324,0.003438,0.002534,0.003263,"159,158",
20170917,0.001836,0.003879,0.001781,0.00332,"124,998",
20170916,0.001815,0.017671,0.001371,0.001831,"54,535",
20170915,0.001419,0.001831,0.001091,0.001801,"26,475",
20170914,0.002006,0.002479,0.001298,0.001427,"58,770",
20170913,0.002051,0.002448,0.001711,0.001988,"48,512",
