day,open,high,low,close,volume,market_cap
20171030,6.93,7.79,6.74,7.56,"15,477,200","172,576,000"
20171029,6.55,7.08,6.46,6.97,"13,992,200","163,061,000"
20171028,6.69,6.89,6.43,6.56,"6,227,040","166,672,000"
20171027,6.95,6.98,6.64,6.68,"6,105,710","172,952,000"
20171026,7.34,7.74,6.74,6.88,"6,099,610","182,658,000"
20171025,8.15,8.15,7.11,7.41,"6,167,020","202,801,000"
20171024,6.78,8.41,6.66,8.14,"14,271,000","168,756,000"
20171023,6.84,7.01,6.4,6.81,"6,309,760","170,308,000"
20171022,6.88,7.18,6.63,6.96,"5,035,330","171,400,000"
20171021,6.15,6.99,5.99,6.95,"10,050,200","153,126,000"
20171020,7.16,7.52,5.98,6.1,"9,339,930","178,169,000"
20171019,6.77,7.18,6.49,7.1,"13,309,000","168,552,000"
20171018,6.13,7.03,5.83,6.84,"9,495,240","152,543,000"
20171017,6.24,6.3,5.96,6.1,"9,753,950","155,306,000"
20171016,5.95,6.6,5.89,6.24,"18,689,600","148,241,000"
20171015,5.93,6.24,5.72,5.96,"17,394,000","147,578,000"
20171014,5.7,6.47,5.46,5.89,"12,183,000","141,815,000"
20171013,5.74,6.47,4.74,5.69,"15,520,100","143,016,000"
20171012,6.76,7.01,5.76,5.76,"10,746,800","168,237,000"
20171011,7.07,7.33,6.65,6.75,"5,901,540","176,108,000"
20171010,6.22,7.35,6.16,7.12,"11,730,200","154,974,000"
20171009,6.91,7.47,5.9,6.23,"11,961,300","171,993,000"
20171008,7.96,8.27,6.82,6.91,"9,440,440","198,198,000"
20171007,6.79,7.98,6.58,7.98,"9,909,530","169,181,000"
20171006,6.83,6.97,6.4,6.73,"5,912,220","170,128,000"
20171005,7.41,7.41,6.36,6.83,"8,563,830","184,485,000"
20171004,7.88,7.88,6.06,7.42,"17,154,400","196,239,000"
20171003,8.23,8.31,7.08,7.79,"17,561,700","204,979,000"
20171002,7.41,8.8,7.32,8.37,"22,049,700","184,619,000"
20171001,5.37,7.59,5.37,7.42,"25,880,700","133,822,000"
20170930,5.49,5.58,4.46,5.4,"21,174,400","136,804,000"
20170929,6.22,6.48,4.41,5.53,"23,391,200","154,983,000"
20170928,4.01,6.95,3.8,6.21,"36,777,800","99,811,600"
20170927,2.86,4.13,2.77,3.99,"19,088,400","71,181,000"
20170926,2.2,3.21,2.14,3,"10,433,800","54,844,600"
20170925,1.8,2.25,1.78,2.2,"2,975,160","44,898,100"
20170924,1.78,1.89,1.59,1.81,"1,746,370","44,390,100"
20170923,1.48,1.79,1.48,1.77,"2,115,510","36,890,500"
20170922,1.29,1.49,1.23,1.49,"1,572,810","32,191,900"
20170921,1.27,1.4,1.17,1.26,"1,456,350","31,498,300"
20170920,1.52,1.57,1.16,1.29,"1,736,010","37,881,900"
20170919,1.82,2.59,1.43,1.52,"2,457,140","45,222,300"
20170918,1.69,1.93,1.68,1.81,"1,501,820","42,183,800"
20170917,1.73,1.76,1.52,1.7,"1,102,610","43,040,200"
20170916,1.75,1.91,1.55,1.73,"2,172,600","43,453,400"
20170915,1.55,1.8,1.1,1.73,"4,709,050","38,627,600"
20170914,1.9,2.08,1.52,1.56,"5,627,240","47,258,800"
20170913,1.82,1.98,1.63,1.94,"5,015,140","45,286,900"
20170912,2.12,2.5,1.7,1.8,"20,894,100","52,889,600"
20170911,1.59,2.16,1.59,2.12,"13,896,400","39,550,300"
20170910,1.61,1.68,1.33,1.58,"6,472,840","39,993,000"
20170909,1.3,1.63,1.18,1.63,"4,611,730","32,275,400"
20170908,1.57,1.99,1.11,1.29,"15,172,300","39,078,200"
20170907,1.01,1.52,0.966428,1.52,"8,630,600","25,037,300"
20170906,1.18,1.48,0.934207,1.07,"8,262,150","29,490,800"
20170905,1.84,1.84,0.523932,1.21,"16,728,900","45,739,600"
20170904,2.96,2.96,0.974014,1.85,"16,344,800","73,619,300"
20170903,1.82,3.17,1.66,2.97,"30,155,700","45,350,800"
20170902,1.57,1.91,1.19,1.87,"10,974,200",
20170901,0.608858,1.82,0.540748,1.55,"15,663,800",
20170831,0.641001,0.704322,0.508927,0.611966,"2,638,570",
20170830,0.88867,0.958105,0.524474,0.63537,"2,348,320",
20170829,0.933622,1.01,0.648844,0.893933,"4,040,230",
20170828,1.09,1.26,0.803104,0.959098,"2,767,610",
20170827,1.06,1.19,1.03,1.08,"10,689,000",
