day,open,high,low,close,volume,market_cap
20171030,233.63,244.42,229,241.22,"50,794,000","585,624,000"
20171029,231.63,238.78,224.64,234.33,"59,020,900","578,982,000"
20171028,243.72,246.68,231.06,231.07,"45,309,100","607,479,000"
20171027,233.33,255.91,227.84,244.52,"131,517,000","579,905,000"
20171026,217.36,235.65,217.36,233.67,"41,638,100","538,633,000"
20171025,215.9,227.99,208.75,217.69,"44,717,900","533,463,000"
20171024,206.59,227.38,205.07,216.04,"37,788,300","509,003,000"
20171023,213.41,213.42,201.15,206.52,"26,665,700","524,261,000"
20171022,212.82,219.28,208.3,213.73,"26,263,000","521,286,000"
20171021,222.05,223.39,208.83,212.46,"37,115,000","542,326,000"
20171020,230.2,234.22,222.52,222.52,"29,093,800","560,579,000"
20171019,229.39,237.61,224.75,230.07,"30,300,100","556,979,000"
20171018,231.15,239.31,217.17,229.3,"29,137,800","559,570,000"
20171017,233.11,250.28,227.69,231.28,"60,696,400","562,642,000"
20171016,231.96,235.96,230.45,233.01,"22,198,300","558,212,000"
20171015,240.66,240.66,228.25,232.63,"25,648,400","577,433,000"
20171014,240.05,242.13,238.07,240.89,"21,199,600","574,275,000"
20171013,227.05,251,222.6,240.05,"62,551,500","541,560,000"
20171012,236.44,236.99,227,227,"39,391,300","562,261,000"
20171011,235.32,240.14,231.64,236.13,"20,522,300","557,915,000"
20171010,229.71,242.36,226.36,235.66,"27,876,900","542,934,000"
20171009,241.46,242.47,226.57,229.49,"33,586,100","569,009,000"
20171008,253.52,256.2,240.55,241.06,"30,469,500","595,599,000"
20171007,257.25,257.56,246.53,253.98,"30,163,700","602,523,000"
20171006,254.85,272.76,253.32,257.61,"49,397,500","595,099,000"
20171005,237.64,265.84,227.9,254.82,"48,244,700","553,211,000"
20171004,253,253.14,237.34,237.91,"22,195,500","587,108,000"
20171003,258.16,260,238.33,252.94,"36,278,200","597,264,000"
20171002,264.51,273.77,254.74,257.6,"52,062,000","610,037,000"
20171001,277.35,279.68,263.94,263.94,"33,546,100","637,677,000"
20170930,289.96,292.6,275.43,277.53,"37,283,500","664,608,000"
20170929,311.49,311.49,272.38,290.12,"71,232,100","711,727,000"
20170928,285.65,413.06,281.97,310.6,"296,921,000","650,661,000"
20170927,231.26,296.87,229.84,285.36,"130,957,000","525,065,000"
20170926,230.7,234.59,228.74,231.47,"20,525,600","522,161,000"
20170925,205.65,233.6,205.41,230.77,"32,460,800","463,963,000"
20170924,204.02,207.69,199.5,205.63,"15,176,600","458,828,000"
20170923,195.5,215.64,192.29,204.21,"29,531,600","438,281,000"
20170922,175.53,203.67,174.99,195.84,"43,671,100","392,222,000"
20170921,187.25,190.78,174.86,175.65,"17,620,100","417,102,000"
20170920,186.99,192.84,183.26,187.86,"12,166,600","415,166,000"
20170919,193.42,195.95,182.81,188.3,"19,791,200","428,072,000"
20170918,174.01,193.16,174.01,193.16,"27,678,900","383,846,000"
20170917,172.3,177.4,164.81,174.18,"17,358,900","378,861,000"
20170916,181.1,184.53,165.55,172.46,"22,550,100","396,908,000"
20170915,159.08,183.41,138.69,181.06,"45,620,000","347,512,000"
20170914,197.68,204.79,158.83,158.88,"35,524,600","430,379,000"
20170913,207.34,208.14,183.33,197.22,"32,634,000","449,957,000"
20170912,207.9,221.41,203.27,207.77,"26,344,600","449,686,000"
20170911,212.19,216.16,205.6,208.77,"22,339,400","457,445,000"
20170910,213.3,220.22,195.84,212.91,"26,701,400","458,304,000"
20170909,213.95,215.73,204.87,213.79,"24,960,900","458,172,000"
20170908,247.4,247.4,206.16,213.99,"30,849,900","528,046,000"
20170907,247.8,250.15,236.8,247.31,"27,100,600","527,118,000"
20170906,227.81,248.71,225.62,247.01,"29,252,500","482,953,000"
20170905,219.36,234.42,197.06,226.88,"31,113,600","463,446,000"
20170904,260.66,260.66,199.72,218.34,"41,954,600","548,884,000"
20170903,254.76,268.54,242.55,260.09,"34,128,900","534,636,000"
20170902,304.72,307.83,246.19,254.03,"52,498,700","637,301,000"
20170901,283.81,308.75,281.1,305.11,"45,352,800","591,510,000"
20170831,272.12,283.58,268.83,283.29,"26,913,900","565,218,000"
20170830,270.74,279.51,263.91,271.64,"29,396,300","560,403,000"
20170829,274.68,275.68,265.93,270.3,"28,596,800","566,591,000"
20170828,273.22,278.38,255.11,274.62,"35,210,000","561,634,000"
20170827,292.75,292.75,265.37,273.37,"35,217,900","599,640,000"
20170826,238.72,294.65,236.51,294.65,"65,866,400","487,257,000"
20170825,227.9,256.83,227.9,237.86,"28,281,900","463,553,000"
20170824,228.12,231.47,225.13,228.11,"15,371,700","462,350,000"
20170823,227.13,238.8,224.99,228.3,"19,773,800","458,739,000"
20170822,239.67,240.24,209.21,227.71,"26,540,900","482,352,000"
20170821,241.22,258.89,231.64,239.06,"33,202,000","483,761,000"
20170820,232.05,250.96,224.8,241.07,"30,209,100","463,682,000"
20170819,201.65,242.61,194.37,233.34,"34,374,700","401,504,000"
20170818,208.93,211.38,200.21,201.01,"17,564,100","414,480,000"
20170817,217.05,237.16,206.91,208.95,"16,505,300","429,048,000"
20170816,211.92,218.01,206.16,216.75,"17,198,100","417,382,000"
20170815,209.94,213.17,199.59,212.17,"21,171,600","411,977,000"
20170814,214.54,216.58,203.64,210.23,"18,355,900","419,477,000"
20170813,223.34,225.51,202.03,214.31,"21,036,100","435,089,000"
20170812,234.22,235.42,219.06,223.31,"20,015,900","454,579,000"
20170811,231.04,234.79,225.66,234.37,"18,765,000","446,761,000"
20170810,242.51,247.29,230.4,230.4,"20,530,400","467,188,000"
20170809,245.89,261.31,231.67,242.9,"37,956,900","471,948,000"
20170808,209.18,255.97,208.04,245.48,"39,426,100","400,002,000"
20170807,206.98,210.31,203.67,208.64,"21,607,900","394,300,000"
20170806,205.52,215.81,205.52,206.3,"17,480,000","390,040,000"
20170805,187.59,214.84,186.24,207.52,"25,450,100","354,682,000"
20170804,188.94,190.13,184.8,186.76,"18,265,500","355,864,000"
20170803,188.93,189.71,182.61,186.84,"17,505,400","354,510,000"
20170802,190.31,194.16,183.47,189.14,"28,456,000","355,707,000"
20170801,172.93,195.17,172.8,192.34,"36,659,900","321,995,000"
20170731,175.48,179.42,169.36,176.32,"28,589,500","325,483,000"
20170730,185.11,185.24,175.42,175.42,"17,966,700","342,048,000"
20170729,176.46,189.54,170.91,189.29,"31,702,400","324,760,000"
20170728,187.06,189.68,173.35,178.05,"27,546,000","342,935,000"
20170727,190.69,192.12,184.39,185.9,"19,482,500","348,236,000"
20170726,186.88,191.24,174.97,190.08,"21,283,100","339,929,000"
20170725,210.09,210.55,176.79,184.19,"24,464,700","380,663,000"
20170724,211.62,213.15,205.97,206.82,"23,279,900","381,901,000"
20170723,217.3,224.71,208.56,214.42,"24,745,700","390,602,000"
20170722,203.02,216.71,201.89,216.1,"38,717,100","363,481,000"
20170721,210.22,215.07,199.48,201.8,"20,076,700","374,866,000"
20170720,182.36,213.16,182.36,206.94,"26,033,400","323,865,000"
20170719,199.5,216.42,181,181.99,"21,939,800","352,883,000"
20170718,180.46,223.43,172.47,199.32,"27,904,700","317,907,000"
20170717,165.66,184.44,161.47,182.51,"28,966,300","290,661,000"
20170716,160.04,165.98,144.09,165.98,"20,481,600","279,643,000"
20170715,178.22,178.22,156.18,160.07,"14,327,300","310,131,000"
20170714,192.32,193.29,167.39,177.45,"23,103,400","333,293,000"
20170713,214.37,214.7,183.89,191.15,"27,023,600","369,981,000"
20170712,178.03,212.41,166.98,211.24,"30,152,500","305,980,000"
20170711,197.8,200.54,167.9,178.37,"37,434,800","338,586,000"
20170710,242.21,242.35,185.06,198.73,"28,200,200","412,809,000"
20170709,252.5,260.23,241.43,241.43,"17,712,900","426,014,000"
20170708,249.02,249.52,235.82,248.86,"27,224,500","420,155,000"
20170707,285.71,289.64,248.55,248.73,"38,104,000","443,549,000"
20170706,281.64,291.31,275.21,287.81,"35,396,700","437,232,000"
20170705,280.24,286.92,272.46,283.01,"38,079,400","435,050,000"
20170704,289.44,298.99,279.07,282.21,"28,509,400","449,337,000"
20170703,295.4,295.8,283.18,291.56,"28,546,700","458,593,000"
20170702,282.77,305.81,269.74,301.88,"24,816,800","438,992,000"
