open,close,previous_day_open
6114.85,6130.53,5754.44
5754.44,6153.85,5787.82
5787.82,5753.09,5899.74
5899.74,5780.9,5747.95
5747.95,5904.83,5524.6
5524.6,5750.8,5935.52
5935.52,5526.64,6006
6006,5930.32,6036.66
6036.66,6008.42,5996.79
5996.79,6031.6,5708.11
5708.11,6011.45,5583.74
5583.74,5708.52,5603.82
5603.82,5590.69,5741.58
5741.58,5605.51,5687.57
5687.57,5725.59,5835.96
5835.96,5678.19,5643.53
5643.53,5831.79,5464.16
5464.16,5647.21,4829.58
4829.58,5446.91,4789.25
4789.25,4826.48,4776.21
4776.21,4781.99,4614.52
4614.52,4772.02,4429.67
4429.67,4610.48,4369.35
4369.35,4426.89,4324.46
4324.46,4370.81,4229.88
4229.88,4328.41,4319.37
4319.37,4229.36,4408.46
4408.46,4317.48,4395.81
4395.81,4409.32,4341.05
4341.05,4403.74,4166.11
4166.11,4338.71,4171.62
4171.62,4163.07,4197.13
4197.13,4174.73,3892.94
3892.94,4200.67,3928.41
3928.41,3892.35,3681.58
3681.58,3926.07,3796.15
3796.15,3682.84,3629.92
3629.92,3792.4,3628.02
3628.02,3630.7,3901.47
3901.47,3631.04,3916.36
3916.36,3905.95,4073.79
4073.79,3924.97,3591.09
3591.09,4065.2,3606.28
3606.28,3582.88,3637.75
3637.75,3625.04,3166.3
3166.3,3637.52,3875.37
3875.37,3154.95,4131.98
4131.98,3882.59,4168.88
4168.88,4130.81,4122.47
4122.47,4161.27,4229.34
4229.34,4122.94,4229.81
4229.81,4226.06,4605.16
4605.16,4228.75,4589.14
4589.14,4599.88,4376.59
4376.59,4597.12,4228.29
4228.29,4376.53,4591.63
4591.63,4236.31,4585.27
4585.27,4582.96,4901.42
4901.42,4578.77,4701.76
4701.76,4892.01,4555.59
4555.59,4703.39,4570.36
4570.36,4565.3,4389.21
4389.21,4579.02,4384.45
4384.45,4382.66,4345.1
4345.1,4382.88,4372.06
4372.06,4352.4,4332.82
4332.82,4371.6,4137.6
4137.6,4334.68,4089.01
4089.01,4151.52,3998.35
3998.35,4100.52,4090.48
4090.48,4001.74,4189.31
4189.31,4087.66,4137.75
4137.75,4193.7,4324.34
4324.34,4160.62,4384.44
4384.44,4331.69,4200.34
4200.34,4376.63,4326.99
4326.99,4181.93,4066.1
4066.1,4325.13,3880.04
3880.04,4073.26,3650.63
3650.63,3884.71,3373.82
3373.82,3650.62,3341.84
3341.84,3381.28,3420.4
3420.4,3342.47,3370.22
3370.22,3419.94,3212.78
3212.78,3378.94,3257.61
3257.61,3213.94,2897.63
2897.63,3252.91,2806.93
2806.93,2895.89,2709.56
2709.56,2804.73,2727.13
2727.13,2710.67,2871.3
2871.3,2718.26,2763.24
2763.24,2875.34,2724.39
2724.39,2757.18,2807.02
2807.02,2726.45,2679.73
2679.73,2809.01,2538.71
2538.71,2671.78,2577.77
2577.77,2529.45,2757.5
2757.5,2576.48,2732.7
2732.7,2754.86,2808.1
2808.1,2730.4,2668.63
2668.63,2810.12,2838.41
2838.41,2667.76,2269.89
2269.89,2817.6,2323.08
2323.08,2273.43,2233.52
2233.52,2318.88,1932.62
1932.62,2228.41,1991.98
1991.98,1929.82,2230.12
2230.12,1998.86,2360.59
2360.59,2233.34,2402.7
2402.7,2357.9,2332.77
2332.77,2398.84,2385.89
2385.89,2337.79,2525.25
2525.25,2372.56,2572.61
2572.61,2518.44,2520.27
2520.27,2571.34,2608.59
2608.59,2518.66,2608.1
2608.1,2608.56,2602.87
2602.87,2601.99,2561
2561,2601.64,2498.56
2498.56,2564.06,2436.4
2436.4,2506.47,2492.6
2492.6,2434.55,2539.24
2539.24,2480.84,2567.56
2567.56,2539.32,2553.03
2553.03,2574.79,2478.45
2478.45,2552.45,2590.57
2590.57,2478.45,2607.25
2607.25,2589.41,2738.52
2738.52,2608.72,2707.34
2707.34,2744.91,2691.03
2691.03,2705.41,2709.43
2709.43,2689.1,2591.26
2591.26,2721.79,2549.03
2549.03,2589.6,2655.35
2655.35,2548.29,2514.01
2514.01,2655.88,2469.57
2469.57,2518.56,2499.58
2499.58,2464.58,2716.88
2716.88,2506.37,2680.91
2680.91,2717.02,2953.22
2953.22,2659.63,2942.41
2942.41,2958.11,2828.14
2828.14,2947.71,2807.44
2807.44,2823.81,2720.49
2720.49,2805.62,2869.38
2869.38,2732.16,2690.84
2690.84,2863.2,2512.4
2512.4,2686.81,2547.79
2547.79,2511.81,2493.72
2493.72,2515.35,2404.03
2404.03,2488.55,2288.33
2288.33,2407.88,2187.19
2187.19,2286.41,2255.36
2255.36,2175.47,2159.43
2159.43,2255.61,2054.08
2054.08,2155.8,2196.27
2196.27,2038.87,2320.89
2320.89,2202.42,2446.24
2446.24,2304.98,2321.37
2321.37,2443.64,2191.56
2191.56,2320.42,2043.19
2043.19,2173.4,2067.03
2067.03,2041.2,1984.24
1984.24,2084.73,1897.37
1897.37,1987.71,1818.7
1818.7,1888.65,1726.73
1726.73,1839.09,1741.7
1741.7,1734.45,1808.44
1808.44,1738.43,1800.86
1800.86,1808.91,1723.12
1723.12,1804.91,1845.76
1845.76,1724.24,1780.37
1780.37,1848.57,1756.52
1756.52,1787.13,1723.89
1723.89,1755.36,1596.92
1596.92,1723.35,1579.47
1579.47,1596.71,1556.81
1556.81,1578.8,1540.87
1540.87,1555.45,1490.72
1490.72,1537.67,1453.78
1453.78,1490.09,1421.03
1421.03,1452.82,1348.3
1348.3,1421.6,1321.87
1321.87,1347.89,1317.84
1317.84,1321.79,1317.74
1317.74,1316.48,1281.88
1281.88,1317.73,1265.99
1265.99,1281.08,1250.45
1250.45,1265.49,1209.63
1209.63,1250.15,1231.92
1231.92,1207.21,1222.71
1222.71,1231.71,1229.42
1229.42,1222.05,1211.08
1211.08,1229.08,1212.13
1212.13,1210.29,1193.77
1193.77,1211.67,1183.25
1183.25,1193.91,1172.61
1172.61,1182.94,1167.3
1167.3,1172.52,1170.33
1170.33,1167.54,1201.02
1201.02,1169.28,1204.81
1204.81,1200.37,1187.46
1187.46,1205.01,1187.3
1187.3,1187.13,1176.57
1176.57,1187.87,1172.65
1172.65,1175.95,1178.94
1178.94,1176.9,1125.81
1125.81,1182.68,1134.14
1134.14,1124.78,1145.52
1145.52,1133.25,1102.95
1102.95,1143.81,1080.61
1080.61,1102.17,1071.71
1071.71,1080.5,1026.64
1026.64,1071.79,1042.21
1042.21,1026.43,1046.08
1046.08,1039.97,1044.58
1044.58,1047.15,972.05
972.05,1045.77,974.01
974.01,966.73,936.54
936.54,972.78,1038.45
1038.45,937.52,1050.05
1050.05,1038.59,1120.65
1120.65,1049.14,1055.36
1055.36,1120.54,1037.24
1037.24,1054.23,976.73
976.73,1036.74,1099.69
1099.69,973.82,1180.16
1180.16,1100.23,1251.33
1251.33,1187.81,1240.16
1240.16,1249.61,1232.16
1232.16,1240,1221.78
1221.78,1231.92,1176.62
1176.62,1221.38,1116.32
1116.32,1175.83,1189.36
1189.36,1116.72,1150.35
1150.35,1188.49,1223.23
1223.23,1150,1273.21
1273.21,1223.54,1267.47
1267.47,1272.83,1254.29
1254.29,1267.12,1277.43
1277.43,1255.15,1250.71
1250.71,1274.99,1224.68
1224.68,1251.01,1180.04
1180.04,1222.5,1180.72
1180.72,1179.97,1163.78
1163.78,1179.97,1144.27
1144.27,1165.2,1170.41
1170.41,1143.84,1172.71
1172.71,1173.68,1117.27
1117.27,1166.72,1114.8
1114.8,1117.44,1079.28
1079.28,1115.3,1048.69
1048.69,1079.98,1054.76
1054.76,1047.87,1049.21
1049.21,1054.42,1026.12
1026.12,1046.21,1007.65
1007.65,1027.44,1006.21
1006.21,1007.48,991.74
991.74,1004.55,998.88
998.88,990.64,1003.52
1003.52,999.18,988.9
988.9,1004.45,995.63
995.63,988.67,1064.7
1064.7,994.38,1062.32
1062.32,1063.07,1040.14
1040.14,1061.35,1028.4
