day,open,high,low,close,volume,market_cap
20171030,17.71,17.71,16.92,17.17,"739,091","194,793,000"
20171029,17.26,18.28,17.23,17.7,"634,587","189,897,000"
20171028,17.57,17.72,17.23,17.27,"391,903","193,241,000"
20171027,17.93,18.02,17.22,17.54,"482,746","197,200,000"
20171026,17.97,18.29,17.59,17.9,"540,067","197,694,000"
20171025,17.74,18.1,17.13,17.94,"730,846","195,181,000"
20171024,16.12,18.48,15.98,17.66,"1,311,980","177,268,000"
20171023,16.84,16.92,16.06,16.29,"893,583","185,242,000"
20171022,16.86,17.17,16.38,16.85,"526,437","185,419,000"
20171021,17.45,17.57,16.26,16.84,"667,841","191,982,000"
20171020,18.12,18.39,17.36,17.56,"950,119","199,335,000"
20171019,18.36,18.64,17.92,18.15,"578,350","202,015,000"
20171018,18.72,18.73,17.7,18.34,"779,130","205,969,000"
20171017,19.08,19.12,18.63,18.7,"576,251","209,918,000"
20171016,18.72,19.23,18.48,19.09,"930,751","205,872,000"
20171015,19.07,19.14,17.98,18.66,"480,545","209,729,000"
20171014,18.39,18.95,18.26,18.95,"653,761","202,279,000"
20171013,18.25,18.93,17.95,18.38,"1,179,910","200,748,000"
20171012,18.62,19.1,18.17,18.23,"1,701,010","204,799,000"
20171011,18.82,18.92,18.55,18.61,"493,703","206,975,000"
20171010,17.8,19.21,17.5,18.77,"692,292","195,823,000"
20171009,19.11,19.22,17.72,17.81,"924,576","210,206,000"
20171008,20.1,20.11,19.11,19.12,"723,733","221,123,000"
20171007,19.66,20.59,19.66,20.13,"1,104,820","216,245,000"
20171006,19.01,19.61,18.52,19.61,"722,235","209,122,000"
20171005,19.01,19.27,18.61,19.02,"657,037","209,079,000"
20171004,19.47,19.56,18.88,18.99,"571,388","214,161,000"
20171003,19.37,19.49,18.99,19.44,"786,055","213,088,000"
20171002,20.66,20.69,19.18,19.37,"789,547","227,255,000"
20171001,21.22,21.34,20.16,20.66,"496,431","233,421,000"
20170930,20.72,21.64,20.51,21.19,"706,371","227,924,000"
20170929,22.2,22.46,20.14,20.64,"1,184,250","244,249,000"
20170928,20.96,22.76,20.73,22.23,"2,030,560","230,602,000"
20170927,18.79,21.21,18.68,20.98,"1,632,240","206,643,000"
20170926,18.8,18.96,18.49,18.82,"397,769","206,788,000"
20170925,17.81,18.95,17.76,18.81,"623,948","195,868,000"
20170924,18,18.48,17.83,17.84,"545,368","198,006,000"
20170923,16.98,18.09,16.72,18,"401,046","186,760,000"
20170922,17.12,17.6,16.39,17.01,"340,706","188,348,000"
20170921,18.41,18.48,16.26,17.13,"1,114,830","202,480,000"
20170920,18.48,18.84,18,18.5,"554,121","203,240,000"
20170919,19.05,19.19,17.9,18.46,"768,861","209,508,000"
20170918,17.61,19.12,17.61,19.02,"1,030,230","193,688,000"
20170917,17.62,17.82,15.77,17.64,"2,144,090","193,768,000"
20170916,18.33,18.89,16.77,17.67,"662,667","201,588,000"
20170915,15.91,18.71,13.73,18.31,"1,844,750","175,047,000"
20170914,20.56,20.89,15.74,15.76,"1,800,320","226,176,000"
20170913,21.17,23.87,20.08,20.59,"3,667,200","232,844,000"
20170912,20.95,21.9,20.67,21.23,"962,593","230,430,000"
20170911,21.59,21.85,20.46,20.92,"807,297","237,455,000"
20170910,22.2,22.23,20.19,21.55,"1,326,850","244,231,000"
20170909,22.3,22.57,21.79,22.28,"880,273","245,276,000"
20170908,23.79,24.97,21.28,22.26,"2,058,090","261,635,000"
20170907,23.65,24.02,22.97,23.79,"1,411,680","260,146,000"
20170906,22.9,24.15,22.82,23.79,"1,940,990","251,871,000"
20170905,21.88,23.29,20.61,22.94,"1,943,400","240,642,000"
20170904,24.94,24.94,20.76,21.81,"3,414,020","274,311,000"
20170903,24.3,26.4,23.6,24.91,"2,046,420","267,354,000"
20170902,28.49,29.04,23.57,24.24,"3,279,910","313,414,000"
20170901,26.24,28.59,26.24,28.59,"3,488,820","288,601,000"
20170831,25.1,26.63,24.86,26.36,"3,151,520","276,090,000"
20170830,25.06,25.5,23.76,25.15,"3,091,340","275,646,000"
20170829,26.39,26.96,23.15,25.08,"4,487,220","290,245,000"
20170828,28.07,28.11,23.29,26.15,"12,509,800","308,740,000"
20170827,29.72,30.85,27.76,27.98,"4,937,900","326,927,000"
20170826,25.43,31.04,25.01,29.5,"11,542,300","279,713,000"
20170825,23.02,27.59,22.98,25.37,"6,210,960","253,197,000"
20170824,22.08,23.08,21.9,23.03,"1,880,160","242,922,000"
20170823,21.24,23.45,21.04,22,"2,429,740","233,664,000"
20170822,22.04,22.27,19.82,21.28,"2,789,520","242,471,000"
20170821,20.46,23.12,20.34,21.96,"3,491,570","225,054,000"
20170820,19.57,21.3,19.29,20.55,"1,392,230","215,223,000"
20170819,19.15,19.7,18.42,19.66,"1,307,160","210,660,000"
20170818,20.1,20.54,18.81,19.13,"2,283,780","221,103,000"
20170817,21.41,21.95,20.09,20.13,"1,754,790","235,501,000"
20170816,21.1,21.39,20.31,21.39,"1,640,180","232,139,000"
20170815,19.92,23.04,19.51,21.02,"3,052,560","219,150,000"
20170814,20.68,20.88,19.46,19.96,"1,458,730","227,476,000"
20170813,22.63,22.74,20.62,20.65,"2,295,810","248,881,000"
20170812,22.37,24.06,21.52,22.65,"3,119,760","246,071,000"
20170811,22.66,22.76,22.02,22.44,"2,245,780","249,217,000"
20170810,22.73,24.65,22.62,22.72,"5,357,330","250,027,000"
20170809,21.23,23.31,21.18,22.71,"4,242,530","233,525,000"
20170808,18.86,21.42,18.73,21.19,"3,633,500","207,435,000"
20170807,18.91,19.25,18.39,18.96,"1,916,400","208,042,000"
20170806,19.14,19.43,18.53,18.97,"1,362,730","210,516,000"
20170805,17.39,19.4,17.33,19.08,"2,332,570","191,294,000"
20170804,17.35,17.72,17.31,17.34,"999,053","190,896,000"
20170803,17.64,17.88,17.05,17.37,"2,725,760","194,029,000"
20170802,18.09,18.52,17.44,17.7,"1,332,180","198,942,000"
20170801,16.72,18.2,16.68,18.11,"1,379,370","183,937,000"
