day,open,high,low,close,volume,market_cap
20171030,1.23,1.36,1.2,1.31,"2,437,230","122,120,000"
20171029,1.18,1.26,1.16,1.24,"1,969,690","116,675,000"
20171028,1.18,1.2,1.14,1.15,"1,495,260","116,928,000"
20171027,1.21,1.22,1.11,1.17,"2,067,650","119,683,000"
20171026,1.26,1.26,1.1,1.21,"2,400,010","124,854,000"
20171025,1.24,1.27,1.17,1.25,"2,288,360","123,115,000"
20171024,1.18,1.38,1.14,1.25,"4,833,390","116,532,000"
20171023,1.23,1.28,1.1,1.18,"2,355,560","121,922,000"
20171022,1.26,1.3,1.18,1.21,"1,631,220","124,292,000"
20171021,1.24,1.27,1.17,1.25,"1,331,640","122,515,000"
20171020,1.28,1.37,1.22,1.24,"1,703,230","128,326,000"
20171019,1.33,1.35,1.25,1.28,"1,791,220","132,868,000"
20171018,1.39,1.42,1.21,1.33,"2,311,140","139,351,000"
20171017,1.44,1.47,1.36,1.39,"1,744,390","143,768,000"
20171016,1.56,1.6,1.39,1.44,"2,960,330","155,599,000"
20171015,1.5,1.68,1.41,1.56,"5,987,930","149,513,000"
20171014,1.47,1.54,1.41,1.54,"3,355,060","146,932,000"
20171013,1.34,1.51,1.18,1.44,"5,705,760","133,651,000"
20171012,1.43,1.44,1.28,1.34,"5,275,850","142,996,000"
20171011,1.4,1.46,1.38,1.43,"6,123,140","139,944,000"
20171010,1.43,1.47,1.34,1.39,"6,912,770","143,107,000"
20171009,1.21,1.58,1.21,1.4,"9,667,100","120,771,000"
20171008,1.58,1.6,1.22,1.22,"4,515,300","157,618,000"
20171007,1.61,1.61,1.5,1.58,"5,578,780","160,526,000"
20171006,1.68,1.71,1.53,1.58,"6,076,260","167,731,000"
20171005,1.63,1.74,1.42,1.68,"7,503,500","163,499,000"
20171004,1.85,1.86,1.52,1.6,"7,227,750","185,150,000"
20171003,1.97,2.03,1.67,1.82,"14,411,500","196,783,000"
20171002,1.53,1.98,1.51,1.96,"19,367,700","152,662,000"
20171001,1.28,1.53,1.26,1.53,"9,043,600","128,418,000"
20170930,1.27,1.31,1.23,1.28,"6,194,570","127,000,000"
20170929,1.37,1.37,1.14,1.27,"8,474,270","136,698,000"
20170928,1.15,1.43,1.15,1.38,"13,944,300","114,843,000"
20170927,0.855698,1.2,0.855698,1.14,"8,394,020","85,569,800"
20170926,0.918922,0.940082,0.859212,0.860747,"3,460,160","91,892,200"
20170925,0.784244,0.936568,0.773316,0.917059,"3,695,220","78,424,400"
20170924,0.775804,0.788347,0.736221,0.783268,"2,402,720","77,580,400"
20170923,0.717196,0.7774,0.707845,0.770965,"2,276,080","71,719,600"
20170922,0.698871,0.740154,0.68326,0.715893,"2,099,500","69,887,100"
20170921,0.764013,0.781775,0.684281,0.70214,"2,238,040","76,401,300"
20170920,0.815032,0.816384,0.743676,0.74789,"2,536,950","81,503,200"
20170919,0.907398,0.909132,0.787653,0.802425,"2,888,420","90,739,800"
20170918,0.789565,0.937029,0.787604,0.909202,"3,717,860","78,956,500"
20170917,0.803423,0.814797,0.733745,0.789589,"1,273,640","80,342,300"
20170916,0.808056,0.927197,0.746113,0.804198,"2,829,570","80,805,600"
20170915,0.683305,0.849217,0.526755,0.799709,"4,625,680","68,330,500"
20170914,0.93787,0.950177,0.673482,0.678784,"3,134,360","93,787,000"
20170913,1.04,1.04,0.880241,0.937204,"2,780,700","104,290,000"
20170912,1.03,1.21,0.987632,1.04,"7,213,490","103,348,000"
20170911,0.949186,1.1,0.902,1.03,"5,167,180","94,918,600"
20170910,0.982078,1,0.852385,0.942159,"3,257,430","98,207,800"
20170909,1.01,1.03,0.863061,0.989301,"4,011,510","100,920,000"
20170908,1.4,1.4,0.946601,1.01,"9,872,850","139,804,000"
20170907,1.03,1.51,0.956745,1.37,"15,442,300","103,434,000"
20170906,0.990521,1.17,0.7355,1.09,"14,279,400","99,052,100"
20170905,1.03,1.12,0.740622,0.973716,"9,453,770","103,251,000"
20170904,1.58,1.58,0.61301,1.05,"20,075,100","157,665,000"
20170903,1.93,2.02,1.42,1.58,"11,662,000","192,548,000"
20170902,2.5,2.85,1.72,1.99,"22,995,400","250,000,000"
20170901,2.2,2.39,2.12,2.38,"20,990,700","220,169,000"
20170831,2.33,2.41,2.2,2.2,"20,214,800","232,823,000"
