day,open,high,low,close,volume,market_cap
20171030,0.028318,0.028874,0.027586,0.028583,"3,781,270","734,193,000"
20171029,0.025831,0.029837,0.025626,0.028607,"4,746,180","669,716,000"
20171028,0.026339,0.026853,0.025593,0.025866,"1,739,460","682,882,000"
20171027,0.027138,0.027463,0.025674,0.026382,"2,511,440","703,611,000"
20171026,0.027409,0.02756,0.026478,0.027132,"2,437,710","710,649,000"
20171025,0.027038,0.027846,0.026107,0.027527,"2,561,430","701,019,000"
20171024,0.025339,0.028956,0.023766,0.027193,"7,589,560","656,966,000"
20171023,0.027684,0.028051,0.024345,0.025454,"3,517,050","717,768,000"
20171022,0.028565,0.028744,0.027093,0.027729,"2,930,210","740,608,000"
20171021,0.030805,0.030805,0.027977,0.028436,"5,344,520","798,697,000"
20171020,0.026982,0.030855,0.026612,0.03063,"8,716,410","699,574,000"
20171019,0.026704,0.027112,0.025772,0.027032,"2,897,720","692,370,000"
20171018,0.027219,0.02736,0.024637,0.026691,"2,336,180","705,718,000"
20171017,0.028953,0.029628,0.025482,0.027217,"7,039,900","750,659,000"
20171016,0.029939,0.030749,0.028577,0.028948,"6,196,030","776,227,000"
20171015,0.032874,0.033641,0.028694,0.030049,"7,104,990","852,317,000"
20171014,0.033876,0.038268,0.029255,0.032465,"27,853,200","878,314,000"
20171013,0.026061,0.033816,0.025195,0.033641,"15,613,600","675,684,000"
20171012,0.022538,0.026763,0.021825,0.026252,"8,680,640","584,358,000"
20171011,0.02148,0.022576,0.020976,0.02252,"3,606,720","556,914,000"
20171010,0.022112,0.022446,0.021279,0.021531,"2,725,600","573,302,000"
20171009,0.020344,0.022807,0.020342,0.022114,"4,663,310","527,469,000"
20171008,0.020929,0.023598,0.020147,0.020477,"7,727,460","542,638,000"
20171007,0.018414,0.02105,0.01762,0.020941,"7,411,240","477,417,000"
20171006,0.021359,0.021542,0.01836,0.018539,"7,780,710","553,774,000"
20171005,0.021951,0.022154,0.020859,0.021489,"5,562,510","569,134,000"
20171004,0.020864,0.022806,0.020864,0.021931,"9,000,050","540,946,000"
20171003,0.025757,0.027425,0.02069,0.020816,"16,997,800","624,651,000"
20171002,0.024607,0.030088,0.019969,0.025932,"57,641,300",
20171001,0.021678,0.032226,0.017354,0.024969,"50,068,700",
