day,open,high,low,close,volume,market_cap
20171030,17.93,19.15,17.65,18.78,"775,064","154,126,000"
20171029,17.43,20.44,17.16,17.98,"5,979,020","149,875,000"
20171028,19.37,19.66,17.33,17.6,"499,082","166,495,000"
20171027,18.68,19.37,17.74,19.32,"660,990","160,629,000"
20171026,19.12,20.24,17.85,18.69,"756,739","164,336,000"
20171025,20.34,21.17,19.44,19.59,"447,244","174,836,000"
20171024,19.08,23.19,18.25,20.77,"1,644,220","163,999,000"
20171023,20.8,21.19,17,19.2,"942,203","178,828,000"
20171022,19.06,21.59,19.06,20.83,"504,257","163,831,000"
20171021,19.65,20.61,18.15,19.05,"477,061","168,964,000"
20171020,20.16,20.92,19.61,19.69,"610,262","173,286,000"
20171019,20.78,21.04,19.61,20.15,"1,139,280","178,634,000"
20171018,21.89,22.06,19.84,20.7,"763,597","188,227,000"
20171017,21.93,23.25,20.6,21.93,"1,080,370","188,520,000"
20171016,22.07,23.11,20.44,21.92,"775,565","189,560,000"
20171015,22.89,22.93,20.13,22.06,"573,523","196,484,000"
20171014,24.32,25.25,22.01,22.95,"633,763","208,542,000"
20171013,20.93,25.65,18.68,24.83,"1,497,290","179,379,000"
20171012,22.93,24.16,20.51,20.78,"1,283,980","196,441,000"
20171011,23.26,25.43,22.49,22.91,"868,526","199,117,000"
20171010,22.78,23.52,20.59,23.52,"1,146,210","194,891,000"
20171009,23.5,23.99,21.02,23.04,"1,015,350","200,919,000"
20171008,28.03,28.4,23.04,23.5,"1,458,980","239,412,000"
20171007,27.93,28.12,25.02,28.12,"1,659,250","238,213,000"
20171006,29.43,29.67,27.8,27.92,"1,111,600","250,864,000"
20171005,29,30.74,25.94,29.31,"1,646,560","247,107,000"
20171004,27.45,30.24,25.55,29.03,"2,116,770","233,646,000"
20171003,31.68,33.92,27.14,27.44,"2,837,580","269,499,000"
20171002,30.2,32.46,29.05,31.68,"3,103,540","256,756,000"
20171001,30.97,32.58,27.72,30.23,"4,221,780","263,139,000"
20170930,22.05,33.27,22.04,30.2,"3,776,920","187,292,000"
20170929,22.88,23.26,21.23,22.1,"896,609","194,224,000"
20170928,26.37,26.51,21.67,23.08,"2,105,510","223,695,000"
20170927,25.39,27.04,23.86,26.21,"2,502,100","215,121,000"
20170926,25.99,26.59,22.36,25.47,"4,695,480","219,811,000"
20170925,15.22,26.23,15.22,26.23,"5,034,440","128,583,000"
20170924,16.49,16.74,14.15,15.23,"768,093","139,272,000"
20170923,15.13,16.97,14.86,16.49,"1,800,130","127,684,000"
20170922,10.85,17.38,10.85,15.29,"5,282,920","91,411,900"
20170921,8.95,12.08,7.76,10.93,"746,725","75,321,800"
20170920,9.24,9.77,8.92,8.99,"117,765","77,781,900"
20170919,10.85,11.21,9.02,9.39,"290,436","91,206,700"
20170918,9.78,11.11,9.54,10.82,"322,222","82,125,000"
20170917,10.4,10.43,9.3,10.02,"198,174","87,305,000"
20170916,11.71,12.66,10.03,10.41,"394,659","98,222,100"
