day,open,high,low,close,volume,market_cap
20171030,0.189057,0.194782,0.187463,0.191735,"1,389,530","157,490,000"
20171029,0.197439,0.204511,0.187703,0.189639,"2,119,590","164,473,000"
20171028,0.205603,0.208354,0.194683,0.197054,"1,280,440","171,274,000"
20171027,0.194277,0.214034,0.193907,0.20472,"2,219,360","161,839,000"
20171026,0.201982,0.20444,0.193514,0.194259,"1,590,770","168,258,000"
20171025,0.199278,0.204515,0.192614,0.202158,"1,442,030","166,005,000"
20171024,0.192846,0.221539,0.187326,0.199057,"2,579,510","160,647,000"
20171023,0.200143,0.200422,0.186228,0.19286,"1,812,790","166,726,000"
20171022,0.203506,0.209022,0.195033,0.201134,"1,792,630","169,527,000"
20171021,0.221359,0.221582,0.196246,0.204678,"3,380,160","184,399,000"
20171020,0.251618,0.304021,0.215453,0.221913,"15,559,900","209,606,000"
20171019,0.217468,0.254141,0.213977,0.254141,"2,604,210","181,158,000"
20171018,0.21999,0.21999,0.201111,0.217408,"1,540,610","183,258,000"
20171017,0.211743,0.223175,0.202118,0.219275,"1,992,510","176,389,000"
20171016,0.204455,0.221103,0.196659,0.211233,"2,276,960","170,318,000"
20171015,0.209644,0.209997,0.194205,0.203874,"1,243,480","174,640,000"
20171014,0.21066,0.218,0.208092,0.208379,"1,353,740","175,487,000"
20171013,0.212987,0.220484,0.2025,0.211183,"2,589,360","177,425,000"
20171012,0.23266,0.234547,0.202494,0.213099,"2,642,060","193,814,000"
20171011,0.221766,0.241439,0.214329,0.233593,"1,981,720","184,738,000"
20171010,0.193356,0.23188,0.18475,0.221501,"1,978,800","161,072,000"
20171009,0.196836,0.202459,0.179738,0.193398,"2,515,750","163,971,000"
20171008,0.220685,0.225513,0.196261,0.196629,"2,302,740","183,838,000"
20171007,0.231745,0.232765,0.219678,0.221711,"1,759,000","193,051,000"
20171006,0.230498,0.238108,0.230498,0.233535,"1,250,060","192,013,000"
20171005,0.246317,0.246582,0.229409,0.230674,"1,681,850","205,190,000"
20171004,0.246217,0.251658,0.243525,0.245785,"1,330,850","205,107,000"
20171003,0.255242,0.255242,0.236524,0.245505,"1,599,950","212,625,000"
20171002,0.258486,0.259958,0.250622,0.255418,"1,763,110","215,327,000"
20171001,0.264793,0.265005,0.257622,0.258588,"1,468,440","220,581,000"
20170930,0.263116,0.267728,0.258877,0.264662,"1,514,820","219,184,000"
20170929,0.272699,0.275617,0.252666,0.261972,"1,354,900","227,167,000"
20170928,0.276448,0.28422,0.270542,0.272749,"1,582,750","230,290,000"
20170927,0.258647,0.280162,0.258371,0.27669,"1,806,550","215,461,000"
20170926,0.2585,0.261412,0.25459,0.258489,"1,418,040","215,339,000"
20170925,0.247436,0.261279,0.246128,0.259158,"1,421,770","206,122,000"
20170924,0.257691,0.260278,0.242428,0.247837,"1,551,470","214,665,000"
20170923,0.24081,0.258421,0.239304,0.257249,"1,062,250","200,602,000"
20170922,0.243168,0.263372,0.232117,0.241301,"2,884,610","202,566,000"
20170921,0.270777,0.270777,0.237039,0.243756,"1,658,440","225,566,000"
20170920,0.260714,0.289174,0.256023,0.271956,"2,378,310","217,183,000"
20170919,0.283329,0.288372,0.259843,0.261374,"1,993,450","236,022,000"
20170918,0.246492,0.28315,0.246492,0.282695,"1,908,060","205,335,000"
20170917,0.243684,0.252048,0.229208,0.247016,"1,393,620","202,996,000"
20170916,0.246984,0.263204,0.234193,0.243028,"1,632,560","205,746,000"
20170915,0.20797,0.25478,0.181619,0.247871,"2,689,500","173,245,000"
20170914,0.271694,0.273084,0.206726,0.206726,"2,234,580","226,330,000"
20170913,0.289245,0.290377,0.249131,0.272215,"2,446,150","240,950,000"
20170912,0.298995,0.312193,0.285662,0.290404,"3,122,520","249,073,000"
20170911,0.322458,0.325703,0.287635,0.299268,"3,074,660","268,618,000"
20170910,0.343283,0.343283,0.292172,0.323035,"3,574,020","285,966,000"
20170909,0.360743,0.365888,0.336723,0.344498,"2,715,080","300,511,000"
20170908,0.403603,0.431927,0.338208,0.360461,"14,053,000","336,214,000"
20170907,0.462588,0.519846,0.395287,0.402176,"53,776,200","385,351,000"
20170906,0.345883,0.451712,0.34522,0.451712,"13,168,500","288,131,000"
20170905,0.302694,0.362979,0.271777,0.345685,"7,272,050","252,154,000"
20170904,0.356322,0.376219,0.254805,0.301788,"10,355,600","296,828,000"
20170903,0.332085,0.365888,0.310034,0.361347,"4,172,790","276,637,000"
20170902,0.378326,0.413699,0.316973,0.330569,"7,419,630","315,158,000"
20170901,0.33375,0.378419,0.33083,0.378419,"4,308,970","278,025,000"
20170831,0.327759,0.335851,0.322705,0.334681,"2,858,630","273,034,000"
20170830,0.319898,0.333952,0.301382,0.327847,"3,936,710","266,485,000"
20170829,0.307717,0.322129,0.306053,0.3219,"4,813,630","256,338,000"
20170828,0.312793,0.315754,0.296153,0.308761,"3,313,440","260,567,000"
20170827,0.297931,0.314268,0.293746,0.314268,"3,181,170","248,186,000"
20170826,0.292464,0.307172,0.286713,0.297115,"3,359,100","243,632,000"
20170825,0.316475,0.323279,0.287664,0.292532,"6,307,250","263,634,000"
20170824,0.278295,0.350181,0.276016,0.31693,"15,293,900","231,828,000"
20170823,0.284138,0.285561,0.265811,0.27963,"3,208,530","236,696,000"
20170822,0.279797,0.287939,0.262473,0.284361,"4,048,150","233,080,000"
20170821,0.271304,0.291546,0.259288,0.278795,"5,357,880","226,005,000"
20170820,0.250226,0.282474,0.247042,0.273535,"3,467,560","208,447,000"
20170819,0.234376,0.266369,0.222673,0.251112,"3,974,390","195,243,000"
20170818,0.249973,0.250198,0.220696,0.234334,"3,424,360","208,235,000"
20170817,0.268105,0.27056,0.243419,0.251114,"3,703,780","223,340,000"
20170816,0.26591,0.277162,0.258838,0.268373,"3,880,890","221,511,000"
20170815,0.266092,0.284276,0.24546,0.265062,"5,158,990","221,663,000"
20170814,0.278868,0.288621,0.243632,0.264399,"5,244,320","232,306,000"
20170813,0.30952,0.316885,0.275441,0.27906,"5,980,610","257,840,000"
20170812,0.326274,0.341159,0.298324,0.312042,"9,258,390","271,797,000"
20170811,0.280792,0.322706,0.267181,0.322706,"7,350,960","233,909,000"
20170810,0.303262,0.308735,0.273952,0.280727,"5,612,110","252,627,000"
20170809,0.303411,0.325688,0.290615,0.304036,"4,926,720","252,751,000"
20170808,0.307754,0.323799,0.298561,0.302366,"6,031,560","256,369,000"
20170807,0.319596,0.324694,0.302746,0.305599,"5,214,620","266,233,000"
20170806,0.307219,0.349396,0.307219,0.321917,"4,776,850","255,924,000"
20170805,0.290532,0.322416,0.289389,0.307149,"4,084,260","242,023,000"
20170804,0.288,0.301616,0.282239,0.290454,"4,205,620","239,914,000"
20170803,0.250154,0.300137,0.247417,0.287733,"5,385,420","208,386,000"
20170802,0.257987,0.266087,0.24569,0.249783,"2,005,300","214,912,000"
20170801,0.232346,0.268081,0.22959,0.259067,"3,152,050","193,552,000"
20170731,0.230708,0.23688,0.224958,0.231489,"1,911,730","192,187,000"
20170730,0.244496,0.249768,0.225549,0.229773,"1,609,880","203,673,000"
20170729,0.225373,0.244489,0.212412,0.244094,"1,847,390","187,743,000"
20170728,0.248441,0.249325,0.224916,0.225915,"2,822,200","206,959,000"
20170727,0.247658,0.253769,0.243056,0.249879,"1,470,560","206,307,000"
20170726,0.251068,0.256067,0.230597,0.247218,"1,983,950","209,147,000"
20170725,0.296311,0.297728,0.238011,0.250758,"4,068,640","246,836,000"
20170724,0.302296,0.303148,0.289637,0.295707,"2,908,100","251,822,000"
20170723,0.326982,0.333443,0.281127,0.301858,"5,080,280","272,386,000"
20170722,0.277394,0.331533,0.276792,0.326748,"6,527,350","231,078,000"
20170721,0.280011,0.303558,0.268035,0.276796,"3,511,610","233,258,000"
20170720,0.239779,0.293721,0.239779,0.276072,"4,104,580","199,743,000"
20170719,0.267675,0.296711,0.232831,0.239277,"4,770,840","222,982,000"
20170718,0.252334,0.289375,0.230339,0.266971,"4,690,820","210,202,000"
20170717,0.194989,0.253035,0.194989,0.251553,"3,500,400","162,432,000"
20170716,0.212678,0.221839,0.17165,0.195743,"6,952,840","177,167,000"
20170715,0.258779,0.263501,0.213008,0.213008,"3,342,610","215,571,000"
20170714,0.288092,0.289643,0.252407,0.259216,"1,978,680","239,990,000"
20170713,0.320016,0.325408,0.271672,0.288043,"3,991,680","266,583,000"
20170712,0.27808,0.320639,0.238562,0.317395,"5,306,350","231,649,000"
20170711,0.250953,0.302627,0.212758,0.282797,"8,542,360","209,052,000"
20170710,0.341589,0.344027,0.227546,0.251804,"6,984,180","284,555,000"
20170709,0.384364,0.38855,0.341728,0.341728,"3,328,300","320,187,000"
20170708,0.342147,0.39621,0.322753,0.382831,"7,810,050","285,019,000"
20170707,0.433041,0.44991,0.332757,0.342022,"7,703,820","360,737,000"
20170706,0.460845,0.462729,0.425688,0.433511,"5,288,530","383,899,000"
20170705,0.48297,0.48297,0.453661,0.460926,"3,708,790","402,329,000"
20170704,0.464137,0.49321,0.462914,0.480977,"5,001,860","386,641,000"
20170703,0.47111,0.485475,0.443458,0.465082,"5,233,610","392,450,000"
20170702,0.449322,0.481161,0.415392,0.468033,"4,632,250","374,299,000"
20170701,0.479292,0.494733,0.430766,0.442944,"3,266,130","399,266,000"
20170630,0.513139,0.530854,0.465335,0.476923,"5,585,550","427,462,000"
20170629,0.572114,0.596533,0.503722,0.513802,"9,629,050","476,589,000"
20170628,0.549876,0.575202,0.501148,0.571109,"9,232,740","458,064,000"
20170627,0.505481,0.549714,0.413047,0.549714,"8,712,950","421,082,000"
20170626,0.563087,0.573774,0.411492,0.473199,"8,133,930","466,941,000"
20170625,0.628188,0.628188,0.524541,0.564485,"7,739,500","520,927,000"
20170624,0.656211,0.681588,0.618656,0.62524,"8,565,970","544,164,000"
20170623,0.592255,0.65714,0.584814,0.655915,"9,106,430","491,129,000"
20170622,0.605525,0.621699,0.575411,0.591251,"7,841,440","502,133,000"
20170621,0.648616,0.656288,0.577934,0.604908,"9,992,720","537,866,000"
20170620,0.723414,0.723414,0.632903,0.648595,"16,152,900","599,892,000"
20170619,0.582188,0.739118,0.582188,0.725816,"38,089,200","482,781,000"
20170618,0.621649,0.637639,0.558312,0.579051,"11,788,800","515,504,000"
20170617,0.545215,0.623625,0.541663,0.616756,"10,760,500","452,121,000"
20170616,0.512322,0.574783,0.482906,0.544276,"8,574,290","424,844,000"
20170615,0.508788,0.512017,0.430102,0.512017,"8,001,350","421,913,000"
20170614,0.577531,0.597618,0.477056,0.508575,"10,921,000","478,919,000"
20170613,0.502221,0.629647,0.498608,0.577867,"20,196,600","416,468,000"
20170612,0.574107,0.577581,0.464647,0.505115,"10,409,600","476,079,000"
20170611,0.591156,0.595756,0.563248,0.575122,"11,202,500","490,217,000"
20170610,0.537,0.615203,0.537,0.583557,"22,298,400","445,308,000"
20170609,0.536435,0.545844,0.525224,0.534433,"8,258,340","444,840,000"
20170608,0.52651,0.551937,0.509753,0.533354,"8,760,040","436,609,000"
20170607,0.526458,0.568851,0.506249,0.523858,"12,558,300","436,566,000"
20170606,0.520003,0.526878,0.484368,0.525862,"9,191,710","431,214,000"
20170605,0.479918,0.544546,0.475158,0.521121,"12,889,500","395,871,000"
20170604,0.459001,0.492121,0.455637,0.479907,"8,017,040","378,617,000"
20170603,0.482994,0.51533,0.451655,0.462097,"15,913,900","398,408,000"
20170602,0.46342,0.484566,0.451279,0.484566,"9,466,900","382,262,000"
20170601,0.441885,0.508038,0.433484,0.460203,"12,048,300","364,499,000"
20170531,0.418978,0.454745,0.385278,0.437993,"11,263,500","345,603,000"
20170530,0.466088,0.486438,0.418146,0.424143,"17,838,100","384,463,000"
20170529,0.482012,0.503415,0.446364,0.468168,"19,426,400","397,598,000"
20170528,0.343699,0.552837,0.343699,0.480738,"47,587,900","283,508,000"
20170527,0.366554,0.389464,0.243917,0.341865,"9,270,360","302,360,000"
20170526,0.393475,0.464871,0.337189,0.365831,"8,600,610","324,566,000"
20170525,0.459376,0.497753,0.38879,0.398442,"12,001,100","378,926,000"
20170524,0.406812,0.526906,0.406812,0.4664,"28,967,200","335,568,000"
20170523,0.317561,0.419497,0.316832,0.419497,"20,576,100","261,947,000"
20170522,0.317117,0.352252,0.292252,0.317936,"10,772,400","261,581,000"
20170521,0.25402,0.377803,0.247956,0.316604,"23,350,600","209,534,000"
20170520,0.259475,0.266164,0.245453,0.255912,"5,443,250","214,034,000"
20170519,0.243398,0.270499,0.242699,0.259853,"7,694,140","200,772,000"
20170518,0.196549,0.262925,0.196549,0.242691,"11,085,500","162,128,000"
20170517,0.19733,0.204886,0.179326,0.196725,"5,500,230","161,943,000"
20170516,0.209466,0.209712,0.196198,0.197136,"4,145,170","171,903,000"
20170515,0.209991,0.226906,0.201138,0.208512,"3,779,580","172,246,000"
20170514,0.217532,0.218335,0.199874,0.210699,"2,818,500","178,431,000"
20170513,0.225144,0.225144,0.206021,0.216739,"3,398,790","184,675,000"
20170512,0.234681,0.241597,0.223524,0.22579,"3,189,370","192,438,000"
20170511,0.217807,0.246524,0.215522,0.234533,"4,765,290","178,602,000"
20170510,0.213461,0.241963,0.207862,0.217156,"4,935,150","175,038,000"
20170509,0.246259,0.246259,0.192982,0.212477,"6,256,640","201,932,000"
20170508,0.240666,0.283314,0.221931,0.246443,"11,913,400","197,346,000"
20170507,0.254117,0.258147,0.231632,0.241079,"7,621,820","208,376,000"
20170506,0.245214,0.258851,0.241262,0.254044,"4,702,160","201,075,000"
20170505,0.253758,0.276321,0.2402,0.244687,"9,641,450","208,082,000"
20170504,0.223428,0.264858,0.221783,0.253327,"9,869,600","183,211,000"
20170503,0.223483,0.230567,0.214231,0.223747,"7,354,080","183,256,000"
20170502,0.218652,0.233184,0.186224,0.225262,"11,068,300","179,295,000"
20170501,0.222324,0.24274,0.17363,0.217398,"13,878,900","182,306,000"
20170430,0.17058,0.24703,0.16516,0.219924,"19,947,000","139,876,000"
20170429,0.146435,0.177192,0.146435,0.169056,"9,009,180","120,077,000"
20170428,0.131343,0.147806,0.125125,0.144269,"7,029,460","107,701,000"
20170427,0.104552,0.132466,0.104435,0.131655,"5,861,470","85,732,600"
20170426,0.101183,0.105532,0.100631,0.104627,"1,146,160","82,970,100"
20170425,0.101568,0.10307,0.098578,0.100386,"1,272,550","83,285,800"
