day,open,high,low,close,volume,market_cap
20171030,9.59,9.88,9.48,9.83,"17,844,100","323,690,000"
20171029,9.27,9.69,9.14,9.65,"19,171,000","313,084,000"
20171028,9.43,9.55,9.1,9.31,"14,990,100","318,369,000"
20171027,9.79,9.91,9.4,9.43,"9,836,020","330,611,000"
20171026,10.22,10.32,9.74,9.78,"12,353,300","344,953,000"
20171025,10.03,10.21,9.74,10.21,"16,453,300","338,810,000"
20171024,9.98,10.42,9.77,10.07,"15,250,900","337,046,000"
20171023,10.45,10.49,9.76,9.97,"13,741,200","352,735,000"
20171022,10.69,10.72,10.37,10.46,"14,194,200","360,928,000"
20171021,10.86,11.13,10.54,10.69,"13,243,100","366,589,000"
20171020,10.67,11.05,10.35,10.87,"8,554,240","360,068,000"
20171019,10.09,10.78,10.02,10.65,"17,482,900","340,556,000"
20171018,10.66,10.66,9.23,10.12,"14,448,500","359,562,000"
20171017,11.2,11.22,10.5,10.64,"16,371,000","377,697,000"
20171016,11.63,11.87,10.97,11.18,"16,241,700","392,395,000"
20171015,12.28,12.96,11.3,11.65,"19,203,800","414,196,000"
20171014,10.64,12.29,10.63,12.29,"17,945,200","358,673,000"
20171013,9.82,10.63,9.76,10.58,"20,057,800","330,998,000"
20171012,9.92,10.07,9.56,9.81,"17,543,300","334,487,000"
20171011,9.81,10.76,9.7,9.94,"13,935,400","330,579,000"
20171010,7.56,9.69,7.55,9.64,"10,726,100","254,851,000"
20171009,7.17,7.62,7.17,7.57,"11,988,900","241,671,000"
20171008,7.13,7.36,6.97,7.17,"7,921,110","240,372,000"
20171007,7.07,7.27,6.97,7.14,"26,670,200","238,219,000"
20171006,6.88,7.17,6.56,7.05,"21,857,200","231,753,000"
20171005,6.11,7.33,6.11,6.89,"21,713,900","205,974,000"
20171004,6.09,6.2,5.99,6.12,"23,328,500","205,153,000"
20171003,7.23,7.3,6.03,6.08,"22,661,700","243,577,000"
20171002,7.88,7.92,7.04,7.21,"23,609,600","265,350,000"
20171001,8.38,8.56,7.61,7.9,"23,910,900","281,401,000"
20170930,6.5,8.8,6.43,8.4,"24,790,100","218,380,000"
20170929,6.69,7.85,6.5,6.5,"11,415,400","224,822,000"
20170928,6.15,7.06,5.98,6.69,"13,321,400","206,633,000"
20170927,5.99,6.22,5.6,5.94,"5,827,500","201,361,000"
20170926,6.02,6.81,5.92,6,"6,613,300","202,114,000"
20170925,5.15,6.05,5.14,6.02,"10,613,600","173,154,000"
20170924,5.26,5.27,5.07,5.16,"2,969,910","176,592,000"
20170923,4.98,5.27,4.93,5.27,"5,412,700","167,187,000"
20170922,5.03,5.21,4.83,4.96,"6,049,430","168,961,000"
20170921,5.42,5.65,4.99,5.02,"6,283,640","181,958,000"
20170920,5.81,5.82,5.26,5.45,"11,062,000","195,256,000"
20170919,6.53,6.76,5.78,5.82,"15,557,000","219,478,000"
20170918,5.15,6.66,5.15,6.46,"16,419,900","172,983,000"
20170917,5.63,5.67,4.65,5.08,"11,607,000","189,102,000"
20170916,5.93,6.93,5.23,5.57,"17,010,600","199,238,000"
20170915,6.52,7.49,3.77,6.01,"19,928,800","218,964,000"
20170914,11.08,11.26,6.26,6.46,"13,122,700","372,242,000"
20170913,11.36,11.65,10.47,11.19,"16,480,300","381,549,000"
20170912,11.83,13.8,11.01,11.41,"18,006,300","397,572,000"
20170911,11.45,12.4,10.38,11.83,"31,587,100","384,568,000"
20170910,12.34,12.34,10.15,11.42,"21,907,000","414,700,000"
20170909,12.54,14.73,11,12.36,"26,475,000","421,221,000"
20170908,19.47,19.47,11.42,12.47,"23,469,000","654,199,000"
20170907,9.82,22.41,9.34,19.4,"34,848,700","329,917,000"
20170906,8.97,10.55,8.24,9.68,"13,079,500","301,422,000"
20170905,9.15,10.96,6.23,9.03,"88,734,200","307,385,000"
20170904,20.77,21.2,8.46,9.03,"64,300,800","697,918,000"
20170903,28.41,29.06,18.84,20.85,"60,751,100","954,485,000"
20170902,32.95,33.02,25.32,28.55,"60,982,700","1,107,020,000"
20170901,33.55,36.92,30.31,33.34,"56,578,600","1,127,400,000"
20170831,27.64,35.17,27.06,33.58,"46,054,400","928,817,000"
20170830,31.92,32.38,24.7,27.36,"33,471,700","1,072,670,000"
20170829,32.54,35.37,28.47,32.48,"60,918,800","1,093,280,000"
20170828,40.78,41.54,28.52,32.84,"57,085,600",
20170827,36.45,43.17,35.72,40.83,"72,960,100",
20170826,26.34,34.82,26.27,34.76,"8,036,550",
20170825,27.76,28.23,24.17,26.32,"5,318,770",
20170824,22.41,29.21,18.88,27.67,"12,398,700",
20170823,13.91,23.29,12.78,22.37,"8,823,000",
20170822,15.34,15.57,12.82,13.99,"8,898,470",
20170821,20.25,20.25,14.16,15.3,"11,376,500",
20170820,20.38,20.58,18.98,20.37,"6,789,300",
