day,open,high,low,close,volume,market_cap
20171030,3.33,3.76,3.31,3.48,"326,602","137,266,000"
20171029,3.37,3.66,3.28,3.34,"206,951","139,055,000"
20171028,3.77,3.83,3.37,3.37,"188,557","155,476,000"
20171027,3.6,3.78,3.24,3.74,"276,742","148,459,000"
20171026,4.09,4.33,3.6,3.6,"398,411","168,695,000"
20171025,3.26,4.54,3.21,4.09,"249,583","134,470,000"
20171024,3.12,3.67,2.91,3.26,"330,053","128,527,000"
20171023,2.85,3.25,2.59,3.12,"267,616","117,522,000"
20171022,3.05,3.07,2.68,2.85,"284,913","125,973,000"
20171021,3,3.26,2.74,3.05,"256,507","123,901,000"
20171020,3.17,3.4,2.93,3.01,"339,280","130,887,000"
20171019,3.16,3.17,2.95,3.16,"271,031","130,250,000"
20171018,3.05,3.17,2.82,3.16,"316,907","125,730,000"
20171017,3.24,3.73,1.93,3.05,"323,482","133,715,000"
20171016,3.36,4.1,3.13,3.26,"320,896","138,715,000"
20171015,3.12,3.39,2.91,3.36,"208,582","128,709,000"
20171014,3.12,3.2,2.99,3.11,"265,240","128,523,000"
20171013,3.14,3.29,2.94,3.11,"265,395","129,429,000"
20171012,3.13,3.2,2.58,3.14,"317,744","129,079,000"
20171011,3.1,3.26,2.87,3.13,"269,182","127,721,000"
20171010,2.71,3.13,2.28,3.09,"400,775","111,928,000"
20171009,2.57,2.79,2.15,2.71,"292,696","105,866,000"
20171008,2.47,2.67,2.38,2.57,"224,135","101,938,000"
20171007,2.74,2.8,2.49,2.49,"270,384","112,867,000"
20171006,2.83,3.05,2.58,2.74,"336,478","116,669,000"
20171005,2.35,2.91,2.31,2.83,"333,960","96,751,900"
20171004,2.38,2.51,2.34,2.34,"349,275","98,077,000"
20171003,2.48,2.5,2.2,2.37,"267,138","102,331,000"
20171002,2.44,2.54,2.37,2.48,"236,482","100,657,000"
20171001,2.33,2.7,2.33,2.44,"361,877","96,155,200"
20170930,2.3,2.55,2.14,2.33,"246,749","94,772,600"
20170929,2.46,2.54,2.16,2.3,"329,214","101,472,000"
20170928,2.45,2.53,2.3,2.46,"378,847","101,240,000"
20170927,2.73,2.73,2.27,2.46,"547,670","112,443,000"
20170926,2.58,2.99,2.3,2.63,"284,868","106,234,000"
20170925,2.46,2.87,2.46,2.58,"332,512","101,447,000"
20170924,2.84,2.89,2.4,2.46,"210,021","117,359,000"
20170923,2.59,2.86,2.55,2.84,"249,775","106,972,000"
20170922,2.47,2.92,2.46,2.6,"374,706","101,838,000"
20170921,2.94,2.95,2.44,2.47,"340,920","121,137,000"
20170920,2.93,3.16,2.86,2.95,"237,960","120,924,000"
20170919,3.34,3.35,2.72,2.93,"347,692","137,720,000"
20170918,2.91,3.35,2.91,3.33,"501,178","119,945,000"
20170917,2.79,2.98,2.57,2.92,"404,752","114,908,000"
20170916,3.01,3.13,2.71,2.79,"451,852","124,006,000"
20170915,2.65,3.17,2.32,3.01,"337,136","109,206,000"
20170914,3.28,3.43,2.58,2.64,"295,268","135,399,000"
20170913,3.23,3.35,2.9,3.29,"391,322","133,103,000"
20170912,3.27,4.11,3.12,3.19,"505,448","135,082,000"
20170911,3.51,13.06,3.01,3.29,"374,879","144,795,000"
20170910,3.66,9.16,3.17,3.5,"252,076","151,029,000"
20170909,3.36,3.76,3.25,3.67,"454,427","138,438,000"
20170908,3.93,4.12,3.07,3.56,"370,638","162,023,000"
20170907,4.17,4.17,3.8,3.93,"403,291","171,906,000"
20170906,3.93,4.18,3.7,4.17,"410,924","162,184,000"
20170905,3.63,4.01,3.38,3.92,"364,357","149,649,000"
20170904,3.88,6.18,3.24,3.62,"476,314","160,112,000"
20170903,3.75,4.24,3.69,3.85,"565,324","154,886,000"
20170902,4.07,4.37,3.55,3.75,"763,729","167,942,000"
20170901,3.64,5.16,3.54,4.06,"1,464,360","150,097,000"
20170831,3.86,3.87,3.56,3.64,"337,862","159,248,000"
20170830,3.89,4.02,3.54,3.87,"531,823","160,273,000"
20170829,3.86,4.03,3.63,3.89,"398,299","159,088,000"
20170828,3.9,3.98,3.64,3.85,"449,384","161,006,000"
20170827,3.81,4.07,3.14,3.9,"353,973","157,311,000"
