day,open,high,low,close,volume,market_cap
20171030,10.39,10.48,10.29,10.39,"21,781,900","765,031,000"
20171029,10.19,10.54,10.18,10.42,"40,119,600","750,443,000"
20171028,10.33,10.38,10.18,10.21,"23,588,200","760,135,000"
20171027,10.56,10.63,10.26,10.3,"27,344,700","777,594,000"
20171026,10.66,10.79,10.45,10.57,"26,461,700","784,784,000"
20171025,10.78,10.92,10.37,10.65,"48,104,100","793,779,000"
20171024,9.96,11.46,9.52,10.76,"118,813,000","733,399,000"
20171023,10.59,10.6,9.75,9.96,"50,654,800","779,244,000"
20171022,10.97,11.06,10.56,10.63,"33,890,300","807,214,000"
20171021,11.25,11.35,10.5,10.91,"56,075,000","828,306,000"
20171020,12.1,15.12,11.19,11.3,"304,281,000","890,682,000"
20171019,11.46,12.22,11.35,12.07,"49,308,300","688,986,000"
20171018,12.04,12.04,10.78,11.49,"53,960,300","710,326,000"
20171017,11.48,12.27,11.03,12.05,"57,046,400","677,311,000"
20171016,10.46,11.65,10.23,11.49,"37,568,400","616,895,000"
20171015,10.64,10.66,10.09,10.44,"22,057,700","627,948,000"
20171014,11.26,11.45,10.62,10.63,"17,709,400","664,129,000"
20171013,11.3,11.3,10.31,11.25,"44,760,500","666,714,000"
20171012,12.13,12.21,11.29,11.29,"31,335,300","715,782,000"
20171011,12.04,12.29,11.87,12.13,"28,771,600","710,230,000"
20171010,12.04,12.54,11.55,12.08,"50,232,800","710,536,000"
20171009,11.14,12.49,10.96,12.07,"57,974,000","657,304,000"
20171008,11.96,12.11,11.14,11.14,"34,305,900","705,791,000"
20171007,11.67,11.94,11.51,11.94,"19,498,800","688,284,000"
20171006,11.87,11.91,11.5,11.69,"23,341,500","700,544,000"
20171005,11.6,11.98,10.82,11.86,"67,610,800","684,358,000"
20171004,12.16,12.28,11.51,11.63,"77,387,000","717,223,000"
20171003,11.91,12.12,10.78,12.12,"95,756,400","702,872,000"
20171002,12.36,12.38,11.43,11.88,"69,789,000","729,062,000"
20171001,11.59,12.61,11.58,12.34,"162,762,000","683,566,000"
20170930,9.77,11.65,9.75,11.59,"141,320,000","576,371,000"
20170929,9.96,10,9.15,9.77,"79,526,300","587,845,000"
20170928,9.95,10.1,9.06,9.93,"95,333,300","586,983,000"
20170927,9.37,9.9,9.35,9.9,"59,847,700","552,811,000"
20170926,9.38,10.3,9.17,9.34,"104,988,000","553,598,000"
20170925,8.03,9.6,8.03,9.36,"82,385,100","473,818,000"
20170924,8.1,8.28,7.79,8.04,"28,266,800","477,945,000"
20170923,7.7,8.21,7.48,8.11,"40,760,800","454,162,000"
