day,open,high,low,close,volume,market_cap
20171030,4.08,4.53,3.76,3.82,"13,256,800","402,732,000"
20171029,4.26,4.51,4.03,4.04,"13,787,600","420,386,000"
20171028,4.39,4.61,4.21,4.29,"9,976,150","432,962,000"
20171027,4.43,4.76,4.19,4.4,"14,107,600","436,841,000"
20171026,4.96,5.04,3.98,4.39,"30,372,000","488,616,000"
20171025,4.04,5.04,3.81,4.92,"27,633,500","398,709,000"
20171024,3.35,4.03,3.23,4,"17,175,100","330,667,000"
20171023,3.15,3.76,3.08,3.38,"21,784,500","310,956,000"
20171022,3.04,3.39,2.87,3.15,"9,563,480","299,843,000"
20171021,2.99,3.18,2.67,3.02,"6,529,230","294,448,000"
20171020,3.09,3.29,2.94,2.96,"7,724,320","304,362,000"
20171019,3.22,3.34,3.04,3.09,"7,054,550","317,024,000"
20171018,3.06,3.36,2.9,3.22,"14,079,200","301,767,000"
20171017,2.98,3.07,2.87,3.06,"6,242,700","293,352,000"
20171016,3.01,3.09,2.8,2.98,"6,688,310","296,889,000"
20171015,2.86,3.06,2.76,3.01,"6,180,240","282,387,000"
20171014,3.14,3.14,2.7,2.85,"7,843,710","309,165,000"
20171013,3.13,3.34,3,3.14,"8,455,320","308,920,000"
20171012,3.52,3.52,3.12,3.12,"8,527,240","346,797,000"
20171011,3.41,3.59,3.4,3.51,"4,683,540","335,756,000"
20171010,3.36,3.57,3.32,3.4,"4,880,590","331,471,000"
20171009,3.53,3.71,3.15,3.35,"7,796,190","347,588,000"
20171008,3.9,4.14,3.45,3.51,"9,186,260","384,053,000"
20171007,3.69,4.02,3.54,3.92,"7,693,060","363,891,000"
20171006,3.55,3.86,3.55,3.69,"3,894,190","350,388,000"
20171005,3.64,3.69,3.44,3.56,"3,814,770","359,209,000"
20171004,3.8,3.98,3.52,3.64,"7,099,310","374,747,000"
20171003,3.91,4.01,3.38,3.81,"13,060,300","385,143,000"
20171002,4.12,4.32,3.8,3.91,"8,607,690","406,341,000"
20171001,4.47,4.52,4.09,4.13,"7,993,490","440,100,000"
20170930,4.47,4.62,4.4,4.44,"6,061,940","440,203,000"
20170929,4.78,4.88,4.39,4.47,"7,038,430","471,559,000"
20170928,4.77,5.04,4.69,4.79,"7,847,200","469,867,000"
20170927,4.4,4.84,4.36,4.77,"7,465,230","433,440,000"
20170926,4.23,4.56,4.12,4.39,"6,399,530","416,859,000"
20170925,3.98,4.29,3.96,4.25,"4,692,290","392,654,000"
20170924,4.19,4.22,3.95,3.97,"2,751,840","412,920,000"
20170923,3.94,4.32,3.88,4.23,"3,462,380","388,161,000"
20170922,4.03,4.25,3.79,3.93,"4,174,410","397,230,000"
20170921,4.73,4.78,3.91,4.03,"6,825,670","466,613,000"
20170920,4.84,5.42,4.68,4.75,"8,585,630","476,755,000"
20170919,5.35,5.37,4.8,4.85,"8,821,170","527,507,000"
20170918,4.46,5.63,4.45,5.37,"12,693,200","439,359,000"
20170917,4.39,4.66,4.05,4.44,"3,432,560","432,583,000"
20170916,4.61,4.81,4.17,4.39,"4,687,280","454,539,000"
20170915,3.8,4.67,3.04,4.62,"8,004,530","374,266,000"
20170914,5.01,5.08,3.75,3.78,"6,121,560","494,028,000"
20170913,5.51,5.53,4.56,5.01,"6,572,450","543,119,000"
20170912,5.62,5.88,5.31,5.53,"8,270,520","553,334,000"
20170911,5.86,6.09,5.52,5.6,"5,037,870","577,080,000"
20170910,5.73,6.04,5.35,5.86,"8,637,120","564,937,000"
20170909,5.72,5.79,5.5,5.76,"3,496,720","563,845,000"
20170908,6.16,6.41,5.37,5.71,"8,651,120","607,162,000"
20170907,6.2,6.25,5.86,6.17,"6,362,780","611,117,000"
20170906,6.07,6.57,5.98,6.22,"5,768,010","597,983,000"
