day,open,high,low,close,volume,market_cap
20171030,1,1,0.994665,1,"169,425,000","452,540,000"
20171029,1,1.01,0.991302,1,"618,257,000","438,160,000"
20171028,0.999838,1.01,0.998318,1,"120,414,000","436,991,000"
20171027,0.999916,1.01,0.996415,1,"144,634,000","437,025,000"
20171026,1,1.01,0.997739,0.999868,"162,258,000","438,063,000"
20171025,1,1.01,0.995853,1,"171,433,000","438,042,000"
20171024,0.994611,1.02,0.985114,1,"257,372,000","434,706,000"
20171023,1,1.01,0.993556,0.996536,"203,487,000","437,656,000"
20171022,0.99992,1.01,0.996909,1,"166,215,000","437,026,000"
20171021,1,1.01,0.992774,1,"171,818,000","437,391,000"
20171020,1,1.01,0.997444,1,"185,163,000","437,496,000"
20171019,1,1.01,0.996,1,"150,674,000","438,120,000"
20171018,0.998946,1.01,0.991487,1,"253,904,000","436,601,000"
20171017,0.998252,1.02,0.981165,0.999335,"216,808,000","436,298,000"
20171016,0.998,1.01,0.98402,0.99801,"204,158,000","436,187,000"
20171015,1,1.01,0.992759,0.999242,"209,190,000","437,237,000"
20171014,1,1,0.995903,0.999709,"139,468,000","437,279,000"
20171013,1,1.02,0.992697,1,"319,485,000","437,101,000"
20171012,0.999843,1,0.990707,0.997423,"216,202,000","436,993,000"
20171011,0.997962,1,0.997106,0.998625,"85,384,600","436,171,000"
20171010,1,1,0.996522,0.999441,"137,687,000","437,230,000"
20171009,0.998897,1.01,0.994415,0.99978,"178,567,000","436,579,000"
20171008,0.99811,1,0.99533,0.998442,"123,005,000","436,235,000"
20171007,0.999588,1,0.992831,0.99932,"89,544,100","436,882,000"
20171006,1,1.01,0.998001,1,"92,153,700","437,245,000"
20171005,1,1.01,0.996433,1,"119,952,000","437,179,000"
20171004,1,1.01,0.997725,1,"114,903,000","437,896,000"
20171003,1,1.01,0.9988,1,"137,567,000","437,885,000"
20171002,0.998088,1,0.995807,1,"126,009,000","436,226,000"
20171001,0.997266,1,0.994993,0.999924,"103,007,000","435,867,000"
20170930,1,1,0.993904,0.996488,"117,411,000","437,244,000"
20170929,0.998357,1.02,0.994503,0.999863,"205,406,000","426,360,000"
20170928,1,1.01,0.995264,1,"232,499,000","427,100,000"
20170927,1,1,0.991286,1,"201,224,000","427,609,000"
20170926,1,1.01,0.995946,1,"103,839,000","442,851,000"
20170925,1,1.01,0.984388,1,"160,337,000","443,879,000"
20170924,1,1.01,0.9991,1,"91,337,900","443,272,000"
20170923,1,1.01,0.997654,1,"118,296,000","442,840,000"
20170922,1.01,1.01,0.998901,1,"164,432,000","444,763,000"
20170921,0.997446,1.02,0.994434,1,"231,706,000","441,351,000"
20170920,1,1,0.988993,1,"137,763,000","444,392,000"
20170919,1,1.01,0.995487,1,"163,298,000","443,240,000"
20170918,1,1.01,0.992399,1,"214,648,000","443,461,000"
20170917,1.01,1.01,0.992028,1.01,"119,083,000","445,726,000"
20170916,1,1.04,0.99121,1,"233,445,000","443,607,000"
20170915,1,1.03,0.966404,1.01,"540,295,000","420,283,000"
20170914,1,1.03,0.979949,1,"356,495,000","414,813,000"
20170913,1,1.02,0.991963,1,"257,404,000","404,358,000"
20170912,1,1.02,0.996226,1.01,"162,774,000","404,210,000"
20170911,1,1.02,0.990974,1,"125,845,000","405,355,000"
20170910,1,1.02,0.99618,1.01,"163,773,000","405,082,000"
20170909,1.01,1.01,0.99837,1,"119,580,000","398,820,000"
20170908,1,1.05,0.997327,1.01,"319,590,000","394,388,000"
20170907,1,1.01,0.99577,1,"166,453,000","386,679,000"
20170906,1.01,1.05,1,1.01,"192,689,000","387,469,000"
20170905,1.03,1.04,0.999893,1,"271,614,000","379,945,000"
20170904,1,1.05,0.997741,1.03,"375,473,000","364,943,000"
20170903,1.01,1.03,0.99962,1,"188,687,000","348,836,000"
20170902,1,1.04,0.998739,1.02,"345,971,000","320,966,000"
20170901,1,1.01,1,1,"199,664,000","320,792,000"
20170831,1,1.01,0.999514,1,"109,217,000","319,518,000"
20170830,1,1.01,0.996119,1,"114,992,000","320,041,000"
20170829,1,1.02,0.99569,1,"132,123,000","320,307,000"
20170828,1,1.01,0.995565,1,"130,785,000","320,279,000"
20170827,1,1.01,0.99709,1,"104,722,000","319,543,000"
20170826,1,1.01,0.995768,0.998932,"98,081,300","320,776,000"
20170825,1,1.02,0.998112,1,"116,308,000","321,015,000"
20170824,0.999332,1.01,0.990714,1,"132,330,000","319,288,000"
20170823,1,1.01,0.991684,1,"195,159,000","320,872,000"
20170822,1,1.02,0.990916,1.01,"241,915,000","319,888,000"
20170821,0.999538,1.01,0.990459,0.999263,"208,830,000","319,354,000"
20170820,0.997167,1.02,0.983909,0.996629,"133,754,000","318,596,000"
20170819,1.01,1.04,0.980183,1,"281,633,000","322,030,000"
20170818,1.01,1.03,0.984905,1.01,"255,272,000","322,035,000"
20170817,1,1.01,0.98907,1.01,"166,152,000","319,712,000"
20170816,0.998963,1.01,0.991915,1,"121,473,000","319,170,000"
20170815,1,1.02,0.994513,1,"213,099,000","319,617,000"
20170814,0.995682,1.01,0.990626,0.998163,"125,445,000","318,122,000"
20170813,1,1.02,0.980414,0.998616,"198,569,000","319,661,000"
20170812,1,1.01,0.995213,1,"130,896,000","319,785,000"
20170811,0.996635,1.01,0.988428,1,"111,829,000","318,426,000"
20170810,0.998799,1.01,0.988217,0.992991,"91,695,000","319,118,000"
20170809,0.999236,1.01,0.993707,1,"140,569,000","319,257,000"
20170808,0.99422,1.01,0.989566,1,"130,482,000","317,655,000"
20170807,0.999468,1.01,0.990056,0.996254,"110,170,000","319,331,000"
20170806,1,1.01,0.993119,1,"103,532,000","320,093,000"
20170805,1,1.03,0.991505,0.998314,"173,138,000","320,940,000"
20170804,0.968452,1.01,0.966326,1,"59,432,500","309,422,000"
20170803,1,1.01,0.955404,0.969304,"57,242,700","320,322,000"
20170802,0.996581,1.01,0.985239,1,"84,592,700","318,409,000"
20170801,1,1.02,0.988123,0.996819,"170,045,000","320,388,000"
20170731,1,1.01,0.995719,1,"75,184,900","319,512,000"
20170730,0.996776,1,0.991188,0.998868,"60,213,000","318,471,000"
20170729,0.999755,1.01,0.993449,0.996619,"73,768,300","319,423,000"
20170728,0.99606,1.01,0.990485,1,"116,290,000","318,242,000"
20170727,0.998839,1.01,0.991769,0.997275,"79,850,000","319,130,000"
20170726,0.998645,1.01,0.989915,0.996955,"111,957,000","319,068,000"
20170725,0.994284,1.02,0.984754,0.999802,"220,992,000","317,675,000"
20170724,0.999919,1,0.988839,0.993997,"75,766,900","319,475,000"
20170723,0.994773,1.01,0.990375,0.997761,"114,229,000","317,831,000"
20170722,0.999612,1,0.986424,0.9932,"131,558,000","319,377,000"
20170721,0.998636,1.02,0.984893,0.997202,"168,919,000","319,065,000"
20170720,0.99098,1.02,0.976702,0.986866,"278,994,000","306,710,000"
20170719,1,1.03,0.980136,1,"199,312,000","309,942,000"
20170718,0.995021,1.02,0.982123,0.998216,"238,396,000","293,035,000"
20170717,0.988208,1.01,0.98397,0.996888,"171,476,000","291,009,000"
20170716,1,1.02,0.969665,0.999161,"177,914,000","295,162,000"
20170715,1,1.02,0.988486,1,"125,229,000","290,061,000"
20170714,1,1.01,0.994217,1,"93,146,700","289,635,000"
20170713,0.999669,1.02,0.99941,1,"104,236,000","268,892,000"
20170712,1.01,1.02,0.99549,0.997456,"131,420,000","260,929,000"
20170711,1.02,1.04,0.998774,1.01,"173,424,000","239,198,000"
20170710,1.01,1.02,0.991515,1.01,"132,682,000","221,114,000"
20170709,0.999601,1.01,0.998527,1.01,"45,640,800","219,894,000"
20170708,1.01,1.02,0.997497,0.999725,"62,607,300","221,837,000"
20170707,1,1.02,1,1.01,"84,663,200","220,509,000"
20170706,0.995936,1.01,0.995936,1,"44,331,000","219,087,000"
20170705,1,1.02,0.994445,0.99646,"66,727,600","220,126,000"
20170704,0.999601,1.01,0.987214,0.998828,"87,707,900","219,893,000"
20170703,1.01,1.02,0.992834,1,"87,514,200","223,017,000"
20170702,1.02,1.03,1.01,1.02,"76,519,200","219,180,000"
20170701,1.01,1.04,1.01,1.02,"82,133,800","217,215,000"
20170630,1.02,1.02,0.997355,1.01,"72,550,400","218,616,000"
20170629,1.01,1.04,1,1.02,"101,103,000","146,484,000"
20170628,1.01,1.04,0.995934,1.01,"128,750,000","146,267,000"
20170627,1.01,1.06,0.988021,1.01,"171,805,000","146,156,000"
20170626,1.01,1.06,0.970667,1.01,"195,886,000","146,480,000"
20170625,1.02,1.04,0.998245,1.01,"102,005,000","147,510,000"
20170624,1.01,1.04,1,1.02,"79,286,600","145,582,000"
20170623,0.972496,1.01,0.969362,1.01,"41,182,300","140,714,000"
20170622,0.981174,0.995994,0.967955,0.972902,"63,105,300","141,970,000"
20170621,0.975087,0.997024,0.951189,0.981361,"108,254,000","141,089,000"
20170620,0.986156,0.990411,0.956381,0.975272,"88,767,300","125,729,000"
20170619,1,1.01,0.982742,0.986406,"75,733,700","127,821,000"
20170618,0.988674,1.04,0.976657,1,"114,519,000","126,050,000"
20170617,1.02,1.03,0.978804,0.988584,"104,554,000","130,158,000"
