day,open,high,low,close,volume,market_cap
20171030,3.55,3.61,3.43,3.48,"8,523,780","355,140,000"
20171029,3.46,3.64,3.45,3.54,"9,046,840","345,825,000"
20171028,3.54,3.6,3.45,3.46,"8,103,840","354,417,000"
20171027,3.62,3.68,3.52,3.54,"6,714,780","362,311,000"
20171026,3.72,3.79,3.54,3.62,"8,321,870","371,705,000"
20171025,3.76,3.77,3.48,3.7,"8,533,500","376,245,000"
20171024,3.67,3.98,3.59,3.76,"8,703,160","366,774,000"
20171023,3.58,3.71,3.35,3.67,"8,621,370","358,001,000"
20171022,3.58,3.66,3.47,3.58,"8,491,900","358,200,000"
20171021,3.64,3.76,3.43,3.58,"10,666,600","364,477,000"
20171020,3.89,3.97,3.63,3.66,"10,830,100","389,091,000"
20171019,4.04,4.12,3.8,3.89,"8,840,030","404,068,000"
20171018,3.93,4.1,3.66,4.04,"7,283,440","392,635,000"
20171017,4.04,4.05,3.84,3.92,"4,954,490","404,005,000"
20171016,3.8,4.14,3.65,4.02,"4,972,740","380,320,000"
20171015,4.01,4.02,3.68,3.8,"4,384,340","401,032,000"
20171014,3.98,4.09,3.81,4,"5,190,930","397,686,000"
20171013,3.69,4.03,3.59,3.97,"6,777,070","369,201,000"
20171012,4.18,4.2,3.69,3.69,"6,289,170","417,611,000"
20171011,4.11,4.41,4.08,4.18,"7,296,340","410,915,000"
20171010,4.11,4.26,3.92,4.12,"5,675,270","410,737,000"
20171009,4.44,4.63,4.01,4.13,"6,698,160","443,937,000"
20171008,5.01,5.04,4.44,4.44,"7,717,430","501,163,000"
20171007,4.96,5.04,4.91,5.02,"6,760,300","495,816,000"
20171006,4.97,5.1,4.91,4.97,"6,574,960","497,017,000"
20171005,4.92,5.04,4.76,4.97,"6,804,000","491,795,000"
20171004,4.74,5.08,4.71,4.91,"8,679,860","474,477,000"
20171003,4.87,5,4.67,4.73,"6,975,040","486,590,000"
20171002,4.97,4.98,4.81,4.85,"7,422,400","497,344,000"
20171001,5.03,5.05,4.84,4.97,"8,233,020","502,985,000"
20170930,4.93,5.2,4.93,5.04,"7,480,680","493,143,000"
20170929,4.77,5.04,4.39,4.93,"8,515,820","476,743,000"
20170928,5.17,5.17,4.73,4.78,"8,795,790","516,674,000"
20170927,4.77,5.19,4.77,5.17,"11,447,500","477,461,000"
20170926,4.23,4.86,4.23,4.79,"7,713,420","422,807,000"
20170925,3.97,4.3,3.92,4.23,"5,218,940","396,943,000"
20170924,3.97,3.98,3.8,3.97,"5,012,110","396,513,000"
20170923,3.76,3.99,3.71,3.97,"4,950,050","375,579,000"
20170922,3.65,3.84,3.56,3.77,"2,723,740","365,050,000"
20170921,4.05,4.08,3.57,3.64,"2,914,710","405,445,000"
20170920,4.14,4.29,3.96,4.07,"3,910,370","413,510,000"
20170919,4.36,4.38,4,4.16,"3,403,370","435,701,000"
20170918,3.64,4.4,3.64,4.34,"4,080,300","363,799,000"
20170917,3.77,3.81,3.49,3.64,"3,406,720","376,569,000"
20170916,3.77,3.9,3.49,3.76,"4,499,490","377,410,000"
20170915,3.12,3.94,2.8,3.78,"6,270,110","311,752,000"
20170914,3.95,4.05,3.09,3.09,"4,470,510","394,740,000"
20170913,4.36,4.36,3.75,3.95,"4,928,930","436,202,000"
20170912,4.35,4.61,4.26,4.38,"5,306,860","434,806,000"
20170911,4.44,4.57,4.16,4.35,"4,908,140","443,783,000"
20170910,4.45,4.58,3.99,4.41,"5,469,690","444,828,000"
20170909,4.51,4.59,4.37,4.46,"5,406,880","451,034,000"
20170908,4.99,5.03,4.28,4.5,"5,899,500","498,706,000"
20170907,5.1,5.13,4.9,4.98,"6,353,830","510,327,000"
20170906,4.99,5.41,4.93,5.16,"6,069,650","499,259,000"
20170905,4.68,5.1,4.32,4.98,"6,194,560","467,862,000"
20170904,5.2,5.21,4.24,4.66,"8,324,540","519,570,000"
20170903,5.27,5.5,4.99,5.2,"5,174,780","526,827,000"
20170902,5.78,5.87,5.07,5.23,"6,608,910","577,688,000"
20170901,5.95,6.1,5.72,5.74,"9,556,080","595,498,000"
20170831,5.47,5.94,5.38,5.94,"9,471,090","546,851,000"
20170830,5.44,5.49,5.13,5.48,"6,659,820","544,366,000"
20170829,5.27,5.47,5.13,5.45,"7,581,710","527,066,000"
20170828,5.22,5.41,5.02,5.26,"7,208,780","522,486,000"
20170827,5.34,5.51,5.18,5.23,"7,212,980","534,242,000"
20170826,5.28,5.74,5.11,5.32,"9,123,230","528,242,000"
20170825,5.02,5.46,4.94,5.27,"9,306,450","502,380,000"
20170824,4.63,5.02,4.55,5.02,"3,537,820","463,403,000"
20170823,4.49,4.82,4.44,4.6,"2,989,630","449,053,000"
20170822,4.38,4.74,3.81,4.46,"3,358,640","437,971,000"
20170821,4.85,4.88,4.33,4.39,"4,064,960","485,218,000"
20170820,4.43,4.92,4.29,4.86,"4,519,570","442,870,000"
20170819,4.3,4.45,4.1,4.43,"3,801,000","429,611,000"
20170818,4.57,4.73,4.1,4.3,"2,588,840","456,631,000"
20170817,4.81,4.95,4.46,4.58,"2,609,230","481,390,000"
20170816,4.8,4.96,4.58,4.83,"2,607,640","479,668,000"
20170815,4.73,5.16,4.31,4.79,"5,107,560","473,033,000"
20170814,4.83,5.04,4.54,4.72,"5,089,710","483,469,000"
20170813,5.05,5.28,4.63,4.79,"5,823,330","504,705,000"
20170812,5.58,5.58,4.89,5.05,"6,782,250","557,670,000"
20170811,5.6,5.78,5.13,5.54,"7,567,900","560,241,000"
20170810,5.24,5.63,5.15,5.6,"7,501,860","524,375,000"
20170809,5.38,5.45,4.9,5.27,"4,960,110","538,244,000"
20170808,5.64,5.83,5.04,5.41,"6,867,910","564,066,000"
20170807,5.18,5.75,4.62,5.64,"7,792,050","518,233,000"
20170806,4.32,5.37,4.29,5.21,"7,075,590","432,028,000"
20170805,3.67,4.57,3.65,4.32,"4,831,480","367,228,000"
20170804,3.87,4.13,3.59,3.67,"4,324,800","386,797,000"
20170803,3.54,3.96,3.46,3.84,"4,766,700","354,471,000"
20170802,3.02,3.6,2.96,3.51,"3,739,710","302,169,000"
20170801,2.77,3.11,2.61,3.01,"3,257,400","277,390,000"
20170731,2.74,2.87,2.62,2.78,"2,651,760","273,812,000"
20170730,2.87,2.93,2.72,2.72,"1,530,680","286,809,000"
20170729,2.98,3.06,2.69,2.87,"2,116,910","297,597,000"
20170728,2.76,3.11,2.45,3,"3,030,820","276,459,000"
20170727,2.74,2.84,2.6,2.75,"1,889,170","274,372,000"
20170726,2.92,2.99,2.5,2.74,"3,013,790","291,623,000"
20170725,3.52,3.56,2.76,2.91,"2,462,600","351,753,000"
20170724,3.65,3.71,3.39,3.52,"1,813,130","364,582,000"
20170723,3.9,3.97,3.5,3.65,"2,608,730","390,012,000"
20170722,3.24,4.17,3.23,3.9,"3,246,480","324,151,000"
20170721,3.26,3.44,3.13,3.24,"2,167,520","326,154,000"
20170720,2.61,3.43,2.61,3.25,"2,164,540","260,970,000"
20170719,2.83,2.87,2.53,2.64,"2,096,680","282,847,000"
20170718,2.52,2.95,2.38,2.83,"2,325,000","252,329,000"
20170717,1.97,2.52,1.94,2.52,"1,909,110","196,939,000"
20170716,2.01,2.06,1.77,1.97,"1,677,160","201,211,000"
20170715,2.43,2.43,1.98,2.04,"2,860,750","242,705,000"
20170714,2.89,2.89,2.33,2.43,"2,439,500","289,495,000"
20170713,3.05,3.09,2.72,2.9,"1,734,160","305,263,000"
20170712,2.59,3.05,2.42,3.05,"1,930,340","258,727,000"
20170711,2.79,2.96,2.49,2.59,"3,152,450","278,827,000"
20170710,3.74,3.76,2.73,2.82,"2,638,830","373,806,000"
